No.,Broadcasters,Sniffer_Distance,RSSI,Malformed Packet
7,2,7.5,-80 dBm,1
2275,2,7.5,-82 dBm,1
2851,2,7.5,-75 dBm,1
2917,2,7.5,-72 dBm,1
3039,2,7.5,-63 dBm,1
3119,2,7.5,-73 dBm,1
3134,2,7.5,-74 dBm,1
3210,2,7.5,-68 dBm,1
3639,2,7.5,-60 dBm,1
3871,2,7.5,-61 dBm,1
4101,2,7.5,-60 dBm,1
4453,2,7.5,-59 dBm,1
4829,2,7.5,-60 dBm,1
5029,2,7.5,-60 dBm,1
5141,2,7.5,-60 dBm,1
5213,2,7.5,-61 dBm,1
5253,2,7.5,-61 dBm,1
5446,2,7.5,-79 dBm,1
5956,2,7.5,-68 dBm,1
6182,2,7.5,-62 dBm,1
6226,2,7.5,-65 dBm,1
7296,2,7.5,-72 dBm,1
7598,2,7.5,-62 dBm,1
8884,2,7.5,-72 dBm,1
9339,2,7.5,-72 dBm,1
10503,2,7.5,-73 dBm,1
12092,2,7.5,-72 dBm,1
12378,2,7.5,-54 dBm,1
14794,2,7.5,-62 dBm,1
15939,2,7.5,-72 dBm,1
17656,2,7.5,-73 dBm,1
18721,2,7.5,-73 dBm,1
20644,2,7.5,-73 dBm,1
21131,2,7.5,-72 dBm,1
23079,2,7.5,-53 dBm,1
23800,2,7.5,-55 dBm,1
24789,2,7.5,-72 dBm,1
24940,2,7.5,-73 dBm,1
26065,2,7.5,-72 dBm,1
27080,2,7.5,-73 dBm,1
27539,2,7.5,-73 dBm,1
27635,2,7.5,-63 dBm,1
29059,2,7.5,-54 dBm,1
33608,2,7.5,-73 dBm,1
35352,2,7.5,-72 dBm,1
35359,2,7.5,-73 dBm,1
35405,2,7.5,-73 dBm,1
35962,2,7.5,-72 dBm,1
36472,2,7.5,-72 dBm,1
36737,2,7.5,-73 dBm,1
36816,2,7.5,-75 dBm,1
36828,2,7.5,-56 dBm,1
38323,2,7.5,-74 dBm,1
38441,2,7.5,-74 dBm,1
38680,2,7.5,-55 dBm,1
38716,2,7.5,-73 dBm,1
41297,2,7.5,-71 dBm,1
42053,2,7.5,-72 dBm,1
42057,2,7.5,-54 dBm,1
42491,2,7.5,-72 dBm,1
42734,2,7.5,-71 dBm,1
