No.,Broadcasters,Sniffer_Distance,RSSI,Malformed Packet
2979,3,17.32,-87 dBm,1
4368,3,17.32,-72 dBm,1
4564,3,17.32,-71 dBm,1
5144,3,17.32,-66 dBm,1
5327,3,17.32,-72 dBm,1
5347,3,17.32,-74 dBm,1
6025,3,17.32,-66 dBm,1
6609,3,17.32,-76 dBm,1
6648,3,17.32,-79 dBm,1
6667,3,17.32,-80 dBm,1
6701,3,17.32,-79 dBm,1
6706,3,17.32,-80 dBm,1
6742,3,17.32,-81 dBm,1
6752,3,17.32,-75 dBm,1
6779,3,17.32,-74 dBm,1
6807,3,17.32,-81 dBm,1
6837,3,17.32,-82 dBm,1
6886,3,17.32,-84 dBm,1
6991,3,17.32,-80 dBm,1
7016,3,17.32,-79 dBm,1
7032,3,17.32,-80 dBm,1
7040,3,17.32,-80 dBm,1
7103,3,17.32,-78 dBm,1
7127,3,17.32,-82 dBm,1
7128,3,17.32,-78 dBm,1
7200,3,17.32,-85 dBm,1
7212,3,17.32,-85 dBm,1
7220,3,17.32,-85 dBm,1
7288,3,17.32,-81 dBm,1
7308,3,17.32,-84 dBm,1
7320,3,17.32,-82 dBm,1
7332,3,17.32,-81 dBm,1
7348,3,17.32,-80 dBm,1
7370,3,17.32,-80 dBm,1
7406,3,17.32,-80 dBm,1
7454,3,17.32,-83 dBm,1
7473,3,17.32,-82 dBm,1
7618,3,17.32,-81 dBm,1
7639,3,17.32,-78 dBm,1
7676,3,17.32,-81 dBm,1
7695,3,17.32,-82 dBm,1
7748,3,17.32,-76 dBm,1
7765,3,17.32,-76 dBm,1
7779,3,17.32,-81 dBm,1
7809,3,17.32,-79 dBm,1
7903,3,17.32,-77 dBm,1
7967,3,17.32,-75 dBm,1
7969,3,17.32,-77 dBm,1
8039,3,17.32,-73 dBm,1
8182,3,17.32,-72 dBm,1
8452,3,17.32,-70 dBm,1
8522,3,17.32,-73 dBm,1
8559,3,17.32,-83 dBm,1
8561,3,17.32,-82 dBm,1
8680,3,17.32,-75 dBm,1
11933,3,17.32,-71 dBm,1
12442,3,17.32,-62 dBm,1
12549,3,17.32,-62 dBm,1
12833,3,17.32,-60 dBm,1
13257,3,17.32,-76 dBm,1
13382,3,17.32,-62 dBm,1
13607,3,17.32,-61 dBm,1
13661,3,17.32,-67 dBm,1
13691,3,17.32,-72 dBm,1
13711,3,17.32,-72 dBm,1
13913,3,17.32,-71 dBm,1
13988,3,17.32,-62 dBm,1
14125,3,17.32,-68 dBm,1
14201,3,17.32,-77 dBm,1
14440,3,17.32,-74 dBm,1
16754,3,17.32,-61 dBm,1
17450,3,17.32,-65 dBm,1
17553,3,17.32,-59 dBm,1
18694,3,17.32,-61 dBm,1
20769,3,17.32,-56 dBm,1
21123,3,17.32,-58 dBm,1
21337,3,17.32,-57 dBm,1
22051,3,17.32,-64 dBm,1
22095,3,17.32,-60 dBm,1
22189,3,17.32,-65 dBm,1
22681,3,17.32,-60 dBm,1
24736,3,17.32,-63 dBm,1
26600,3,17.32,-61 dBm,1
28426,3,17.32,-57 dBm,1
29180,3,17.32,-58 dBm,1
30559,3,17.32,-57 dBm,1
30950,3,17.32,-59 dBm,1
33690,3,17.32,-66 dBm,1
34755,3,17.32,-64 dBm,1
35609,3,17.32,-59 dBm,1
35757,3,17.32,-63 dBm,1
37003,3,17.32,-61 dBm,1
37551,3,17.32,-63 dBm,1
38704,3,17.32,-63 dBm,1
41029,3,17.32,-60 dBm,1
41530,3,17.32,-66 dBm,1
42848,3,17.32,-66 dBm,1
43709,3,17.32,-63 dBm,1
45563,3,17.32,-65 dBm,1
47713,3,17.32,-63 dBm,1
49962,3,17.32,-63 dBm,1
50103,3,17.32,-66 dBm,1
51421,3,17.32,-62 dBm,1
51457,3,17.32,-62 dBm,1
52050,3,17.32,-66 dBm,1
52712,3,17.32,-66 dBm,1
52804,3,17.32,-59 dBm,1
52820,3,17.32,-59 dBm,1
54205,3,17.32,-57 dBm,1
56393,3,17.32,-58 dBm,1
57922,3,17.32,-63 dBm,1
58510,3,17.32,-63 dBm,1
58872,3,17.32,-63 dBm,1
59673,3,17.32,-62 dBm,1
61013,3,17.32,-63 dBm,1
62171,3,17.32,-64 dBm,1
62484,3,17.32,-57 dBm,1
63051,3,17.32,-81 dBm,1
63323,3,17.32,-63 dBm,1
63828,3,17.32,-63 dBm,1
64226,3,17.32,-65 dBm,1
64966,3,17.32,-58 dBm,1
66153,3,17.32,-65 dBm,1
67056,3,17.32,-58 dBm,1
67087,3,17.32,-63 dBm,1
67424,3,17.32,-60 dBm,1
67605,3,17.32,-62 dBm,1
67628,3,17.32,-68 dBm,1
68026,3,17.32,-61 dBm,1
69420,3,17.32,-62 dBm,1
70946,3,17.32,-60 dBm,1
71155,3,17.32,-66 dBm,1
71174,3,17.32,-66 dBm,1
71571,3,17.32,-67 dBm,1
71986,3,17.32,-66 dBm,1
72233,3,17.32,-66 dBm,1
73029,3,17.32,-64 dBm,1
73149,3,17.32,-59 dBm,1
73626,3,17.32,-77 dBm,1
73627,3,17.32,-80 dBm,1
73641,3,17.32,-58 dBm,1
73726,3,17.32,-80 dBm,1
73813,3,17.32,-59 dBm,1
73986,3,17.32,-58 dBm,1
74050,3,17.32,-79 dBm,1
74220,3,17.32,-55 dBm,1
74667,3,17.32,-76 dBm,1
74730,3,17.32,-78 dBm,1
74740,3,17.32,-80 dBm,1
74839,3,17.32,-82 dBm,1
74858,3,17.32,-59 dBm,1
74895,3,17.32,-58 dBm,1
74921,3,17.32,-82 dBm,1
74949,3,17.32,-84 dBm,1
74959,3,17.32,-84 dBm,1
75004,3,17.32,-84 dBm,1
75023,3,17.32,-80 dBm,1
75029,3,17.32,-79 dBm,1
75386,3,17.32,-58 dBm,1
75678,3,17.32,-58 dBm,1
75974,3,17.32,-60 dBm,1
76198,3,17.32,-58 dBm,1
76401,3,17.32,-58 dBm,1
76491,3,17.32,-62 dBm,1
76515,3,17.32,-59 dBm,1
76622,3,17.32,-59 dBm,1
76788,3,17.32,-60 dBm,1
76828,3,17.32,-63 dBm,1
77540,3,17.32,-62 dBm,1
78307,3,17.32,-58 dBm,1
78973,3,17.32,-62 dBm,1
79204,3,17.32,-54 dBm,1
79850,3,17.32,-59 dBm,1
80561,3,17.32,-62 dBm,1
80585,3,17.32,-62 dBm,1
80633,3,17.32,-54 dBm,1
80828,3,17.32,-54 dBm,1
81378,3,17.32,-63 dBm,1
81638,3,17.32,-53 dBm,1
81662,3,17.32,-55 dBm,1
82129,3,17.32,-53 dBm,1
82442,3,17.32,-62 dBm,1
82538,3,17.32,-54 dBm,1
82657,3,17.32,-53 dBm,1
82681,3,17.32,-53 dBm,1
82880,3,17.32,-51 dBm,1
83669,3,17.32,-62 dBm,1
83907,3,17.32,-61 dBm,1
84329,3,17.32,-55 dBm,1
84522,3,17.32,-52 dBm,1
84550,3,17.32,-56 dBm,1
85001,3,17.32,-65 dBm,1
85160,3,17.32,-50 dBm,1
86271,3,17.32,-70 dBm,1
86899,3,17.32,-76 dBm,1
86932,3,17.32,-79 dBm,1
86958,3,17.32,-75 dBm,1
87300,3,17.32,-63 dBm,1
87374,3,17.32,-57 dBm,1
88819,3,17.32,-74 dBm,1
89225,3,17.32,-71 dBm,1
90165,3,17.32,-55 dBm,1
91130,3,17.32,-69 dBm,1
91136,3,17.32,-56 dBm,1
91171,3,17.32,-74 dBm,1
91194,3,17.32,-76 dBm,1
92149,3,17.32,-58 dBm,1
92313,3,17.32,-66 dBm,1
92958,3,17.32,-57 dBm,1
94504,3,17.32,-56 dBm,1
95154,3,17.32,-57 dBm,1
95900,3,17.32,-57 dBm,1
96122,3,17.32,-54 dBm,1
