No.,Broadcasters,Sniffer_Distance,RSSI,Malformed Packet
87,6,60,-58 dBm,1
111,6,60,-63 dBm,1
420,6,60,-82 dBm,1
564,6,60,-82 dBm,1
591,6,60,-83 dBm,1
612,6,60,-73 dBm,1
706,6,60,-79 dBm,1
724,6,60,-71 dBm,1
840,6,60,-83 dBm,1
864,6,60,-82 dBm,1
865,6,60,-61 dBm,1
866,6,60,-69 dBm,1
945,6,60,-83 dBm,1
951,6,60,-57 dBm,1
953,6,60,-69 dBm,1
1036,6,60,-75 dBm,1
1261,6,60,-68 dBm,1
1371,6,60,-62 dBm,1
1372,6,60,-62 dBm,1
1497,6,60,-63 dBm,1
1701,6,60,-83 dBm,1
1704,6,60,-59 dBm,1
1869,6,60,-75 dBm,1
1937,6,60,-80 dBm,1
2046,6,60,-75 dBm,1
2069,6,60,-74 dBm,1
2280,6,60,-83 dBm,1
2815,6,60,-80 dBm,1
2937,6,60,-82 dBm,1
3280,6,60,-67 dBm,1
3474,6,60,-82 dBm,1
3606,6,60,-84 dBm,1
3609,6,60,-77 dBm,1
3636,6,60,-86 dBm,1
3888,6,60,-86 dBm,1
3916,6,60,-82 dBm,1
4242,6,60,-77 dBm,1
4377,6,60,-84 dBm,1
4696,6,60,-73 dBm,1
5461,6,60,-72 dBm,1
5544,6,60,-81 dBm,1
5633,6,60,-69 dBm,1
5663,6,60,-78 dBm,1
5715,6,60,-79 dBm,1
5808,6,60,-73 dBm,1
5820,6,60,-77 dBm,1
5884,6,60,-72 dBm,1
5939,6,60,-77 dBm,1
5943,6,60,-72 dBm,1
6007,6,60,-77 dBm,1
6061,6,60,-66 dBm,1
6163,6,60,-77 dBm,1
6180,6,60,-77 dBm,1
6182,6,60,-77 dBm,1
6347,6,60,-68 dBm,1
6385,6,60,-68 dBm,1
6448,6,60,-78 dBm,1
6450,6,60,-76 dBm,1
6475,6,60,-69 dBm,1
6498,6,60,-63 dBm,1
6552,6,60,-79 dBm,1
6582,6,60,-80 dBm,1
6625,6,60,-71 dBm,1
6637,6,60,-70 dBm,1
6648,6,60,-71 dBm,1
6681,6,60,-72 dBm,1
6735,6,60,-79 dBm,1
6752,6,60,-79 dBm,1
6854,6,60,-77 dBm,1
6865,6,60,-80 dBm,1
6880,6,60,-68 dBm,1
6916,6,60,-76 dBm,1
6962,6,60,-65 dBm,1
7023,6,60,-77 dBm,1
7026,6,60,-79 dBm,1
7054,6,60,-75 dBm,1
7056,6,60,-76 dBm,1
7061,6,60,-80 dBm,1
7121,6,60,-74 dBm,1
7176,6,60,-79 dBm,1
7198,6,60,-85 dBm,1
7214,6,60,-79 dBm,1
7226,6,60,-81 dBm,1
7237,6,60,-81 dBm,1
7335,6,60,-75 dBm,1
7363,6,60,-76 dBm,1
7380,6,60,-77 dBm,1
7450,6,60,-73 dBm,1
7502,6,60,-71 dBm,1
7528,6,60,-73 dBm,1
7529,6,60,-77 dBm,1
7577,6,60,-61 dBm,1
7692,6,60,-77 dBm,1
7694,6,60,-74 dBm,1
7714,6,60,-76 dBm,1
7755,6,60,-78 dBm,1
7780,6,60,-75 dBm,1
7787,6,60,-71 dBm,1
7791,6,60,-74 dBm,1
7819,6,60,-74 dBm,1
7822,6,60,-79 dBm,1
7865,6,60,-74 dBm,1
7887,6,60,-75 dBm,1
7896,6,60,-79 dBm,1
7916,6,60,-76 dBm,1
7951,6,60,-77 dBm,1
7973,6,60,-76 dBm,1
7991,6,60,-75 dBm,1
7993,6,60,-75 dBm,1
8059,6,60,-74 dBm,1
8063,6,60,-74 dBm,1
8126,6,60,-75 dBm,1
8135,6,60,-74 dBm,1
8138,6,60,-73 dBm,1
8150,6,60,-77 dBm,1
