No.,Broadcasters,Sniffer_Distance,RSSI,Malformed Packet
1114,5,25,-72 dBm,1
2705,5,25,-72 dBm,1
4405,5,25,-74 dBm,1
4643,5,25,-75 dBm,1
5053,5,25,-77 dBm,1
5175,5,25,-70 dBm,1
5232,5,25,-68 dBm,1
5416,5,25,-68 dBm,1
5439,5,25,-68 dBm,1
5475,5,25,-68 dBm,1
5818,5,25,-81 dBm,1
5932,5,25,-70 dBm,1
6840,5,25,-74 dBm,1
6904,5,25,-68 dBm,1
7006,5,25,-68 dBm,1
7110,5,25,-66 dBm,1
7423,5,25,-64 dBm,1
7743,5,25,-64 dBm,1
7965,5,25,-70 dBm,1
7973,5,25,-58 dBm,1
7976,5,25,-73 dBm,1
9321,5,25,-72 dBm,1
9496,5,25,-71 dBm,1
9703,5,25,-62 dBm,1
9905,5,25,-72 dBm,1
9928,5,25,-63 dBm,1
9988,5,25,-72 dBm,1
10114,5,25,-67 dBm,1
10183,5,25,-75 dBm,1
10379,5,25,-72 dBm,1
10614,5,25,-72 dBm,1
11415,5,25,-71 dBm,1
11672,5,25,-69 dBm,1
11727,5,25,-73 dBm,1
12039,5,25,-71 dBm,1
12175,5,25,-76 dBm,1
12381,5,25,-73 dBm,1
12432,5,25,-77 dBm,1
12434,5,25,-78 dBm,1
12481,5,25,-64 dBm,1
12491,5,25,-75 dBm,1
12507,5,25,-63 dBm,1
12787,5,25,-78 dBm,1
12815,5,25,-82 dBm,1
12863,5,25,-64 dBm,1
13042,5,25,-64 dBm,1
13323,5,25,-66 dBm,1
13886,5,25,-65 dBm,1
14022,5,25,-64 dBm,1
14038,5,25,-65 dBm,1
14201,5,25,-72 dBm,1
14281,5,25,-65 dBm,1
14637,5,25,-62 dBm,1
15284,5,25,-66 dBm,1
16162,5,25,-71 dBm,1
16287,5,25,-72 dBm,1
16622,5,25,-77 dBm,1
16774,5,25,-74 dBm,1
16895,5,25,-74 dBm,1
16950,5,25,-77 dBm,1
17315,5,25,-63 dBm,1
17474,5,25,-74 dBm,1
18202,5,25,-65 dBm,1
18841,5,25,-72 dBm,1
19215,5,25,-71 dBm,1
19651,5,25,-72 dBm,1
19678,5,25,-72 dBm,1
19951,5,25,-69 dBm,1
20049,5,25,-72 dBm,1
20088,5,25,-64 dBm,1
20283,5,25,-63 dBm,1
20769,5,25,-71 dBm,1
20801,5,25,-71 dBm,1
21015,5,25,-64 dBm,1
21023,5,25,-72 dBm,1
21970,5,25,-63 dBm,1
22108,5,25,-75 dBm,1
22324,5,25,-65 dBm,1
22341,5,25,-75 dBm,1
22439,5,25,-76 dBm,1
22515,5,25,-75 dBm,1
22811,5,25,-65 dBm,1
22907,5,25,-80 dBm,1
22925,5,25,-74 dBm,1
23185,5,25,-78 dBm,1
23240,5,25,-74 dBm,1
23278,5,25,-62 dBm,1
23286,5,25,-65 dBm,1
24057,5,25,-63 dBm,1
24140,5,25,-64 dBm,1
24385,5,25,-63 dBm,1
24822,5,25,-65 dBm,1
25066,5,25,-64 dBm,1
25193,5,25,-65 dBm,1
25462,5,25,-61 dBm,1
25494,5,25,-65 dBm,1
26340,5,25,-70 dBm,1
26403,5,25,-70 dBm,1
26535,5,25,-70 dBm,1
26567,5,25,-64 dBm,1
26736,5,25,-65 dBm,1
27260,5,25,-62 dBm,1
27396,5,25,-63 dBm,1
