No.,Broadcasters,Sniffer_Distance,RSSI,Malformed Packet
169,3,51.96,-69 dBm,1
172,3,51.96,-72 dBm,1
474,3,51.96,-77 dBm,1
941,3,51.96,-70 dBm,1
1630,3,51.96,-72 dBm,1
1923,3,51.96,-77 dBm,1
2065,3,51.96,-72 dBm,1
2158,3,51.96,-73 dBm,1
2450,3,51.96,-73 dBm,1
2669,3,51.96,-71 dBm,1
3271,3,51.96,-72 dBm,1
3382,3,51.96,-75 dBm,1
3385,3,51.96,-70 dBm,1
3402,3,51.96,-74 dBm,1
3489,3,51.96,-74 dBm,1
3493,3,51.96,-71 dBm,1
3626,3,51.96,-71 dBm,1
3702,3,51.96,-72 dBm,1
3706,3,51.96,-70 dBm,1
3714,3,51.96,-73 dBm,1
3797,3,51.96,-73 dBm,1
3823,3,51.96,-72 dBm,1
3964,3,51.96,-72 dBm,1
4087,3,51.96,-72 dBm,1
4090,3,51.96,-74 dBm,1
4146,3,51.96,-74 dBm,1
4195,3,51.96,-75 dBm,1
4204,3,51.96,-73 dBm,1
4256,3,51.96,-74 dBm,1
4263,3,51.96,-75 dBm,1
4326,3,51.96,-74 dBm,1
4329,3,51.96,-75 dBm,1
4380,3,51.96,-72 dBm,1
4442,3,51.96,-83 dBm,1
4443,3,51.96,-78 dBm,1
4453,3,51.96,-82 dBm,1
4465,3,51.96,-82 dBm,1
4466,3,51.96,-78 dBm,1
4477,3,51.96,-81 dBm,1
4491,3,51.96,-81 dBm,1
4556,3,51.96,-79 dBm,1
4570,3,51.96,-79 dBm,1
4573,3,51.96,-76 dBm,1
4658,3,51.96,-77 dBm,1
4676,3,51.96,-80 dBm,1
4679,3,51.96,-75 dBm,1
4682,3,51.96,-74 dBm,1
4697,3,51.96,-74 dBm,1
4709,3,51.96,-79 dBm,1
4737,3,51.96,-80 dBm,1
4779,3,51.96,-80 dBm,1
4782,3,51.96,-77 dBm,1
4805,3,51.96,-80 dBm,1
4808,3,51.96,-77 dBm,1
4824,3,51.96,-80 dBm,1
4827,3,51.96,-78 dBm,1
4885,3,51.96,-71 dBm,1
4886,3,51.96,-80 dBm,1
4900,3,51.96,-73 dBm,1
4903,3,51.96,-79 dBm,1
4925,3,51.96,-73 dBm,1
4934,3,51.96,-79 dBm,1
4950,3,51.96,-79 dBm,1
4958,3,51.96,-73 dBm,1
4973,3,51.96,-71 dBm,1
