No.,Broadcasters,Sniffer_Distance,RSSI,Malformed Packet
489,6,30,-85 dBm,1
522,6,30,-86 dBm,1
663,6,30,-85 dBm,1
757,6,30,-69 dBm,1
804,6,30,-84 dBm,1
1128,6,30,-86 dBm,1
1129,6,30,-72 dBm,1
1131,6,30,-71 dBm,1
1254,6,30,-88 dBm,1
1462,6,30,-73 dBm,1
1729,6,30,-75 dBm,1
1931,6,30,-74 dBm,1
2760,6,30,-85 dBm,1
2767,6,30,-73 dBm,1
2768,6,30,-71 dBm,1
2985,6,30,-83 dBm,1
3145,6,30,-73 dBm,1
3160,6,30,-73 dBm,1
3230,6,30,-75 dBm,1
3383,6,30,-74 dBm,1
3397,6,30,-72 dBm,1
3399,6,30,-71 dBm,1
3411,6,30,-83 dBm,1
3454,6,30,-72 dBm,1
3455,6,30,-72 dBm,1
3456,6,30,-71 dBm,1
3731,6,30,-73 dBm,1
3820,6,30,-83 dBm,1
3871,6,30,-81 dBm,1
3925,6,30,-84 dBm,1
3973,6,30,-83 dBm,1
3988,6,30,-75 dBm,1
4009,6,30,-84 dBm,1
4213,6,30,-82 dBm,1
4255,6,30,-70 dBm,1
4472,6,30,-71 dBm,1
4648,6,30,-74 dBm,1
4650,6,30,-70 dBm,1
4756,6,30,-79 dBm,1
4887,6,30,-85 dBm,1
4898,6,30,-69 dBm,1
5114,6,30,-72 dBm,1
5191,6,30,-78 dBm,1
5533,6,30,-79 dBm,1
5536,6,30,-74 dBm,1
5543,6,30,-73 dBm,1
5544,6,30,-72 dBm,1
5607,6,30,-73 dBm,1
5619,6,30,-71 dBm,1
5631,6,30,-87 dBm,1
5633,6,30,-79 dBm,1
5660,6,30,-81 dBm,1
5663,6,30,-70 dBm,1
5680,6,30,-72 dBm,1
5718,6,30,-71 dBm,1
5720,6,30,-76 dBm,1
5730,6,30,-70 dBm,1
5731,6,30,-70 dBm,1
5732,6,30,-69 dBm,1
5737,6,30,-80 dBm,1
5766,6,30,-70 dBm,1
5850,6,30,-78 dBm,1
5908,6,30,-80 dBm,1
5931,6,30,-78 dBm,1
5952,6,30,-80 dBm,1
6004,6,30,-77 dBm,1
6056,6,30,-69 dBm,1
6091,6,30,-70 dBm,1
6186,6,30,-69 dBm,1
6352,6,30,-77 dBm,1
6444,6,30,-74 dBm,1
6448,6,30,-86 dBm,1
6465,6,30,-73 dBm,1
6472,6,30,-70 dBm,1
6544,6,30,-80 dBm,1
6604,6,30,-64 dBm,1
6699,6,30,-72 dBm,1
6795,6,30,-77 dBm,1
6798,6,30,-64 dBm,1
6825,6,30,-74 dBm,1
6828,6,30,-82 dBm,1
6851,6,30,-71 dBm,1
6852,6,30,-77 dBm,1
6947,6,30,-69 dBm,1
6948,6,30,-65 dBm,1
7138,6,30,-71 dBm,1
7240,6,30,-71 dBm,1
7256,6,30,-60 dBm,1
7318,6,30,-67 dBm,1
7435,6,30,-72 dBm,1
7451,6,30,-68 dBm,1
7455,6,30,-65 dBm,1
