No.,Broadcasters,Sniffer_Distance,RSSI,Malformed Packet
185,6,45,-76 dBm,1
776,6,45,-66 dBm,1
795,6,45,-76 dBm,1
905,6,45,-68 dBm,1
953,6,45,-76 dBm,1
1102,6,45,-80 dBm,1
1544,6,45,-75 dBm,1
1545,6,45,-74 dBm,1
1546,6,45,-73 dBm,1
1568,6,45,-75 dBm,1
1569,6,45,-74 dBm,1
1781,6,45,-75 dBm,1
1782,6,45,-74 dBm,1
1783,6,45,-73 dBm,1
1880,6,45,-75 dBm,1
1881,6,45,-74 dBm,1
1882,6,45,-73 dBm,1
2126,6,45,-74 dBm,1
2127,6,45,-74 dBm,1
2128,6,45,-73 dBm,1
2243,6,45,-74 dBm,1
2401,6,45,-80 dBm,1
2606,6,45,-75 dBm,1
2607,6,45,-74 dBm,1
2608,6,45,-73 dBm,1
2825,6,45,-74 dBm,1
2840,6,45,-75 dBm,1
2841,6,45,-74 dBm,1
2842,6,45,-73 dBm,1
2871,6,45,-76 dBm,1
3090,6,45,-76 dBm,1
3152,6,45,-74 dBm,1
3153,6,45,-74 dBm,1
3154,6,45,-73 dBm,1
3215,6,45,-76 dBm,1
4202,6,45,-74 dBm,1
4706,6,45,-74 dBm,1
4740,6,45,-73 dBm,1
5579,6,45,-75 dBm,1
5660,6,45,-67 dBm,1
5710,6,45,-72 dBm,1
5730,6,45,-76 dBm,1
5785,6,45,-69 dBm,1
5816,6,45,-70 dBm,1
5837,6,45,-78 dBm,1
5849,6,45,-77 dBm,1
5851,6,45,-82 dBm,1
5855,6,45,-71 dBm,1
5900,6,45,-78 dBm,1
5912,6,45,-77 dBm,1
6033,6,45,-70 dBm,1
6074,6,45,-76 dBm,1
6078,6,45,-75 dBm,1
6080,6,45,-77 dBm,1
6189,6,45,-78 dBm,1
6259,6,45,-74 dBm,1
6269,6,45,-78 dBm,1
6286,6,45,-77 dBm,1
6292,6,45,-76 dBm,1
6349,6,45,-72 dBm,1
6356,6,45,-72 dBm,1
6359,6,45,-74 dBm,1
6363,6,45,-78 dBm,1
6392,6,45,-76 dBm,1
6394,6,45,-78 dBm,1
6402,6,45,-73 dBm,1
6429,6,45,-81 dBm,1
6475,6,45,-72 dBm,1
6480,6,45,-76 dBm,1
6553,6,45,-74 dBm,1
6564,6,45,-74 dBm,1
6588,6,45,-73 dBm,1
6635,6,45,-73 dBm,1
6653,6,45,-71 dBm,1
6717,6,45,-61 dBm,1
6752,6,45,-76 dBm,1
6758,6,45,-73 dBm,1
6778,6,45,-81 dBm,1
6792,6,45,-76 dBm,1
6803,6,45,-70 dBm,1
6880,6,45,-76 dBm,1
6909,6,45,-81 dBm,1
6910,6,45,-76 dBm,1
6911,6,45,-73 dBm,1
6960,6,45,-73 dBm,1
7034,6,45,-79 dBm,1
7036,6,45,-70 dBm,1
7061,6,45,-74 dBm,1
7087,6,45,-70 dBm,1
7195,6,45,-73 dBm,1
7232,6,45,-71 dBm,1
7298,6,45,-70 dBm,1
7352,6,45,-79 dBm,1
7367,6,45,-71 dBm,1
7383,6,45,-73 dBm,1
7402,6,45,-77 dBm,1
7471,6,45,-79 dBm,1
7481,6,45,-72 dBm,1
7542,6,45,-81 dBm,1
7555,6,45,-72 dBm,1
7580,6,45,-79 dBm,1
7648,6,45,-83 dBm,1
7676,6,45,-73 dBm,1
7693,6,45,-72 dBm,1
7700,6,45,-72 dBm,1
7708,6,45,-79 dBm,1
7790,6,45,-74 dBm,1
7809,6,45,-80 dBm,1
7826,6,45,-77 dBm,1
7827,6,45,-83 dBm,1
7828,6,45,-83 dBm,1
7852,6,45,-81 dBm,1
7875,6,45,-74 dBm,1
7931,6,45,-79 dBm,1
7972,6,45,-72 dBm,1
8025,6,45,-79 dBm,1
8080,6,45,-82 dBm,1
8183,6,45,-80 dBm,1
8276,6,45,-75 dBm,1
8296,6,45,-74 dBm,1
8297,6,45,-80 dBm,1
8387,6,45,-81 dBm,1
8390,6,45,-79 dBm,1
8399,6,45,-77 dBm,1
8430,6,45,-79 dBm,1
