No.,Broadcasters,Sniffer_Distance,RSSI,Malformed Packet
38,6,90,-87 dBm,1
179,6,90,-81 dBm,1
180,6,90,-85 dBm,1
251,6,90,-87 dBm,1
252,6,90,-82 dBm,1
362,6,90,-84 dBm,1
365,6,90,-84 dBm,1
383,6,90,-80 dBm,1
549,6,90,-76 dBm,1
593,6,90,-83 dBm,1
668,6,90,-80 dBm,1
755,6,90,-82 dBm,1
758,6,90,-88 dBm,1
833,6,90,-70 dBm,1
887,6,90,-81 dBm,1
938,6,90,-88 dBm,1
939,6,90,-86 dBm,1
956,6,90,-83 dBm,1
962,6,90,-82 dBm,1
968,6,90,-87 dBm,1
992,6,90,-81 dBm,1
1043,6,90,-82 dBm,1
1070,6,90,-83 dBm,1
1073,6,90,-87 dBm,1
1124,6,90,-88 dBm,1
1127,6,90,-84 dBm,1
1134,6,90,-70 dBm,1
1136,6,90,-84 dBm,1
1162,6,90,-74 dBm,1
1181,6,90,-83 dBm,1
1238,6,90,-78 dBm,1
1241,6,90,-84 dBm,1
1259,6,90,-86 dBm,1
1262,6,90,-85 dBm,1
1280,6,90,-82 dBm,1
1292,6,90,-85 dBm,1
1304,6,90,-85 dBm,1
1343,6,90,-86 dBm,1
1370,6,90,-83 dBm,1
1385,6,90,-83 dBm,1
1406,6,90,-82 dBm,1
1412,6,90,-83 dBm,1
1445,6,90,-86 dBm,1
1490,6,90,-87 dBm,1
1526,6,90,-77 dBm,1
1544,6,90,-82 dBm,1
1574,6,90,-86 dBm,1
1621,6,90,-81 dBm,1
1623,6,90,-81 dBm,1
1756,6,90,-82 dBm,1
1764,6,90,-79 dBm,1
1796,6,90,-84 dBm,1
1874,6,90,-91 dBm,1
1876,6,90,-82 dBm,1
1891,6,90,-85 dBm,1
1910,6,90,-79 dBm,1
1919,6,90,-81 dBm,1
1984,6,90,-75 dBm,1
1988,6,90,-84 dBm,1
2027,6,90,-84 dBm,1
2111,6,90,-84 dBm,1
2129,6,90,-79 dBm,1
2144,6,90,-79 dBm,1
2156,6,90,-79 dBm,1
2159,6,90,-84 dBm,1
2210,6,90,-84 dBm,1
2214,6,90,-86 dBm,1
2237,6,90,-79 dBm,1
2337,6,90,-80 dBm,1
2351,6,90,-84 dBm,1
2370,6,90,-79 dBm,1
2390,6,90,-79 dBm,1
2392,6,90,-82 dBm,1
2399,6,90,-83 dBm,1
2431,6,90,-74 dBm,1
2465,6,90,-79 dBm,1
2504,6,90,-84 dBm,1
2549,6,90,-83 dBm,1
2558,6,90,-84 dBm,1
2559,6,90,-82 dBm,1
2570,6,90,-90 dBm,1
2606,6,90,-85 dBm,1
2660,6,90,-86 dBm,1
2672,6,90,-80 dBm,1
2711,6,90,-78 dBm,1
2738,6,90,-84 dBm,1
2771,6,90,-82 dBm,1
2792,6,90,-77 dBm,1
2832,6,90,-85 dBm,1
2874,6,90,-86 dBm,1
2880,6,90,-87 dBm,1
2930,6,90,-84 dBm,1
3002,6,90,-81 dBm,1
3005,6,90,-84 dBm,1
3017,6,90,-81 dBm,1
3032,6,90,-79 dBm,1
3041,6,90,-84 dBm,1
3064,6,90,-83 dBm,1
3071,6,90,-79 dBm,1
3269,6,90,-86 dBm,1
3296,6,90,-79 dBm,1
3302,6,90,-80 dBm,1
3371,6,90,-87 dBm,1
3380,6,90,-80 dBm,1
3385,6,90,-79 dBm,1
3392,6,90,-87 dBm,1
3414,6,90,-84 dBm,1
3446,6,90,-81 dBm,1
3455,6,90,-81 dBm,1
3484,6,90,-77 dBm,1
3488,6,90,-79 dBm,1
3506,6,90,-80 dBm,1
3508,6,90,-83 dBm,1
3524,6,90,-80 dBm,1
3545,6,90,-80 dBm,1
3605,6,90,-81 dBm,1
3622,6,90,-83 dBm,1
3626,6,90,-80 dBm,1
3665,6,90,-80 dBm,1
3668,6,90,-81 dBm,1
3680,6,90,-84 dBm,1
3740,6,90,-86 dBm,1
3855,6,90,-81 dBm,1
3918,6,90,-80 dBm,1
3941,6,90,-80 dBm,1
3945,6,90,-85 dBm,1
3968,6,90,-88 dBm,1
4042,6,90,-84 dBm,1
4067,6,90,-80 dBm,1
4073,6,90,-80 dBm,1
4202,6,90,-90 dBm,1
4281,6,90,-74 dBm,1
4342,6,90,-73 dBm,1
4354,6,90,-77 dBm,1
4388,6,90,-75 dBm,1
4410,6,90,-75 dBm,1
4411,6,90,-84 dBm,1
4418,6,90,-78 dBm,1
4428,6,90,-74 dBm,1
4445,6,90,-83 dBm,1
4466,6,90,-83 dBm,1
4489,6,90,-79 dBm,1
4520,6,90,-78 dBm,1
4534,6,90,-77 dBm,1
4554,6,90,-76 dBm,1
4598,6,90,-82 dBm,1
4617,6,90,-81 dBm,1
4690,6,90,-76 dBm,1
4707,6,90,-74 dBm,1
