No.,Broadcasters,Sniffer_Distance,RSSI,Malformed Packet
3041,2,30,-68 dBm,1
3137,2,30,-64 dBm,1
4064,2,30,-68 dBm,1
4711,2,30,-72 dBm,1
4726,2,30,-73 dBm,1
4760,2,30,-74 dBm,1
4776,2,30,-75 dBm,1
4784,2,30,-72 dBm,1
4854,2,30,-75 dBm,1
5406,2,30,-69 dBm,1
5515,2,30,-73 dBm,1
5586,2,30,-76 dBm,1
5589,2,30,-78 dBm,1
5624,2,30,-73 dBm,1
5897,2,30,-74 dBm,1
5979,2,30,-76 dBm,1
5994,2,30,-76 dBm,1
6382,2,30,-75 dBm,1
6504,2,30,-66 dBm,1
6535,2,30,-69 dBm,1
7023,2,30,-68 dBm,1
7088,2,30,-69 dBm,1
7214,2,30,-71 dBm,1
7442,2,30,-68 dBm,1
7730,2,30,-73 dBm,1
7986,2,30,-68 dBm,1
8326,2,30,-68 dBm,1
8365,2,30,-73 dBm,1
8967,2,30,-69 dBm,1
9166,2,30,-72 dBm,1
9615,2,30,-70 dBm,1
10070,2,30,-67 dBm,1
10288,2,30,-69 dBm,1
11082,2,30,-68 dBm,1
12601,2,30,-71 dBm,1
12931,2,30,-68 dBm,1
13022,2,30,-67 dBm,1
13175,2,30,-70 dBm,1
13183,2,30,-69 dBm,1
14513,2,30,-72 dBm,1
16041,2,30,-70 dBm,1
16069,2,30,-70 dBm,1
16257,2,30,-70 dBm,1
16506,2,30,-72 dBm,1
16901,2,30,-73 dBm,1
16964,2,30,-73 dBm,1
17022,2,30,-68 dBm,1
17194,2,30,-73 dBm,1
17218,2,30,-68 dBm,1
17311,2,30,-73 dBm,1
17386,2,30,-70 dBm,1
18324,2,30,-72 dBm,1
18877,2,30,-69 dBm,1
19287,2,30,-72 dBm,1
19597,2,30,-70 dBm,1
19868,2,30,-70 dBm,1
20766,2,30,-69 dBm,1
21028,2,30,-68 dBm,1
21605,2,30,-68 dBm,1
21875,2,30,-68 dBm,1
22289,2,30,-70 dBm,1
22365,2,30,-70 dBm,1
22518,2,30,-69 dBm,1
22645,2,30,-70 dBm,1
23757,2,30,-72 dBm,1
24159,2,30,-72 dBm,1
24215,2,30,-70 dBm,1
24501,2,30,-73 dBm,1
24603,2,30,-70 dBm,1
24706,2,30,-72 dBm,1
24828,2,30,-73 dBm,1
25036,2,30,-73 dBm,1
25133,2,30,-72 dBm,1
25705,2,30,-72 dBm,1
25812,2,30,-73 dBm,1
25828,2,30,-70 dBm,1
26119,2,30,-69 dBm,1
26200,2,30,-68 dBm,1
26697,2,30,-69 dBm,1
27139,2,30,-66 dBm,1
27146,2,30,-70 dBm,1
27233,2,30,-72 dBm,1
27257,2,30,-71 dBm,1
27347,2,30,-73 dBm,1
27423,2,30,-72 dBm,1
27737,2,30,-69 dBm,1
27803,2,30,-71 dBm,1
27851,2,30,-71 dBm,1
27867,2,30,-71 dBm,1
27890,2,30,-71 dBm,1
28109,2,30,-71 dBm,1
28352,2,30,-71 dBm,1
28360,2,30,-71 dBm,1
28383,2,30,-71 dBm,1
28462,2,30,-71 dBm,1
28525,2,30,-71 dBm,1
29112,2,30,-68 dBm,1
29324,2,30,-71 dBm,1
29705,2,30,-68 dBm,1
31223,2,30,-71 dBm,1
31642,2,30,-72 dBm,1
31819,2,30,-71 dBm,1
32351,2,30,-89 dBm,1
32509,2,30,-68 dBm,1
32583,2,30,-71 dBm,1
32599,2,30,-71 dBm,1
32674,2,30,-71 dBm,1
32835,2,30,-71 dBm,1
33057,2,30,-71 dBm,1
33660,2,30,-71 dBm,1
33847,2,30,-71 dBm,1
34085,2,30,-83 dBm,1
34115,2,30,-72 dBm,1
34200,2,30,-88 dBm,1
34216,2,30,-86 dBm,1
34250,2,30,-68 dBm,1
34328,2,30,-69 dBm,1
35353,2,30,-71 dBm,1
35377,2,30,-67 dBm,1
35512,2,30,-68 dBm,1
35882,2,30,-71 dBm,1
35926,2,30,-71 dBm,1
35929,2,30,-72 dBm,1
35996,2,30,-71 dBm,1
36042,2,30,-69 dBm,1
36098,2,30,-72 dBm,1
36310,2,30,-69 dBm,1
36354,2,30,-68 dBm,1
36678,2,30,-72 dBm,1
36820,2,30,-73 dBm,1
37082,2,30,-72 dBm,1
37094,2,30,-71 dBm,1
37881,2,30,-71 dBm,1
37917,2,30,-68 dBm,1
38449,2,30,-69 dBm,1
38469,2,30,-68 dBm,1
38833,2,30,-71 dBm,1
38889,2,30,-71 dBm,1
39094,2,30,-71 dBm,1
39282,2,30,-71 dBm,1
39294,2,30,-71 dBm,1
39651,2,30,-71 dBm,1
39892,2,30,-72 dBm,1
39931,2,30,-71 dBm,1
40078,2,30,-71 dBm,1
40498,2,30,-71 dBm,1
40823,2,30,-69 dBm,1
40984,2,30,-69 dBm,1
41129,2,30,-71 dBm,1
41461,2,30,-72 dBm,1
41476,2,30,-71 dBm,1
41542,2,30,-72 dBm,1
41627,2,30,-71 dBm,1
41726,2,30,-68 dBm,1
42102,2,30,-71 dBm,1
42114,2,30,-72 dBm,1
42317,2,30,-72 dBm,1
42683,2,30,-72 dBm,1
42796,2,30,-72 dBm,1
43014,2,30,-71 dBm,1
43179,2,30,-67 dBm,1
43660,2,30,-67 dBm,1
44125,2,30,-72 dBm,1
44159,2,30,-68 dBm,1
44253,2,30,-72 dBm,1
44368,2,30,-71 dBm,1
44473,2,30,-72 dBm,1
45054,2,30,-69 dBm,1
45506,2,30,-72 dBm,1
45821,2,30,-72 dBm,1
45931,2,30,-73 dBm,1
46057,2,30,-71 dBm,1
46125,2,30,-72 dBm,1
46564,2,30,-73 dBm,1
46885,2,30,-71 dBm,1
47258,2,30,-72 dBm,1
47337,2,30,-71 dBm,1
47447,2,30,-72 dBm,1
48026,2,30,-68 dBm,1
48077,2,30,-73 dBm,1
48101,2,30,-67 dBm,1
48275,2,30,-68 dBm,1
48295,2,30,-73 dBm,1
48306,2,30,-68 dBm,1
48400,2,30,-73 dBm,1
48519,2,30,-68 dBm,1
48693,2,30,-73 dBm,1
48776,2,30,-71 dBm,1
48895,2,30,-73 dBm,1
48975,2,30,-71 dBm,1
49006,2,30,-72 dBm,1
49034,2,30,-69 dBm,1
49041,2,30,-73 dBm,1
49100,2,30,-69 dBm,1
49104,2,30,-73 dBm,1
49147,2,30,-71 dBm,1
49230,2,30,-73 dBm,1
49269,2,30,-71 dBm,1
49329,2,30,-67 dBm,1
49515,2,30,-73 dBm,1
50266,2,30,-71 dBm,1
50502,2,30,-71 dBm,1
50514,2,30,-73 dBm,1
50682,2,30,-71 dBm,1
50720,2,30,-71 dBm,1
50953,2,30,-71 dBm,1
51068,2,30,-69 dBm,1
51423,2,30,-71 dBm,1
52286,2,30,-72 dBm,1
52417,2,30,-71 dBm,1
52556,2,30,-68 dBm,1
52572,2,30,-69 dBm,1
52919,2,30,-72 dBm,1
52974,2,30,-71 dBm,1
53144,2,30,-71 dBm,1
53281,2,30,-71 dBm,1
53305,2,30,-72 dBm,1
53502,2,30,-69 dBm,1
53727,2,30,-73 dBm,1
53771,2,30,-72 dBm,1
53886,2,30,-72 dBm,1
54495,2,30,-73 dBm,1
54671,2,30,-73 dBm,1
55264,2,30,-73 dBm,1
55712,2,30,-73 dBm,1
55794,2,30,-72 dBm,1
56045,2,30,-72 dBm,1
56116,2,30,-74 dBm,1
56290,2,30,-68 dBm,1
57182,2,30,-72 dBm,1
57665,2,30,-68 dBm,1
57709,2,30,-68 dBm,1
57919,2,30,-74 dBm,1
