No.,Broadcasters,Sniffer_Distance,RSSI,Malformed Packet
3,6,60,-73 dBm,1
41,6,60,-83 dBm,1
399,6,60,-66 dBm,1
407,6,60,-84 dBm,1
473,6,60,-85 dBm,1
515,6,60,-85 dBm,1
555,6,60,-70 dBm,1
607,6,60,-71 dBm,1
710,6,60,-85 dBm,1
784,6,60,-70 dBm,1
815,6,60,-85 dBm,1
1169,6,60,-84 dBm,1
1213,6,60,-71 dBm,1
1598,6,60,-75 dBm,1
1655,6,60,-85 dBm,1
1904,6,60,-85 dBm,1
1908,6,60,-63 dBm,1
1919,6,60,-71 dBm,1
1961,6,60,-85 dBm,1
1982,6,60,-85 dBm,1
2009,6,60,-84 dBm,1
2080,6,60,-77 dBm,1
2238,6,60,-74 dBm,1
2321,6,60,-84 dBm,1
2355,6,60,-61 dBm,1
2578,6,60,-78 dBm,1
2697,6,60,-73 dBm,1
2935,6,60,-77 dBm,1
3176,6,60,-84 dBm,1
3509,6,60,-84 dBm,1
3546,6,60,-62 dBm,1
3710,6,60,-85 dBm,1
3827,6,60,-85 dBm,1
4115,6,60,-84 dBm,1
4139,6,60,-86 dBm,1
4148,6,60,-86 dBm,1
4205,6,60,-88 dBm,1
4320,6,60,-86 dBm,1
4383,6,60,-79 dBm,1
4397,6,60,-88 dBm,1
4422,6,60,-85 dBm,1
4559,6,60,-89 dBm,1
4619,6,60,-87 dBm,1
4716,6,60,-88 dBm,1
4887,6,60,-88 dBm,1
5024,6,60,-84 dBm,1
5085,6,60,-87 dBm,1
5106,6,60,-86 dBm,1
5271,6,60,-57 dBm,1
5292,6,60,-90 dBm,1
5340,6,60,-76 dBm,1
5438,6,60,-84 dBm,1
5520,6,60,-74 dBm,1
5558,6,60,-68 dBm,1
5657,6,60,-83 dBm,1
5683,6,60,-75 dBm,1
5726,6,60,-71 dBm,1
5741,6,60,-80 dBm,1
5785,6,60,-61 dBm,1
5809,6,60,-75 dBm,1
5810,6,60,-76 dBm,1
5845,6,60,-78 dBm,1
5847,6,60,-77 dBm,1
5918,6,60,-87 dBm,1
5961,6,60,-82 dBm,1
6000,6,60,-78 dBm,1
6006,6,60,-78 dBm,1
6022,6,60,-78 dBm,1
6029,6,60,-79 dBm,1
6036,6,60,-77 dBm,1
6038,6,60,-77 dBm,1
6039,6,60,-83 dBm,1
6052,6,60,-78 dBm,1
6067,6,60,-83 dBm,1
6107,6,60,-84 dBm,1
6143,6,60,-77 dBm,1
6170,6,60,-69 dBm,1
6184,6,60,-76 dBm,1
6198,6,60,-61 dBm,1
6199,6,60,-68 dBm,1
6209,6,60,-78 dBm,1
6239,6,60,-78 dBm,1
6249,6,60,-69 dBm,1
6260,6,60,-77 dBm,1
6262,6,60,-77 dBm,1
6277,6,60,-70 dBm,1
6313,6,60,-78 dBm,1
6342,6,60,-69 dBm,1
6358,6,60,-69 dBm,1
6359,6,60,-68 dBm,1
6387,6,60,-76 dBm,1
6442,6,60,-77 dBm,1
6473,6,60,-77 dBm,1
6478,6,60,-75 dBm,1
6480,6,60,-84 dBm,1
6491,6,60,-76 dBm,1
6494,6,60,-75 dBm,1
6508,6,60,-78 dBm,1
6531,6,60,-76 dBm,1
6540,6,60,-69 dBm,1
6571,6,60,-76 dBm,1
6582,6,60,-76 dBm,1
6588,6,60,-77 dBm,1
6608,6,60,-81 dBm,1
6631,6,60,-79 dBm,1
6643,6,60,-78 dBm,1
6661,6,60,-80 dBm,1
6664,6,60,-78 dBm,1
6687,6,60,-75 dBm,1
6688,6,60,-76 dBm,1
6704,6,60,-76 dBm,1
6725,6,60,-79 dBm,1
6728,6,60,-77 dBm,1
6758,6,60,-78 dBm,1
6786,6,60,-77 dBm,1
6811,6,60,-78 dBm,1
6832,6,60,-76 dBm,1
6834,6,60,-79 dBm,1
6844,6,60,-78 dBm,1
6854,6,60,-78 dBm,1
6857,6,60,-82 dBm,1
6863,6,60,-69 dBm,1
6876,6,60,-78 dBm,1
6878,6,60,-76 dBm,1
6912,6,60,-79 dBm,1
6935,6,60,-78 dBm,1
6936,6,60,-80 dBm,1
6962,6,60,-81 dBm,1
6971,6,60,-79 dBm,1
6976,6,60,-79 dBm,1
7004,6,60,-81 dBm,1
7032,6,60,-82 dBm,1
7124,6,60,-76 dBm,1
7133,6,60,-79 dBm,1
7151,6,60,-73 dBm,1
7193,6,60,-78 dBm,1
7218,6,60,-74 dBm,1
7231,6,60,-77 dBm,1
7237,6,60,-72 dBm,1
7445,6,60,-75 dBm,1
7479,6,60,-82 dBm,1
7497,6,60,-72 dBm,1
7504,6,60,-80 dBm,1
7572,6,60,-73 dBm,1
7582,6,60,-82 dBm,1
7599,6,60,-66 dBm,1
7623,6,60,-81 dBm,1
7670,6,60,-71 dBm,1
7725,6,60,-78 dBm,1
7747,6,60,-81 dBm,1
7755,6,60,-73 dBm,1
7758,6,60,-64 dBm,1
7768,6,60,-74 dBm,1
7776,6,60,-60 dBm,1
7778,6,60,-78 dBm,1
7806,6,60,-83 dBm,1
7810,6,60,-71 dBm,1
7844,6,60,-70 dBm,1
7906,6,60,-59 dBm,1
7951,6,60,-68 dBm,1
7966,6,60,-59 dBm,1
8005,6,60,-76 dBm,1
8029,6,60,-70 dBm,1
8069,6,60,-77 dBm,1
8114,6,60,-73 dBm,1
8159,6,60,-82 dBm,1
8174,6,60,-80 dBm,1
8193,6,60,-80 dBm,1
8194,6,60,-79 dBm,1
8200,6,60,-80 dBm,1
8209,6,60,-77 dBm,1
8241,6,60,-81 dBm,1
8277,6,60,-68 dBm,1
8330,6,60,-78 dBm,1
8367,6,60,-80 dBm,1
8465,6,60,-78 dBm,1
8466,6,60,-79 dBm,1
8493,6,60,-64 dBm,1
8506,6,60,-69 dBm,1
8508,6,60,-80 dBm,1
8520,6,60,-59 dBm,1
8632,6,60,-73 dBm,1
8646,6,60,-80 dBm,1
8701,6,60,-83 dBm,1
8728,6,60,-79 dBm,1
8759,6,60,-79 dBm,1
8779,6,60,-78 dBm,1
8806,6,60,-78 dBm,1
8808,6,60,-63 dBm,1
8858,6,60,-81 dBm,1
8888,6,60,-78 dBm,1
8894,6,60,-80 dBm,1
8905,6,60,-79 dBm,1
8906,6,60,-79 dBm,1
8962,6,60,-77 dBm,1
8974,6,60,-81 dBm,1
8998,6,60,-78 dBm,1
9068,6,60,-79 dBm,1
9072,6,60,-75 dBm,1
9074,6,60,-82 dBm,1
9085,6,60,-67 dBm,1
9145,6,60,-79 dBm,1
9162,6,60,-81 dBm,1
9218,6,60,-70 dBm,1
9225,6,60,-80 dBm,1
9253,6,60,-71 dBm,1
9286,6,60,-66 dBm,1
9325,6,60,-78 dBm,1
9334,6,60,-78 dBm,1
9412,6,60,-79 dBm,1
9436,6,60,-70 dBm,1
9448,6,60,-70 dBm,1
9452,6,60,-56 dBm,1
9465,6,60,-66 dBm,1
9471,6,60,-82 dBm,1
9492,6,60,-75 dBm,1
9531,6,60,-78 dBm,1
9542,6,60,-66 dBm,1
9576,6,60,-84 dBm,1
9577,6,60,-57 dBm,1
9647,6,60,-82 dBm,1
9660,6,60,-66 dBm,1
9693,6,60,-70 dBm,1
9740,6,60,-66 dBm,1
9761,6,60,-79 dBm,1
9768,6,60,-77 dBm,1
9789,6,60,-80 dBm,1
9790,6,60,-65 dBm,1
9819,6,60,-57 dBm,1
9888,6,60,-77 dBm,1
9889,6,60,-78 dBm,1
9905,6,60,-78 dBm,1
9906,6,60,-84 dBm,1
9922,6,60,-80 dBm,1
9949,6,60,-81 dBm,1
9987,6,60,-66 dBm,1
9988,6,60,-65 dBm,1
10013,6,60,-65 dBm,1
10041,6,60,-78 dBm,1
10153,6,60,-70 dBm,1
10181,6,60,-77 dBm,1
10218,6,60,-79 dBm,1
10262,6,60,-79 dBm,1
10294,6,60,-81 dBm,1
10391,6,60,-80 dBm,1
10418,6,60,-81 dBm,1
10462,6,60,-77 dBm,1
10478,6,60,-78 dBm,1
10485,6,60,-79 dBm,1
10511,6,60,-56 dBm,1
10513,6,60,-63 dBm,1
10531,6,60,-82 dBm,1
10545,6,60,-70 dBm,1
10615,6,60,-66 dBm,1
10658,6,60,-87 dBm,1
10694,6,60,-80 dBm,1
10753,6,60,-79 dBm,1
10762,6,60,-83 dBm,1
10785,6,60,-86 dBm,1
10792,6,60,-65 dBm,1
10835,6,60,-79 dBm,1
10852,6,60,-78 dBm,1
10857,6,60,-79 dBm,1
10879,6,60,-75 dBm,1
10897,6,60,-71 dBm,1
10913,6,60,-83 dBm,1
10981,6,60,-76 dBm,1
10982,6,60,-61 dBm,1
10983,6,60,-63 dBm,1
11096,6,60,-78 dBm,1
11105,6,60,-79 dBm,1
11121,6,60,-77 dBm,1
11145,6,60,-81 dBm,1
11181,6,60,-69 dBm,1
11201,6,60,-83 dBm,1
11202,6,60,-80 dBm,1
11266,6,60,-70 dBm,1
11305,6,60,-78 dBm,1
11327,6,60,-82 dBm,1
11342,6,60,-79 dBm,1
11343,6,60,-79 dBm,1
11384,6,60,-79 dBm,1
11396,6,60,-76 dBm,1
11418,6,60,-79 dBm,1
11434,6,60,-75 dBm,1
11523,6,60,-74 dBm,1
11524,6,60,-83 dBm,1
11536,6,60,-80 dBm,1
11549,6,60,-83 dBm,1
11559,6,60,-76 dBm,1
11565,6,60,-69 dBm,1
11566,6,60,-79 dBm,1
11567,6,60,-80 dBm,1
11576,6,60,-74 dBm,1
11586,6,60,-79 dBm,1
11602,6,60,-78 dBm,1
11622,6,60,-70 dBm,1
11667,6,60,-77 dBm,1
11719,6,60,-78 dBm,1
11834,6,60,-82 dBm,1
11845,6,60,-79 dBm,1
11901,6,60,-79 dBm,1
11902,6,60,-82 dBm,1
11926,6,60,-80 dBm,1
11987,6,60,-77 dBm,1
12014,6,60,-82 dBm,1
12061,6,60,-79 dBm,1
12091,6,60,-76 dBm,1
12181,6,60,-78 dBm,1
12331,6,60,-83 dBm,1
12423,6,60,-78 dBm,1
12426,6,60,-73 dBm,1
12470,6,60,-74 dBm,1
12503,6,60,-80 dBm,1
12533,6,60,-78 dBm,1
12541,6,60,-73 dBm,1
12571,6,60,-68 dBm,1
12575,6,60,-76 dBm,1
12576,6,60,-81 dBm,1
12637,6,60,-77 dBm,1
12642,6,60,-73 dBm,1
12654,6,60,-71 dBm,1
12728,6,60,-79 dBm,1
12744,6,60,-78 dBm,1
12823,6,60,-82 dBm,1
12888,6,60,-78 dBm,1
12924,6,60,-67 dBm,1
12938,6,60,-80 dBm,1
12945,6,60,-85 dBm,1
12994,6,60,-78 dBm,1
13017,6,60,-79 dBm,1
13094,6,60,-80 dBm,1
13115,6,60,-80 dBm,1
13130,6,60,-79 dBm,1
13132,6,60,-78 dBm,1
13155,6,60,-72 dBm,1
13165,6,60,-78 dBm,1
13223,6,60,-79 dBm,1
13225,6,60,-80 dBm,1
13246,6,60,-78 dBm,1
13268,6,60,-79 dBm,1
13291,6,60,-80 dBm,1
13310,6,60,-80 dBm,1
13311,6,60,-80 dBm,1
13318,6,60,-69 dBm,1
13326,6,60,-80 dBm,1
13364,6,60,-69 dBm,1
13371,6,60,-86 dBm,1
13444,6,60,-80 dBm,1
13456,6,60,-80 dBm,1
13467,6,60,-78 dBm,1
13478,6,60,-79 dBm,1
13482,6,60,-77 dBm,1
13497,6,60,-78 dBm,1
13499,6,60,-85 dBm,1
13555,6,60,-84 dBm,1
13599,6,60,-78 dBm,1
13603,6,60,-78 dBm,1
13624,6,60,-69 dBm,1
13626,6,60,-82 dBm,1
13628,6,60,-79 dBm,1
13654,6,60,-79 dBm,1
13709,6,60,-79 dBm,1
13713,6,60,-82 dBm,1
13719,6,60,-79 dBm,1
13817,6,60,-79 dBm,1
13819,6,60,-79 dBm,1
13841,6,60,-79 dBm,1
13842,6,60,-81 dBm,1
13855,6,60,-82 dBm,1
13925,6,60,-83 dBm,1
13940,6,60,-79 dBm,1
13979,6,60,-79 dBm,1
13987,6,60,-74 dBm,1
13993,6,60,-82 dBm,1
14028,6,60,-79 dBm,1
14036,6,60,-79 dBm,1
14048,6,60,-80 dBm,1
14057,6,60,-79 dBm,1
14082,6,60,-80 dBm,1
14117,6,60,-81 dBm,1
14136,6,60,-80 dBm,1
14164,6,60,-75 dBm,1
14169,6,60,-80 dBm,1
14198,6,60,-83 dBm,1
14199,6,60,-79 dBm,1
14212,6,60,-82 dBm,1
14228,6,60,-81 dBm,1
14238,6,60,-79 dBm,1
14268,6,60,-79 dBm,1
14269,6,60,-81 dBm,1
14278,6,60,-79 dBm,1
14299,6,60,-83 dBm,1
14318,6,60,-81 dBm,1
14397,6,60,-81 dBm,1
14433,6,60,-81 dBm,1
14435,6,60,-81 dBm,1
14449,6,60,-81 dBm,1
14468,6,60,-81 dBm,1
14478,6,60,-79 dBm,1
14499,6,60,-82 dBm,1
14524,6,60,-78 dBm,1
14530,6,60,-82 dBm,1
14533,6,60,-80 dBm,1
14605,6,60,-80 dBm,1
14612,6,60,-80 dBm,1
14643,6,60,-67 dBm,1
14655,6,60,-77 dBm,1
14682,6,60,-80 dBm,1
14702,6,60,-81 dBm,1
14745,6,60,-80 dBm,1
14754,6,60,-82 dBm,1
14811,6,60,-80 dBm,1
14813,6,60,-85 dBm,1
14815,6,60,-70 dBm,1
14848,6,60,-86 dBm,1
14866,6,60,-85 dBm,1
14869,6,60,-77 dBm,1
14898,6,60,-80 dBm,1
14927,6,60,-80 dBm,1
14954,6,60,-80 dBm,1
