No.,Broadcasters,Sniffer_Distance,RSSI,Malformed Packet
3,5,50,-74 dBm,1
126,5,50,-79 dBm,1
160,5,50,-81 dBm,1
180,5,50,-80 dBm,1
263,5,50,-76 dBm,1
297,5,50,-78 dBm,1
671,5,50,-72 dBm,1
681,5,50,-79 dBm,1
1181,5,50,-75 dBm,1
1244,5,50,-77 dBm,1
1303,5,50,-77 dBm,1
1310,5,50,-72 dBm,1
1597,5,50,-77 dBm,1
1616,5,50,-73 dBm,1
1659,5,50,-80 dBm,1
1691,5,50,-69 dBm,1
1707,5,50,-80 dBm,1
1752,5,50,-80 dBm,1
2377,5,50,-77 dBm,1
2418,5,50,-69 dBm,1
2549,5,50,-67 dBm,1
2753,5,50,-70 dBm,1
2871,5,50,-79 dBm,1
3020,5,50,-75 dBm,1
3095,5,50,-73 dBm,1
3104,5,50,-75 dBm,1
3508,5,50,-80 dBm,1
3906,5,50,-77 dBm,1
4091,5,50,-66 dBm,1
4122,5,50,-77 dBm,1
4382,5,50,-75 dBm,1
4691,5,50,-76 dBm,1
4692,5,50,-79 dBm,1
4802,5,50,-76 dBm,1
5019,5,50,-78 dBm,1
5558,5,50,-73 dBm,1
5566,5,50,-70 dBm,1
5580,5,50,-77 dBm,1
5600,5,50,-78 dBm,1
5658,5,50,-78 dBm,1
5673,5,50,-76 dBm,1
5682,5,50,-78 dBm,1
5698,5,50,-72 dBm,1
5700,5,50,-75 dBm,1
5726,5,50,-75 dBm,1
5728,5,50,-68 dBm,1
5729,5,50,-72 dBm,1
5736,5,50,-77 dBm,1
5756,5,50,-72 dBm,1
5761,5,50,-74 dBm,1
5769,5,50,-77 dBm,1
5770,5,50,-75 dBm,1
5781,5,50,-75 dBm,1
5809,5,50,-77 dBm,1
5861,5,50,-78 dBm,1
5868,5,50,-77 dBm,1
5874,5,50,-75 dBm,1
5890,5,50,-78 dBm,1
5903,5,50,-69 dBm,1
5918,5,50,-78 dBm,1
5926,5,50,-76 dBm,1
5933,5,50,-77 dBm,1
5959,5,50,-76 dBm,1
5987,5,50,-78 dBm,1
6013,5,50,-75 dBm,1
6023,5,50,-77 dBm,1
6035,5,50,-80 dBm,1
6062,5,50,-75 dBm,1
6067,5,50,-76 dBm,1
6078,5,50,-81 dBm,1
6118,5,50,-74 dBm,1
6131,5,50,-75 dBm,1
6163,5,50,-73 dBm,1
6182,5,50,-76 dBm,1
6217,5,50,-72 dBm,1
6228,5,50,-78 dBm,1
6244,5,50,-76 dBm,1
6295,5,50,-80 dBm,1
6338,5,50,-76 dBm,1
6383,5,50,-72 dBm,1
6397,5,50,-72 dBm,1
6438,5,50,-75 dBm,1
6460,5,50,-76 dBm,1
6470,5,50,-76 dBm,1
6480,5,50,-73 dBm,1
6497,5,50,-76 dBm,1
6568,5,50,-69 dBm,1
6713,5,50,-73 dBm,1
6719,5,50,-75 dBm,1
6759,5,50,-77 dBm,1
6782,5,50,-79 dBm,1
6789,5,50,-74 dBm,1
6838,5,50,-71 dBm,1
6913,5,50,-76 dBm,1
6942,5,50,-70 dBm,1
6950,5,50,-75 dBm,1
6958,5,50,-77 dBm,1
7011,5,50,-70 dBm,1
7018,5,50,-76 dBm,1
7039,5,50,-74 dBm,1
7085,5,50,-77 dBm,1
7089,5,50,-73 dBm,1
7093,5,50,-77 dBm,1
7095,5,50,-75 dBm,1
7143,5,50,-79 dBm,1
7156,5,50,-77 dBm,1
7180,5,50,-78 dBm,1
