No.,Broadcasters,Sniffer_Distance,RSSI,Malformed Packet
285,5,50,-72 dBm,1
465,5,50,-72 dBm,1
489,5,50,-71 dBm,1
1515,5,50,-73 dBm,1
2133,5,50,-73 dBm,1
3626,5,50,-78 dBm,1
3627,5,50,-66 dBm,1
3657,5,50,-66 dBm,1
4758,5,50,-71 dBm,1
4853,5,50,-74 dBm,1
5521,5,50,-72 dBm,1
5524,5,50,-63 dBm,1
5547,5,50,-74 dBm,1
5556,5,50,-74 dBm,1
5574,5,50,-79 dBm,1
5630,5,50,-73 dBm,1
5666,5,50,-72 dBm,1
5694,5,50,-73 dBm,1
5705,5,50,-73 dBm,1
5716,5,50,-78 dBm,1
5823,5,50,-75 dBm,1
5914,5,50,-79 dBm,1
6061,5,50,-83 dBm,1
6080,5,50,-70 dBm,1
6282,5,50,-70 dBm,1
6310,5,50,-81 dBm,1
6500,5,50,-62 dBm,1
6707,5,50,-62 dBm,1
6786,5,50,-69 dBm,1
6915,5,50,-68 dBm,1
6931,5,50,-69 dBm,1
7081,5,50,-79 dBm,1
7093,5,50,-76 dBm,1
7117,5,50,-79 dBm,1
7132,5,50,-62 dBm,1
7135,5,50,-79 dBm,1
7205,5,50,-77 dBm,1
7400,5,50,-75 dBm,1
7474,5,50,-79 dBm,1
7490,5,50,-78 dBm,1
7504,5,50,-78 dBm,1
7532,5,50,-76 dBm,1
7572,5,50,-78 dBm,1
7576,5,50,-56 dBm,1
7589,5,50,-78 dBm,1
7624,5,50,-76 dBm,1
7699,5,50,-63 dBm,1
7732,5,50,-74 dBm,1
7768,5,50,-77 dBm,1
7793,5,50,-75 dBm,1
7830,5,50,-76 dBm,1
7885,5,50,-73 dBm,1
7989,5,50,-60 dBm,1
8082,5,50,-73 dBm,1
8193,5,50,-75 dBm,1
8219,5,50,-78 dBm,1
8264,5,50,-77 dBm,1
8267,5,50,-73 dBm,1
8316,5,50,-77 dBm,1
8346,5,50,-74 dBm,1
8353,5,50,-77 dBm,1
8409,5,50,-77 dBm,1
8410,5,50,-75 dBm,1
8427,5,50,-77 dBm,1
8430,5,50,-75 dBm,1
8489,5,50,-78 dBm,1
8578,5,50,-72 dBm,1
8664,5,50,-77 dBm,1
8702,5,50,-75 dBm,1
8714,5,50,-62 dBm,1
8722,5,50,-74 dBm,1
8782,5,50,-73 dBm,1
8798,5,50,-77 dBm,1
8955,5,50,-75 dBm,1
8977,5,50,-75 dBm,1
9024,5,50,-73 dBm,1
9065,5,50,-77 dBm,1
9101,5,50,-72 dBm,1
9214,5,50,-63 dBm,1
9223,5,50,-75 dBm,1
9239,5,50,-75 dBm,1
9294,5,50,-78 dBm,1
9344,5,50,-78 dBm,1
9363,5,50,-78 dBm,1
9430,5,50,-76 dBm,1
9455,5,50,-77 dBm,1
9476,5,50,-62 dBm,1
9552,5,50,-76 dBm,1
9593,5,50,-80 dBm,1
9618,5,50,-76 dBm,1
9798,5,50,-76 dBm,1
9800,5,50,-76 dBm,1
9938,5,50,-75 dBm,1
9976,5,50,-75 dBm,1
