No.,Broadcasters,Sniffer_Distance,RSSI,Malformed Packet
517,4,31.82,-67 dBm,1
518,4,31.82,-67 dBm,1
628,4,31.82,-67 dBm,1
716,4,31.82,-67 dBm,1
1071,4,31.82,-70 dBm,1
1072,4,31.82,-69 dBm,1
1162,4,31.82,-68 dBm,1
1696,4,31.82,-68 dBm,1
2850,4,31.82,-74 dBm,1
5019,4,31.82,-77 dBm,1
5328,4,31.82,-73 dBm,1
5560,4,31.82,-74 dBm,1
5568,4,31.82,-71 dBm,1
5573,4,31.82,-68 dBm,1
5586,4,31.82,-74 dBm,1
5603,4,31.82,-74 dBm,1
5654,4,31.82,-70 dBm,1
5660,4,31.82,-73 dBm,1
5662,4,31.82,-74 dBm,1
5663,4,31.82,-71 dBm,1
5669,4,31.82,-72 dBm,1
5713,4,31.82,-84 dBm,1
5723,4,31.82,-70 dBm,1
5766,4,31.82,-68 dBm,1
5802,4,31.82,-75 dBm,1
5857,4,31.82,-74 dBm,1
5902,4,31.82,-75 dBm,1
6068,4,31.82,-72 dBm,1
6106,4,31.82,-76 dBm,1
6139,4,31.82,-76 dBm,1
6181,4,31.82,-71 dBm,1
6290,4,31.82,-73 dBm,1
6381,4,31.82,-72 dBm,1
6382,4,31.82,-84 dBm,1
6439,4,31.82,-81 dBm,1
6479,4,31.82,-70 dBm,1
6485,4,31.82,-77 dBm,1
6496,4,31.82,-76 dBm,1
6661,4,31.82,-74 dBm,1
6663,4,31.82,-83 dBm,1
6668,4,31.82,-72 dBm,1
6682,4,31.82,-77 dBm,1
6685,4,31.82,-76 dBm,1
6725,4,31.82,-78 dBm,1
6731,4,31.82,-74 dBm,1
6748,4,31.82,-72 dBm,1
6750,4,31.82,-74 dBm,1
6847,4,31.82,-82 dBm,1
6892,4,31.82,-77 dBm,1
6902,4,31.82,-78 dBm,1
6990,4,31.82,-74 dBm,1
7014,4,31.82,-72 dBm,1
7037,4,31.82,-72 dBm,1
7093,4,31.82,-68 dBm,1
7158,4,31.82,-73 dBm,1
7184,4,31.82,-73 dBm,1
7193,4,31.82,-74 dBm,1
7196,4,31.82,-73 dBm,1
7227,4,31.82,-74 dBm,1
7244,4,31.82,-73 dBm,1
7249,4,31.82,-75 dBm,1
7251,4,31.82,-72 dBm,1
7288,4,31.82,-76 dBm,1
7291,4,31.82,-76 dBm,1
7296,4,31.82,-79 dBm,1
7297,4,31.82,-80 dBm,1
7303,4,31.82,-75 dBm,1
7353,4,31.82,-77 dBm,1
7357,4,31.82,-75 dBm,1
7382,4,31.82,-75 dBm,1
7446,4,31.82,-71 dBm,1
7467,4,31.82,-73 dBm,1
7588,4,31.82,-75 dBm,1
7597,4,31.82,-76 dBm,1
7654,4,31.82,-76 dBm,1
7657,4,31.82,-79 dBm,1
7709,4,31.82,-73 dBm,1
7731,4,31.82,-72 dBm,1
7759,4,31.82,-74 dBm,1
7760,4,31.82,-79 dBm,1
7771,4,31.82,-81 dBm,1
7801,4,31.82,-74 dBm,1
7803,4,31.82,-78 dBm,1
7819,4,31.82,-75 dBm,1
7843,4,31.82,-81 dBm,1
7880,4,31.82,-74 dBm,1
7882,4,31.82,-74 dBm,1
7911,4,31.82,-79 dBm,1
7916,4,31.82,-76 dBm,1
7983,4,31.82,-71 dBm,1
7992,4,31.82,-83 dBm,1
8007,4,31.82,-73 dBm,1
8015,4,31.82,-74 dBm,1
8021,4,31.82,-76 dBm,1
8033,4,31.82,-77 dBm,1
8067,4,31.82,-59 dBm,1
8075,4,31.82,-73 dBm,1
8101,4,31.82,-79 dBm,1
8108,4,31.82,-77 dBm,1
8118,4,31.82,-77 dBm,1
8173,4,31.82,-77 dBm,1
8183,4,31.82,-75 dBm,1
8212,4,31.82,-80 dBm,1
8285,4,31.82,-80 dBm,1
8308,4,31.82,-74 dBm,1
8501,4,31.82,-69 dBm,1
8572,4,31.82,-78 dBm,1
8622,4,31.82,-75 dBm,1
8662,4,31.82,-73 dBm,1
8710,4,31.82,-71 dBm,1
8749,4,31.82,-70 dBm,1
8773,4,31.82,-79 dBm,1
8873,4,31.82,-72 dBm,1
8903,4,31.82,-74 dBm,1
9393,4,31.82,-79 dBm,1
9743,4,31.82,-62 dBm,1
9938,4,31.82,-61 dBm,1
11281,4,31.82,-57 dBm,1
11865,4,31.82,-67 dBm,1
13248,4,31.82,-67 dBm,1
13313,4,31.82,-70 dBm,1
13693,4,31.82,-83 dBm,1
14141,4,31.82,-69 dBm,1
14425,4,31.82,-63 dBm,1
