No.,Broadcasters,Sniffer_Distance,RSSI,Malformed Packet
368,6,60,-81 dBm,1
620,6,60,-81 dBm,1
1085,6,60,-67 dBm,1
1176,6,60,-77 dBm,1
1228,6,60,-71 dBm,1
1718,6,60,-82 dBm,1
1797,6,60,-75 dBm,1
1950,6,60,-78 dBm,1
2334,6,60,-78 dBm,1
2541,6,60,-77 dBm,1
3055,6,60,-71 dBm,1
3261,6,60,-75 dBm,1
3408,6,60,-86 dBm,1
3496,6,60,-81 dBm,1
3542,6,60,-86 dBm,1
3705,6,60,-86 dBm,1
3996,6,60,-80 dBm,1
4182,6,60,-84 dBm,1
4191,6,60,-84 dBm,1
4215,6,60,-74 dBm,1
4249,6,60,-80 dBm,1
4467,6,60,-79 dBm,1
4470,6,60,-63 dBm,1
4471,6,60,-64 dBm,1
4721,6,60,-75 dBm,1
5022,6,60,-80 dBm,1
5493,6,60,-81 dBm,1
5579,6,60,-74 dBm,1
5650,6,60,-82 dBm,1
5708,6,60,-74 dBm,1
5710,6,60,-71 dBm,1
5712,6,60,-74 dBm,1
5751,6,60,-76 dBm,1
5776,6,60,-76 dBm,1
5835,6,60,-74 dBm,1
5843,6,60,-65 dBm,1
5886,6,60,-74 dBm,1
5902,6,60,-74 dBm,1
5980,6,60,-74 dBm,1
6065,6,60,-75 dBm,1
6091,6,60,-76 dBm,1
6132,6,60,-76 dBm,1
6235,6,60,-74 dBm,1
6283,6,60,-71 dBm,1
6300,6,60,-76 dBm,1
6335,6,60,-74 dBm,1
6337,6,60,-79 dBm,1
6343,6,60,-76 dBm,1
6346,6,60,-77 dBm,1
6468,6,60,-75 dBm,1
6520,6,60,-79 dBm,1
6538,6,60,-72 dBm,1
6542,6,60,-77 dBm,1
6594,6,60,-74 dBm,1
6649,6,60,-79 dBm,1
6672,6,60,-69 dBm,1
6870,6,60,-74 dBm,1
6902,6,60,-68 dBm,1
6909,6,60,-77 dBm,1
6918,6,60,-77 dBm,1
6919,6,60,-72 dBm,1
6958,6,60,-77 dBm,1
7032,6,60,-73 dBm,1
7040,6,60,-64 dBm,1
7082,6,60,-72 dBm,1
7130,6,60,-74 dBm,1
7135,6,60,-85 dBm,1
7154,6,60,-75 dBm,1
7158,6,60,-72 dBm,1
7184,6,60,-74 dBm,1
7209,6,60,-78 dBm,1
7224,6,60,-77 dBm,1
7236,6,60,-71 dBm,1
7262,6,60,-74 dBm,1
7263,6,60,-76 dBm,1
7288,6,60,-87 dBm,1
7370,6,60,-67 dBm,1
7404,6,60,-69 dBm,1
7407,6,60,-78 dBm,1
7416,6,60,-76 dBm,1
7430,6,60,-68 dBm,1
7437,6,60,-67 dBm,1
7440,6,60,-74 dBm,1
7445,6,60,-89 dBm,1
7451,6,60,-70 dBm,1
7523,6,60,-78 dBm,1
7532,6,60,-77 dBm,1
7594,6,60,-81 dBm,1
7627,6,60,-78 dBm,1
7672,6,60,-77 dBm,1
7676,6,60,-67 dBm,1
7706,6,60,-80 dBm,1
7720,6,60,-78 dBm,1
7743,6,60,-78 dBm,1
7842,6,60,-83 dBm,1
7922,6,60,-82 dBm,1
7929,6,60,-71 dBm,1
7986,6,60,-86 dBm,1
8002,6,60,-81 dBm,1
8028,6,60,-72 dBm,1
8034,6,60,-65 dBm,1
8035,6,60,-67 dBm,1
8071,6,60,-74 dBm,1
8141,6,60,-81 dBm,1
8172,6,60,-67 dBm,1
8193,6,60,-80 dBm,1
8207,6,60,-71 dBm,1
8208,6,60,-80 dBm,1
8244,6,60,-71 dBm,1
8256,6,60,-71 dBm,1
8268,6,60,-67 dBm,1
8272,6,60,-67 dBm,1
8288,6,60,-72 dBm,1
8480,6,60,-67 dBm,1
8497,6,60,-78 dBm,1
8576,6,60,-81 dBm,1
8618,6,60,-78 dBm,1
8620,6,60,-79 dBm,1
8628,6,60,-73 dBm,1
8641,6,60,-78 dBm,1
8642,6,60,-78 dBm,1
8719,6,60,-79 dBm,1
