No.,Broadcasters,Sniffer_Distance,RSSI,Malformed Packet
90,6,45,-74 dBm,1
114,6,45,-74 dBm,1
351,6,45,-74 dBm,1
476,6,45,-69 dBm,1
773,6,45,-80 dBm,1
895,6,45,-84 dBm,1
1079,6,45,-64 dBm,1
1151,6,45,-80 dBm,1
1303,6,45,-84 dBm,1
1310,6,45,-82 dBm,1
1457,6,45,-81 dBm,1
1561,6,45,-84 dBm,1
1562,6,45,-63 dBm,1
1802,6,45,-80 dBm,1
1970,6,45,-81 dBm,1
2228,6,45,-80 dBm,1
2353,6,45,-77 dBm,1
2862,6,45,-77 dBm,1
2877,6,45,-71 dBm,1
3518,6,45,-80 dBm,1
3720,6,45,-78 dBm,1
3770,6,45,-79 dBm,1
4214,6,45,-80 dBm,1
4234,6,45,-82 dBm,1
4405,6,45,-80 dBm,1
4471,6,45,-81 dBm,1
4472,6,45,-80 dBm,1
4757,6,45,-75 dBm,1
4969,6,45,-80 dBm,1
4981,6,45,-80 dBm,1
5044,6,45,-83 dBm,1
5479,6,45,-83 dBm,1
5514,6,45,-70 dBm,1
5527,6,45,-77 dBm,1
5533,6,45,-79 dBm,1
5585,6,45,-73 dBm,1
5592,6,45,-78 dBm,1
5634,6,45,-76 dBm,1
5640,6,45,-72 dBm,1
5649,6,45,-74 dBm,1
5653,6,45,-81 dBm,1
5670,6,45,-76 dBm,1
5681,6,45,-75 dBm,1
5703,6,45,-74 dBm,1
5715,6,45,-73 dBm,1
5737,6,45,-75 dBm,1
5781,6,45,-75 dBm,1
5799,6,45,-74 dBm,1
5801,6,45,-74 dBm,1
5825,6,45,-75 dBm,1
5855,6,45,-73 dBm,1
5866,6,45,-72 dBm,1
5905,6,45,-75 dBm,1
5936,6,45,-75 dBm,1
5942,6,45,-77 dBm,1
5959,6,45,-80 dBm,1
5962,6,45,-74 dBm,1
5971,6,45,-73 dBm,1
6040,6,45,-74 dBm,1
6156,6,45,-79 dBm,1
6160,6,45,-72 dBm,1
6224,6,45,-75 dBm,1
6245,6,45,-74 dBm,1
6299,6,45,-71 dBm,1
6330,6,45,-80 dBm,1
6365,6,45,-77 dBm,1
6410,6,45,-76 dBm,1
6416,6,45,-79 dBm,1
6434,6,45,-81 dBm,1
6485,6,45,-72 dBm,1
6545,6,45,-75 dBm,1
6591,6,45,-73 dBm,1
6628,6,45,-73 dBm,1
6686,6,45,-72 dBm,1
6710,6,45,-79 dBm,1
6734,6,45,-81 dBm,1
6752,6,45,-74 dBm,1
6760,6,45,-69 dBm,1
6801,6,45,-78 dBm,1
6859,6,45,-79 dBm,1
6900,6,45,-70 dBm,1
6979,6,45,-77 dBm,1
6981,6,45,-76 dBm,1
7056,6,45,-81 dBm,1
7089,6,45,-73 dBm,1
7107,6,45,-76 dBm,1
7205,6,45,-70 dBm,1
7242,6,45,-79 dBm,1
7293,6,45,-78 dBm,1
7321,6,45,-75 dBm,1
7343,6,45,-78 dBm,1
7346,6,45,-70 dBm,1
7357,6,45,-77 dBm,1
7386,6,45,-73 dBm,1
7405,6,45,-76 dBm,1
7445,6,45,-74 dBm,1
7510,6,45,-75 dBm,1
7536,6,45,-76 dBm,1
7606,6,45,-76 dBm,1
7636,6,45,-77 dBm,1
7715,6,45,-86 dBm,1
7793,6,45,-64 dBm,1
7807,6,45,-71 dBm,1
7815,6,45,-70 dBm,1
7850,6,45,-73 dBm,1
7872,6,45,-78 dBm,1
7898,6,45,-73 dBm,1
7903,6,45,-78 dBm,1
7904,6,45,-80 dBm,1
7960,6,45,-81 dBm,1
8113,6,45,-71 dBm,1
8114,6,45,-77 dBm,1
8116,6,45,-81 dBm,1
8254,6,45,-76 dBm,1
8265,6,45,-77 dBm,1
8295,6,45,-69 dBm,1
8316,6,45,-77 dBm,1
8402,6,45,-70 dBm,1
8475,6,45,-65 dBm,1
8555,6,45,-66 dBm,1
8559,6,45,-77 dBm,1
8561,6,45,-73 dBm,1
8576,6,45,-72 dBm,1
8697,6,45,-77 dBm,1
8717,6,45,-72 dBm,1
8909,6,45,-81 dBm,1
8953,6,45,-75 dBm,1
9087,6,45,-72 dBm,1
9110,6,45,-78 dBm,1
9168,6,45,-80 dBm,1
9216,6,45,-73 dBm,1
9246,6,45,-78 dBm,1
9267,6,45,-78 dBm,1
9274,6,45,-72 dBm,1
9282,6,45,-73 dBm,1
9328,6,45,-78 dBm,1
9343,6,45,-73 dBm,1
9380,6,45,-79 dBm,1
9435,6,45,-71 dBm,1
9481,6,45,-77 dBm,1
9486,6,45,-77 dBm,1
9510,6,45,-73 dBm,1
9552,6,45,-78 dBm,1
9565,6,45,-77 dBm,1
9567,6,45,-80 dBm,1
9590,6,45,-79 dBm,1
9599,6,45,-80 dBm,1
9614,6,45,-78 dBm,1
9662,6,45,-65 dBm,1
9670,6,45,-78 dBm,1
9703,6,45,-79 dBm,1
9722,6,45,-80 dBm,1
9775,6,45,-79 dBm,1
9780,6,45,-76 dBm,1
9868,6,45,-80 dBm,1
9917,6,45,-78 dBm,1
9937,6,45,-75 dBm,1
9944,6,45,-72 dBm,1
10020,6,45,-79 dBm,1
10119,6,45,-76 dBm,1
10174,6,45,-76 dBm,1
10236,6,45,-74 dBm,1
10320,6,45,-76 dBm,1
10328,6,45,-76 dBm,1
10364,6,45,-77 dBm,1
10420,6,45,-77 dBm,1
10442,6,45,-77 dBm,1
10579,6,45,-86 dBm,1
10635,6,45,-70 dBm,1
10677,6,45,-83 dBm,1
10749,6,45,-76 dBm,1
10792,6,45,-71 dBm,1
10841,6,45,-72 dBm,1
10843,6,45,-82 dBm,1
10909,6,45,-74 dBm,1
10932,6,45,-81 dBm,1
10977,6,45,-76 dBm,1
10982,6,45,-78 dBm,1
11000,6,45,-79 dBm,1
11042,6,45,-78 dBm,1
11189,6,45,-72 dBm,1
11294,6,45,-75 dBm,1
11384,6,45,-78 dBm,1
