No.,Broadcasters,Sniffer_Distance,RSSI,Malformed Packet
3431,3,25.98,-71 dBm,1
3466,3,25.98,-83 dBm,1
3477,3,25.98,-82 dBm,1
3493,3,25.98,-70 dBm,1
3538,3,25.98,-76 dBm,1
3555,3,25.98,-77 dBm,1
3578,3,25.98,-77 dBm,1
3629,3,25.98,-71 dBm,1
3684,3,25.98,-75 dBm,1
3692,3,25.98,-71 dBm,1
3720,3,25.98,-78 dBm,1
3743,3,25.98,-85 dBm,1
3777,3,25.98,-74 dBm,1
3868,3,25.98,-72 dBm,1
4090,3,25.98,-68 dBm,1
4327,3,25.98,-65 dBm,1
4366,3,25.98,-64 dBm,1
4390,3,25.98,-65 dBm,1
4411,3,25.98,-65 dBm,1
4518,3,25.98,-73 dBm,1
4554,3,25.98,-71 dBm,1
5106,3,25.98,-62 dBm,1
5230,3,25.98,-63 dBm,1
5670,3,25.98,-68 dBm,1
6203,3,25.98,-68 dBm,1
6789,3,25.98,-63 dBm,1
8013,3,25.98,-64 dBm,1
8386,3,25.98,-61 dBm,1
8390,3,25.98,-67 dBm,1
8450,3,25.98,-62 dBm,1
8875,3,25.98,-67 dBm,1
8899,3,25.98,-64 dBm,1
9823,3,25.98,-65 dBm,1
10070,3,25.98,-65 dBm,1
10534,3,25.98,-65 dBm,1
26261,3,25.98,-73 dBm,1
26360,3,25.98,-73 dBm,1
26369,3,25.98,-72 dBm,1
26384,3,25.98,-73 dBm,1
26583,3,25.98,-75 dBm,1
26603,3,25.98,-75 dBm,1
27332,3,25.98,-63 dBm,1
28579,3,25.98,-69 dBm,1
29355,3,25.98,-68 dBm,1
30167,3,25.98,-64 dBm,1
31803,3,25.98,-69 dBm,1
32110,3,25.98,-69 dBm,1
33650,3,25.98,-68 dBm,1
35551,3,25.98,-64 dBm,1
36006,3,25.98,-58 dBm,1
36008,3,25.98,-64 dBm,1
37329,3,25.98,-70 dBm,1
37677,3,25.98,-68 dBm,1
38136,3,25.98,-69 dBm,1
41073,3,25.98,-76 dBm,1
41075,3,25.98,-77 dBm,1
42725,3,25.98,-72 dBm,1
42832,3,25.98,-70 dBm,1
42883,3,25.98,-65 dBm,1
42884,3,25.98,-63 dBm,1
43041,3,25.98,-61 dBm,1
43042,3,25.98,-63 dBm,1
43423,3,25.98,-63 dBm,1
43472,3,25.98,-63 dBm,1
43473,3,25.98,-62 dBm,1
43474,3,25.98,-63 dBm,1
43511,3,25.98,-63 dBm,1
43512,3,25.98,-62 dBm,1
43513,3,25.98,-63 dBm,1
43530,3,25.98,-64 dBm,1
43641,3,25.98,-63 dBm,1
43642,3,25.98,-62 dBm,1
43643,3,25.98,-63 dBm,1
43800,3,25.98,-63 dBm,1
43907,3,25.98,-62 dBm,1
43909,3,25.98,-63 dBm,1
43926,3,25.98,-62 dBm,1
43927,3,25.98,-61 dBm,1
43940,3,25.98,-62 dBm,1
43941,3,25.98,-61 dBm,1
43942,3,25.98,-63 dBm,1
43947,3,25.98,-62 dBm,1
43948,3,25.98,-61 dBm,1
43955,3,25.98,-61 dBm,1
43956,3,25.98,-62 dBm,1
44013,3,25.98,-62 dBm,1
44014,3,25.98,-61 dBm,1
44015,3,25.98,-62 dBm,1
44020,3,25.98,-62 dBm,1
44021,3,25.98,-61 dBm,1
44027,3,25.98,-62 dBm,1
44028,3,25.98,-61 dBm,1
44033,3,25.98,-62 dBm,1
44034,3,25.98,-61 dBm,1
44154,3,25.98,-61 dBm,1
44164,3,25.98,-63 dBm,1
44165,3,25.98,-62 dBm,1
44166,3,25.98,-63 dBm,1
44187,3,25.98,-62 dBm,1
44188,3,25.98,-62 dBm,1
44189,3,25.98,-63 dBm,1
44206,3,25.98,-63 dBm,1
44207,3,25.98,-62 dBm,1
44245,3,25.98,-62 dBm,1
44251,3,25.98,-63 dBm,1
44253,3,25.98,-63 dBm,1
44270,3,25.98,-63 dBm,1
44271,3,25.98,-62 dBm,1
44277,3,25.98,-63 dBm,1
