No.,Broadcasters,Sniffer_Distance,RSSI,Malformed Packet
252,2,30,-74 dBm,1
425,2,30,-65 dBm,1
473,2,30,-74 dBm,1
527,2,30,-74 dBm,1
572,2,30,-73 dBm,1
581,2,30,-64 dBm,1
620,2,30,-74 dBm,1
626,2,30,-74 dBm,1
736,2,30,-79 dBm,1
886,2,30,-86 dBm,1
907,2,30,-86 dBm,1
946,2,30,-86 dBm,1
951,2,30,-76 dBm,1
974,2,30,-77 dBm,1
1668,2,30,-73 dBm,1
1713,2,30,-74 dBm,1
2171,2,30,-76 dBm,1
2179,2,30,-78 dBm,1
2220,2,30,-78 dBm,1
2239,2,30,-72 dBm,1
2330,2,30,-79 dBm,1
2360,2,30,-79 dBm,1
2367,2,30,-79 dBm,1
2377,2,30,-76 dBm,1
2385,2,30,-76 dBm,1
2393,2,30,-73 dBm,1
2405,2,30,-73 dBm,1
2475,2,30,-75 dBm,1
2641,2,30,-69 dBm,1
2642,2,30,-67 dBm,1
2650,2,30,-66 dBm,1
2682,2,30,-65 dBm,1
2823,2,30,-64 dBm,1
2894,2,30,-71 dBm,1
3159,2,30,-72 dBm,1
3172,2,30,-65 dBm,1
3206,2,30,-70 dBm,1
3340,2,30,-73 dBm,1
3396,2,30,-72 dBm,1
3436,2,30,-73 dBm,1
3501,2,30,-70 dBm,1
3698,2,30,-64 dBm,1
3776,2,30,-73 dBm,1
3780,2,30,-73 dBm,1
3863,2,30,-73 dBm,1
3982,2,30,-68 dBm,1
4027,2,30,-75 dBm,1
4047,2,30,-74 dBm,1
4149,2,30,-73 dBm,1
5165,2,30,-72 dBm,1
5316,2,30,-66 dBm,1
5320,2,30,-72 dBm,1
5421,2,30,-77 dBm,1
5428,2,30,-73 dBm,1
5436,2,30,-72 dBm,1
5571,2,30,-72 dBm,1
5639,2,30,-76 dBm,1
5659,2,30,-77 dBm,1
6037,2,30,-70 dBm,1
6129,2,30,-70 dBm,1
6229,2,30,-71 dBm,1
6700,2,30,-70 dBm,1
6784,2,30,-70 dBm,1
6812,2,30,-70 dBm,1
7051,2,30,-71 dBm,1
7222,2,30,-70 dBm,1
7294,2,30,-70 dBm,1
7442,2,30,-71 dBm,1
7554,2,30,-71 dBm,1
7637,2,30,-71 dBm,1
7689,2,30,-71 dBm,1
8233,2,30,-71 dBm,1
8696,2,30,-72 dBm,1
9314,2,30,-71 dBm,1
9580,2,30,-71 dBm,1
9636,2,30,-71 dBm,1
9648,2,30,-71 dBm,1
10066,2,30,-71 dBm,1
11048,2,30,-70 dBm,1
12274,2,30,-71 dBm,1
13485,2,30,-70 dBm,1
13503,2,30,-67 dBm,1
14201,2,30,-71 dBm,1
14451,2,30,-74 dBm,1
14944,2,30,-72 dBm,1
16201,2,30,-70 dBm,1
16440,2,30,-72 dBm,1
16885,2,30,-72 dBm,1
17078,2,30,-71 dBm,1
17449,2,30,-70 dBm,1
17509,2,30,-71 dBm,1
18098,2,30,-72 dBm,1
18229,2,30,-71 dBm,1
19023,2,30,-70 dBm,1
22528,2,30,-69 dBm,1
23842,2,30,-70 dBm,1
25425,2,30,-68 dBm,1
25426,2,30,-68 dBm,1
25427,2,30,-68 dBm,1
26292,2,30,-68 dBm,1
26293,2,30,-68 dBm,1
26294,2,30,-68 dBm,1
26573,2,30,-68 dBm,1
26629,2,30,-68 dBm,1
26677,2,30,-67 dBm,1
26679,2,30,-68 dBm,1
26684,2,30,-67 dBm,1
26720,2,30,-67 dBm,1
26852,2,30,-71 dBm,1
26854,2,30,-68 dBm,1
26855,2,30,-68 dBm,1
26864,2,30,-66 dBm,1
26865,2,30,-68 dBm,1
26866,2,30,-68 dBm,1
26875,2,30,-68 dBm,1
26876,2,30,-68 dBm,1
26886,2,30,-68 dBm,1
26887,2,30,-68 dBm,1
26929,2,30,-68 dBm,1
26940,2,30,-68 dBm,1
26941,2,30,-68 dBm,1
26947,2,30,-68 dBm,1
26948,2,30,-68 dBm,1
26950,2,30,-68 dBm,1
26951,2,30,-68 dBm,1
26953,2,30,-68 dBm,1
26954,2,30,-68 dBm,1
26957,2,30,-68 dBm,1
26958,2,30,-68 dBm,1
27211,2,30,-68 dBm,1
27213,2,30,-68 dBm,1
27242,2,30,-68 dBm,1
27243,2,30,-68 dBm,1
27265,2,30,-68 dBm,1
27266,2,30,-68 dBm,1
27276,2,30,-68 dBm,1
27277,2,30,-68 dBm,1
27303,2,30,-67 dBm,1
27304,2,30,-68 dBm,1
27377,2,30,-68 dBm,1
27378,2,30,-68 dBm,1
27388,2,30,-67 dBm,1
27389,2,30,-68 dBm,1
27415,2,30,-68 dBm,1
27416,2,30,-67 dBm,1
27419,2,30,-68 dBm,1
27421,2,30,-68 dBm,1
27424,2,30,-68 dBm,1
27425,2,30,-68 dBm,1
27435,2,30,-68 dBm,1
27436,2,30,-68 dBm,1
27446,2,30,-68 dBm,1
27447,2,30,-68 dBm,1
27457,2,30,-68 dBm,1
27458,2,30,-68 dBm,1
27459,2,30,-68 dBm,1
27464,2,30,-67 dBm,1
27465,2,30,-68 dBm,1
27468,2,30,-68 dBm,1
27478,2,30,-68 dBm,1
27489,2,30,-68 dBm,1
27490,2,30,-68 dBm,1
27491,2,30,-68 dBm,1
27501,2,30,-68 dBm,1
27503,2,30,-68 dBm,1
27504,2,30,-68 dBm,1
27515,2,30,-67 dBm,1
27516,2,30,-68 dBm,1
27525,2,30,-67 dBm,1
27526,2,30,-68 dBm,1
27537,2,30,-68 dBm,1
27563,2,30,-68 dBm,1
27564,2,30,-68 dBm,1
27598,2,30,-68 dBm,1
27599,2,30,-68 dBm,1
27609,2,30,-68 dBm,1
27610,2,30,-68 dBm,1
27611,2,30,-68 dBm,1
27675,2,30,-68 dBm,1
27690,2,30,-67 dBm,1
27697,2,30,-68 dBm,1
27698,2,30,-68 dBm,1
27699,2,30,-67 dBm,1
27700,2,30,-68 dBm,1
27701,2,30,-67 dBm,1
27710,2,30,-68 dBm,1
27766,2,30,-67 dBm,1
27767,2,30,-68 dBm,1
27777,2,30,-68 dBm,1
27778,2,30,-68 dBm,1
27788,2,30,-68 dBm,1
27789,2,30,-67 dBm,1
27791,2,30,-68 dBm,1
27792,2,30,-68 dBm,1
27814,2,30,-68 dBm,1
27825,2,30,-68 dBm,1
27836,2,30,-67 dBm,1
27854,2,30,-67 dBm,1
27855,2,30,-67 dBm,1
27897,2,30,-68 dBm,1
27901,2,30,-68 dBm,1
27904,2,30,-64 dBm,1
27905,2,30,-68 dBm,1
27906,2,30,-68 dBm,1
27923,2,30,-67 dBm,1
27924,2,30,-68 dBm,1
27934,2,30,-64 dBm,1
27935,2,30,-68 dBm,1
27965,2,30,-68 dBm,1
27968,2,30,-63 dBm,1
27969,2,30,-67 dBm,1
27979,2,30,-67 dBm,1
27990,2,30,-68 dBm,1
27991,2,30,-68 dBm,1
27992,2,30,-68 dBm,1
28001,2,30,-68 dBm,1
28002,2,30,-68 dBm,1
28056,2,30,-68 dBm,1
28057,2,30,-68 dBm,1
28079,2,30,-67 dBm,1
28080,2,30,-68 dBm,1
28081,2,30,-68 dBm,1
28082,2,30,-68 dBm,1
28083,2,30,-68 dBm,1
28085,2,30,-68 dBm,1
28086,2,30,-66 dBm,1
28088,2,30,-68 dBm,1
28089,2,30,-68 dBm,1
28090,2,30,-68 dBm,1
28099,2,30,-68 dBm,1
28101,2,30,-68 dBm,1
28129,2,30,-66 dBm,1
28140,2,30,-68 dBm,1
28141,2,30,-67 dBm,1
28151,2,30,-67 dBm,1
28152,2,30,-68 dBm,1
28162,2,30,-66 dBm,1
28163,2,30,-67 dBm,1
28181,2,30,-68 dBm,1
28182,2,30,-68 dBm,1
28183,2,30,-66 dBm,1
28232,2,30,-68 dBm,1
28233,2,30,-68 dBm,1
28247,2,30,-68 dBm,1
28248,2,30,-68 dBm,1
28250,2,30,-67 dBm,1
28251,2,30,-67 dBm,1
28289,2,30,-68 dBm,1
28291,2,30,-68 dBm,1
28368,2,30,-68 dBm,1
28376,2,30,-68 dBm,1
28377,2,30,-66 dBm,1
28387,2,30,-68 dBm,1
28388,2,30,-68 dBm,1
28398,2,30,-68 dBm,1
28399,2,30,-67 dBm,1
28400,2,30,-68 dBm,1
28557,2,30,-67 dBm,1
28558,2,30,-68 dBm,1
28592,2,30,-67 dBm,1
28619,2,30,-69 dBm,1
28672,2,30,-68 dBm,1
28680,2,30,-68 dBm,1
28688,2,30,-68 dBm,1
28689,2,30,-68 dBm,1
28731,2,30,-68 dBm,1
28739,2,30,-68 dBm,1
28747,2,30,-68 dBm,1
28787,2,30,-68 dBm,1
28791,2,30,-68 dBm,1
28792,2,30,-68 dBm,1
28799,2,30,-68 dBm,1
28827,2,30,-68 dBm,1
28828,2,30,-68 dBm,1
28830,2,30,-67 dBm,1
28838,2,30,-68 dBm,1
28846,2,30,-67 dBm,1
28854,2,30,-68 dBm,1
28855,2,30,-67 dBm,1
28856,2,30,-68 dBm,1
28857,2,30,-67 dBm,1
28858,2,30,-68 dBm,1
28869,2,30,-68 dBm,1
28877,2,30,-68 dBm,1
28885,2,30,-67 dBm,1
28905,2,30,-68 dBm,1
28906,2,30,-68 dBm,1
28908,2,30,-68 dBm,1
28909,2,30,-68 dBm,1
28910,2,30,-68 dBm,1
28915,2,30,-68 dBm,1
28916,2,30,-68 dBm,1
28927,2,30,-67 dBm,1
28955,2,30,-68 dBm,1
28963,2,30,-68 dBm,1
29087,2,30,-66 dBm,1
29088,2,30,-67 dBm,1
29095,2,30,-68 dBm,1
29099,2,30,-68 dBm,1
29100,2,30,-68 dBm,1
29102,2,30,-68 dBm,1
29186,2,30,-68 dBm,1
29194,2,30,-68 dBm,1
29213,2,30,-68 dBm,1
29214,2,30,-68 dBm,1
29215,2,30,-68 dBm,1
29256,2,30,-67 dBm,1
29267,2,30,-68 dBm,1
29299,2,30,-68 dBm,1
29334,2,30,-68 dBm,1
29374,2,30,-65 dBm,1
29375,2,30,-68 dBm,1
29382,2,30,-67 dBm,1
29390,2,30,-68 dBm,1
29391,2,30,-68 dBm,1
29398,2,30,-70 dBm,1
