No.,Broadcasters,Sniffer_Distance,RSSI,Malformed Packet
1228,2,30,-74 dBm,1
2541,2,30,-72 dBm,1
2597,2,30,-73 dBm,1
2604,2,30,-75 dBm,1
2751,2,30,-63 dBm,1
3085,2,30,-70 dBm,1
3161,2,30,-71 dBm,1
3230,2,30,-73 dBm,1
3520,2,30,-70 dBm,1
5332,2,30,-67 dBm,1
6193,2,30,-63 dBm,1
6649,2,30,-75 dBm,1
6671,2,30,-72 dBm,1
7649,2,30,-60 dBm,1
8089,2,30,-60 dBm,1
8721,2,30,-67 dBm,1
10848,2,30,-67 dBm,1
12567,2,30,-67 dBm,1
14086,2,30,-67 dBm,1
28735,2,30,-66 dBm,1
28859,2,30,-67 dBm,1
29401,2,30,-63 dBm,1
32403,2,30,-80 dBm,1
32411,2,30,-82 dBm,1
32453,2,30,-87 dBm,1
32483,2,30,-77 dBm,1
32545,2,30,-76 dBm,1
32561,2,30,-77 dBm,1
32634,2,30,-76 dBm,1
32656,2,30,-79 dBm,1
32671,2,30,-77 dBm,1
32701,2,30,-77 dBm,1
32707,2,30,-76 dBm,1
32754,2,30,-75 dBm,1
32877,2,30,-77 dBm,1
32894,2,30,-75 dBm,1
32984,2,30,-76 dBm,1
33020,2,30,-79 dBm,1
33027,2,30,-77 dBm,1
33065,2,30,-77 dBm,1
33071,2,30,-76 dBm,1
33092,2,30,-78 dBm,1
33097,2,30,-75 dBm,1
33113,2,30,-79 dBm,1
33151,2,30,-75 dBm,1
33180,2,30,-76 dBm,1
33262,2,30,-82 dBm,1
33308,2,30,-79 dBm,1
33314,2,30,-75 dBm,1
33383,2,30,-77 dBm,1
33387,2,30,-82 dBm,1
33402,2,30,-80 dBm,1
33437,2,30,-79 dBm,1
33453,2,30,-75 dBm,1
33472,2,30,-80 dBm,1
33517,2,30,-76 dBm,1
33532,2,30,-77 dBm,1
33543,2,30,-79 dBm,1
33569,2,30,-83 dBm,1
33574,2,30,-76 dBm,1
33591,2,30,-79 dBm,1
33683,2,30,-77 dBm,1
33728,2,30,-76 dBm,1
33760,2,30,-76 dBm,1
33807,2,30,-84 dBm,1
33828,2,30,-76 dBm,1
33838,2,30,-76 dBm,1
33847,2,30,-79 dBm,1
33953,2,30,-75 dBm,1
33959,2,30,-77 dBm,1
34008,2,30,-78 dBm,1
34036,2,30,-79 dBm,1
34042,2,30,-76 dBm,1
34060,2,30,-77 dBm,1
34068,2,30,-76 dBm,1
34093,2,30,-77 dBm,1
34112,2,30,-77 dBm,1
34133,2,30,-77 dBm,1
34170,2,30,-75 dBm,1
34178,2,30,-75 dBm,1
34184,2,30,-84 dBm,1
34214,2,30,-79 dBm,1
34227,2,30,-79 dBm,1
34234,2,30,-76 dBm,1
34257,2,30,-79 dBm,1
34267,2,30,-76 dBm,1
34276,2,30,-80 dBm,1
34283,2,30,-77 dBm,1
34289,2,30,-76 dBm,1
34316,2,30,-77 dBm,1
