No.,Broadcasters,Sniffer_Distance,RSSI,Malformed Packet
12,5,62.5,-69 dBm,1
558,5,62.5,-71 dBm,1
1115,5,62.5,-72 dBm,1
1120,5,62.5,-73 dBm,1
1931,5,62.5,-76 dBm,1
3574,5,62.5,-74 dBm,1
3718,5,62.5,-75 dBm,1
4800,5,62.5,-69 dBm,1
4851,5,62.5,-68 dBm,1
4864,5,62.5,-73 dBm,1
4885,5,62.5,-73 dBm,1
4948,5,62.5,-73 dBm,1
4950,5,62.5,-74 dBm,1
4979,5,62.5,-73 dBm,1
5033,5,62.5,-71 dBm,1
5035,5,62.5,-75 dBm,1
5042,5,62.5,-76 dBm,1
5060,5,62.5,-72 dBm,1
5064,5,62.5,-72 dBm,1
5075,5,62.5,-72 dBm,1
5084,5,62.5,-74 dBm,1
5085,5,62.5,-74 dBm,1
5161,5,62.5,-73 dBm,1
5170,5,62.5,-72 dBm,1
5177,5,62.5,-73 dBm,1
5195,5,62.5,-75 dBm,1
5202,5,62.5,-72 dBm,1
5205,5,62.5,-75 dBm,1
5209,5,62.5,-73 dBm,1
5252,5,62.5,-72 dBm,1
5268,5,62.5,-73 dBm,1
5423,5,62.5,-76 dBm,1
5453,5,62.5,-73 dBm,1
5461,5,62.5,-73 dBm,1
5475,5,62.5,-72 dBm,1
5485,5,62.5,-75 dBm,1
5752,5,62.5,-66 dBm,1
5790,5,62.5,-71 dBm,1
6064,5,62.5,-75 dBm,1
6079,5,62.5,-68 dBm,1
6132,5,62.5,-73 dBm,1
6278,5,62.5,-78 dBm,1
6334,5,62.5,-66 dBm,1
6341,5,62.5,-69 dBm,1
6392,5,62.5,-68 dBm,1
6393,5,62.5,-69 dBm,1
6394,5,62.5,-71 dBm,1
6512,5,62.5,-68 dBm,1
6586,5,62.5,-67 dBm,1
6861,5,62.5,-71 dBm,1
6982,5,62.5,-74 dBm,1
7010,5,62.5,-66 dBm,1
7021,5,62.5,-73 dBm,1
7136,5,62.5,-69 dBm,1
7415,5,62.5,-66 dBm,1
7477,5,62.5,-65 dBm,1
7480,5,62.5,-74 dBm,1
7613,5,62.5,-70 dBm,1
7692,5,62.5,-67 dBm,1
7806,5,62.5,-72 dBm,1
7910,5,62.5,-72 dBm,1
7945,5,62.5,-71 dBm,1
7965,5,62.5,-65 dBm,1
8160,5,62.5,-78 dBm,1
8190,5,62.5,-74 dBm,1
8298,5,62.5,-75 dBm,1
8431,5,62.5,-71 dBm,1
8481,5,62.5,-76 dBm,1
8516,5,62.5,-70 dBm,1
8542,5,62.5,-76 dBm,1
8546,5,62.5,-74 dBm,1
8555,5,62.5,-66 dBm,1
8697,5,62.5,-64 dBm,1
8815,5,62.5,-70 dBm,1
8956,5,62.5,-74 dBm,1
8992,5,62.5,-67 dBm,1
9199,5,62.5,-73 dBm,1
9430,5,62.5,-59 dBm,1
9487,5,62.5,-63 dBm,1
9639,5,62.5,-73 dBm,1
9672,5,62.5,-70 dBm,1
9673,5,62.5,-73 dBm,1
9727,5,62.5,-68 dBm,1
9750,5,62.5,-75 dBm,1
9754,5,62.5,-71 dBm,1
9789,5,62.5,-73 dBm,1
9909,5,62.5,-75 dBm,1
10291,5,62.5,-73 dBm,1
10383,5,62.5,-77 dBm,1
