No.,Broadcasters,Sniffer_Distance,RSSI,Malformed Packet
3673,3,8.66,-56 dBm,1
4658,3,8.66,-54 dBm,1
4739,3,8.66,-83 dBm,1
5026,3,8.66,-79 dBm,1
5195,3,8.66,-82 dBm,1
6736,3,8.66,-76 dBm,1
8426,3,8.66,-74 dBm,1
9020,3,8.66,-76 dBm,1
9186,3,8.66,-78 dBm,1
10608,3,8.66,-49 dBm,1
10663,3,8.66,-57 dBm,1
10748,3,8.66,-76 dBm,1
11484,3,8.66,-51 dBm,1
11563,3,8.66,-73 dBm,1
12105,3,8.66,-51 dBm,1
12904,3,8.66,-74 dBm,1
13134,3,8.66,-51 dBm,1
13407,3,8.66,-50 dBm,1
13681,3,8.66,-73 dBm,1
13804,3,8.66,-73 dBm,1
13812,3,8.66,-55 dBm,1
13880,3,8.66,-56 dBm,1
14375,3,8.66,-56 dBm,1
14727,3,8.66,-56 dBm,1
17855,3,8.66,-74 dBm,1
18486,3,8.66,-58 dBm,1
19356,3,8.66,-56 dBm,1
20543,3,8.66,-55 dBm,1
21121,3,8.66,-50 dBm,1
21705,3,8.66,-56 dBm,1
22159,3,8.66,-58 dBm,1
23072,3,8.66,-73 dBm,1
23227,3,8.66,-73 dBm,1
23271,3,8.66,-73 dBm,1
23298,3,8.66,-73 dBm,1
24014,3,8.66,-48 dBm,1
24030,3,8.66,-56 dBm,1
25077,3,8.66,-51 dBm,1
25587,3,8.66,-56 dBm,1
26256,3,8.66,-73 dBm,1
26315,3,8.66,-54 dBm,1
27111,3,8.66,-50 dBm,1
27662,3,8.66,-52 dBm,1
28952,3,8.66,-57 dBm,1
29218,3,8.66,-72 dBm,1
30478,3,8.66,-51 dBm,1
31298,3,8.66,-51 dBm,1
31924,3,8.66,-56 dBm,1
32718,3,8.66,-56 dBm,1
32806,3,8.66,-56 dBm,1
32866,3,8.66,-56 dBm,1
32994,3,8.66,-56 dBm,1
34302,3,8.66,-73 dBm,1
34368,3,8.66,-72 dBm,1
35157,3,8.66,-56 dBm,1
35383,3,8.66,-56 dBm,1
36232,3,8.66,-58 dBm,1
36815,3,8.66,-56 dBm,1
37465,3,8.66,-47 dBm,1
37678,3,8.66,-57 dBm,1
38804,3,8.66,-51 dBm,1
40553,3,8.66,-75 dBm,1
40755,3,8.66,-72 dBm,1
43181,3,8.66,-57 dBm,1
43489,3,8.66,-57 dBm,1
44249,3,8.66,-57 dBm,1
45145,3,8.66,-81 dBm,1
45403,3,8.66,-57 dBm,1
46341,3,8.66,-56 dBm,1
46428,3,8.66,-53 dBm,1
46476,3,8.66,-56 dBm,1
47158,3,8.66,-74 dBm,1
47625,3,8.66,-79 dBm,1
48504,3,8.66,-55 dBm,1
48734,3,8.66,-55 dBm,1
48867,3,8.66,-54 dBm,1
49070,3,8.66,-53 dBm,1
50068,3,8.66,-82 dBm,1
50083,3,8.66,-84 dBm,1
50090,3,8.66,-78 dBm,1
50181,3,8.66,-77 dBm,1
50193,3,8.66,-76 dBm,1
50282,3,8.66,-73 dBm,1
51018,3,8.66,-61 dBm,1
51106,3,8.66,-58 dBm,1
51357,3,8.66,-58 dBm,1
51400,3,8.66,-55 dBm,1
51777,3,8.66,-81 dBm,1
52031,3,8.66,-76 dBm,1
52445,3,8.66,-80 dBm,1
52529,3,8.66,-56 dBm,1
52532,3,8.66,-82 dBm,1
52557,3,8.66,-78 dBm,1
52611,3,8.66,-72 dBm,1
52871,3,8.66,-73 dBm,1
53081,3,8.66,-84 dBm,1
53210,3,8.66,-82 dBm,1
53221,3,8.66,-81 dBm,1
53242,3,8.66,-80 dBm,1
