No.,Broadcasters,Sniffer_Distance,RSSI,Malformed Packet
1735,2,7.5,-85 dBm,1
2007,2,7.5,-66 dBm,1
2204,2,7.5,-74 dBm,1
6464,2,7.5,-52 dBm,1
6720,2,7.5,-52 dBm,1
7846,2,7.5,-54 dBm,1
8080,2,7.5,-53 dBm,1
8453,2,7.5,-51 dBm,1
9191,2,7.5,-52 dBm,1
9239,2,7.5,-55 dBm,1
9523,2,7.5,-57 dBm,1
9524,2,7.5,-53 dBm,1
9838,2,7.5,-55 dBm,1
9981,2,7.5,-47 dBm,1
9989,2,7.5,-49 dBm,1
10474,2,7.5,-49 dBm,1
10475,2,7.5,-51 dBm,1
10546,2,7.5,-46 dBm,1
10643,2,7.5,-48 dBm,1
11152,2,7.5,-51 dBm,1
11154,2,7.5,-65 dBm,1
11179,2,7.5,-47 dBm,1
11349,2,7.5,-61 dBm,1
11670,2,7.5,-66 dBm,1
12358,2,7.5,-65 dBm,1
12502,2,7.5,-52 dBm,1
13456,2,7.5,-65 dBm,1
13755,2,7.5,-52 dBm,1
13757,2,7.5,-65 dBm,1
14235,2,7.5,-52 dBm,1
14334,2,7.5,-52 dBm,1
14336,2,7.5,-65 dBm,1
14439,2,7.5,-64 dBm,1
14450,2,7.5,-65 dBm,1
14718,2,7.5,-65 dBm,1
15004,2,7.5,-65 dBm,1
15119,2,7.5,-64 dBm,1
15515,2,7.5,-65 dBm,1
15526,2,7.5,-65 dBm,1
17819,2,7.5,-61 dBm,1
19210,2,7.5,-57 dBm,1
45025,2,7.5,-56 dBm,1
45774,2,7.5,-57 dBm,1
46681,2,7.5,-54 dBm,1
46682,2,7.5,-56 dBm,1
48072,2,7.5,-55 dBm,1
63441,2,7.5,-52 dBm,1
63442,2,7.5,-54 dBm,1
64296,2,7.5,-44 dBm,1
65252,2,7.5,-53 dBm,1
65253,2,7.5,-54 dBm,1
65808,2,7.5,-53 dBm,1
67116,2,7.5,-53 dBm,1
67117,2,7.5,-54 dBm,1
67118,2,7.5,-65 dBm,1
79432,2,7.5,-57 dBm,1
79980,2,7.5,-57 dBm,1
80036,2,7.5,-56 dBm,1
80448,2,7.5,-57 dBm,1
80648,2,7.5,-55 dBm,1
81648,2,7.5,-56 dBm,1
81712,2,7.5,-55 dBm,1
82251,2,7.5,-57 dBm,1
82443,2,7.5,-56 dBm,1
82823,2,7.5,-55 dBm,1
83114,2,7.5,-56 dBm,1
83130,2,7.5,-56 dBm,1
83566,2,7.5,-60 dBm,1
83622,2,7.5,-56 dBm,1
83710,2,7.5,-57 dBm,1
83974,2,7.5,-57 dBm,1
84250,2,7.5,-58 dBm,1
84796,2,7.5,-57 dBm,1
84988,2,7.5,-56 dBm,1
85584,2,7.5,-57 dBm,1
86096,2,7.5,-56 dBm,1
86348,2,7.5,-56 dBm,1
87123,2,7.5,-56 dBm,1
87781,2,7.5,-55 dBm,1
87797,2,7.5,-57 dBm,1
88229,2,7.5,-56 dBm,1
88317,2,7.5,-56 dBm,1
88333,2,7.5,-56 dBm,1
88525,2,7.5,-57 dBm,1
89669,2,7.5,-55 dBm,1
90157,2,7.5,-57 dBm,1
90325,2,7.5,-56 dBm,1
90465,2,7.5,-56 dBm,1
90557,2,7.5,-56 dBm,1
90589,2,7.5,-56 dBm,1
90761,2,7.5,-57 dBm,1
91149,2,7.5,-57 dBm,1
91417,2,7.5,-60 dBm,1
92161,2,7.5,-56 dBm,1
92533,2,7.5,-56 dBm,1
93029,2,7.5,-56 dBm,1
93125,2,7.5,-56 dBm,1
93649,2,7.5,-54 dBm,1
93981,2,7.5,-58 dBm,1
94169,2,7.5,-59 dBm,1
94185,2,7.5,-58 dBm,1
94481,2,7.5,-59 dBm,1
94517,2,7.5,-56 dBm,1
94656,2,7.5,-54 dBm,1
95327,2,7.5,-58 dBm,1
95441,2,7.5,-57 dBm,1
95888,2,7.5,-58 dBm,1
96000,2,7.5,-58 dBm,1
96024,2,7.5,-57 dBm,1
96212,2,7.5,-57 dBm,1
96271,2,7.5,-58 dBm,1
96862,2,7.5,-57 dBm,1
97567,2,7.5,-58 dBm,1
99962,2,7.5,-54 dBm,1
113388,2,7.5,-64 dBm,1
118965,2,7.5,-58 dBm,1
127174,2,7.5,-55 dBm,1
130870,2,7.5,-57 dBm,1
137691,2,7.5,-57 dBm,1
144287,2,7.5,-58 dBm,1
146720,2,7.5,-57 dBm,1
148595,2,7.5,-57 dBm,1
152549,2,7.5,-54 dBm,1
