No.,Broadcasters,Sniffer_Distance,RSSI,Malformed Packet
8,4,53.03,-67 dBm,1
95,4,53.03,-79 dBm,1
223,4,53.03,-80 dBm,1
416,4,53.03,-80 dBm,1
476,4,53.03,-65 dBm,1
676,4,53.03,-79 dBm,1
819,4,53.03,-72 dBm,1
1211,4,53.03,-81 dBm,1
1223,4,53.03,-70 dBm,1
1233,4,53.03,-79 dBm,1
1244,4,53.03,-81 dBm,1
1277,4,53.03,-81 dBm,1
1370,4,53.03,-81 dBm,1
1484,4,53.03,-80 dBm,1
1487,4,53.03,-79 dBm,1
1517,4,53.03,-79 dBm,1
1763,4,53.03,-81 dBm,1
1790,4,53.03,-81 dBm,1
1884,4,53.03,-65 dBm,1
1914,4,53.03,-65 dBm,1
2154,4,53.03,-68 dBm,1
2201,4,53.03,-78 dBm,1
2213,4,53.03,-71 dBm,1
2759,4,53.03,-66 dBm,1
2778,4,53.03,-78 dBm,1
2895,4,53.03,-76 dBm,1
3029,4,53.03,-78 dBm,1
3074,4,53.03,-66 dBm,1
3173,4,53.03,-64 dBm,1
3436,4,53.03,-73 dBm,1
3470,4,53.03,-62 dBm,1
3479,4,53.03,-63 dBm,1
3701,4,53.03,-64 dBm,1
3762,4,53.03,-77 dBm,1
3827,4,53.03,-77 dBm,1
3833,4,53.03,-72 dBm,1
3900,4,53.03,-78 dBm,1
3905,4,53.03,-75 dBm,1
3922,4,53.03,-75 dBm,1
3923,4,53.03,-74 dBm,1
3946,4,53.03,-65 dBm,1
4048,4,53.03,-76 dBm,1
4079,4,53.03,-76 dBm,1
4143,4,53.03,-74 dBm,1
4155,4,53.03,-74 dBm,1
4364,4,53.03,-75 dBm,1
4368,4,53.03,-77 dBm,1
4414,4,53.03,-73 dBm,1
4428,4,53.03,-79 dBm,1
4470,4,53.03,-80 dBm,1
4497,4,53.03,-72 dBm,1
4555,4,53.03,-79 dBm,1
4579,4,53.03,-65 dBm,1
4580,4,53.03,-80 dBm,1
4598,4,53.03,-69 dBm,1
4608,4,53.03,-80 dBm,1
4615,4,53.03,-65 dBm,1
4650,4,53.03,-82 dBm,1
4695,4,53.03,-80 dBm,1
4708,4,53.03,-81 dBm,1
4730,4,53.03,-81 dBm,1
4732,4,53.03,-76 dBm,1
4737,4,53.03,-81 dBm,1
4739,4,53.03,-80 dBm,1
4742,4,53.03,-80 dBm,1
4747,4,53.03,-74 dBm,1
4761,4,53.03,-80 dBm,1
4773,4,53.03,-77 dBm,1
4788,4,53.03,-77 dBm,1
4802,4,53.03,-78 dBm,1
4803,4,53.03,-77 dBm,1
4823,4,53.03,-78 dBm,1
4852,4,53.03,-81 dBm,1
4888,4,53.03,-86 dBm,1
4919,4,53.03,-76 dBm,1
5008,4,53.03,-87 dBm,1
5013,4,53.03,-59 dBm,1
5014,4,53.03,-64 dBm,1
5020,4,53.03,-81 dBm,1
5037,4,53.03,-82 dBm,1
5042,4,53.03,-60 dBm,1
5054,4,53.03,-81 dBm,1
5059,4,53.03,-63 dBm,1
5068,4,53.03,-83 dBm,1
5084,4,53.03,-84 dBm,1
5124,4,53.03,-59 dBm,1
5130,4,53.03,-64 dBm,1
5159,4,53.03,-82 dBm,1
5163,4,53.03,-62 dBm,1
5185,4,53.03,-79 dBm,1
5186,4,53.03,-83 dBm,1
5192,4,53.03,-80 dBm,1
5205,4,53.03,-81 dBm,1
5253,4,53.03,-83 dBm,1
5266,4,53.03,-56 dBm,1
5267,4,53.03,-87 dBm,1
5281,4,53.03,-60 dBm,1
5289,4,53.03,-60 dBm,1
5297,4,53.03,-64 dBm,1
5327,4,53.03,-64 dBm,1
5339,4,53.03,-58 dBm,1
5351,4,53.03,-82 dBm,1
5379,4,53.03,-64 dBm,1
5394,4,53.03,-64 dBm,1
5422,4,53.03,-84 dBm,1
5449,4,53.03,-65 dBm,1
5473,4,53.03,-85 dBm,1
5493,4,53.03,-60 dBm,1
5494,4,53.03,-57 dBm,1
5509,4,53.03,-59 dBm,1
5516,4,53.03,-86 dBm,1
5528,4,53.03,-85 dBm,1
5555,4,53.03,-85 dBm,1
5652,4,53.03,-58 dBm,1
5696,4,53.03,-68 dBm,1
5710,4,53.03,-60 dBm,1
5721,4,53.03,-60 dBm,1
5777,4,53.03,-64 dBm,1
5778,4,53.03,-65 dBm,1
5806,4,53.03,-59 dBm,1
5820,4,53.03,-61 dBm,1
5827,4,53.03,-61 dBm,1
5828,4,53.03,-65 dBm,1
5831,4,53.03,-86 dBm,1
5842,4,53.03,-63 dBm,1
5879,4,53.03,-74 dBm,1
5884,4,53.03,-59 dBm,1
5903,4,53.03,-62 dBm,1
5922,4,53.03,-75 dBm,1
5934,4,53.03,-64 dBm,1
6017,4,53.03,-50 dBm,1
6029,4,53.03,-54 dBm,1
6041,4,53.03,-50 dBm,1
6042,4,53.03,-62 dBm,1
6057,4,53.03,-84 dBm,1
6058,4,53.03,-83 dBm,1
6068,4,53.03,-56 dBm,1
6069,4,53.03,-65 dBm,1
6129,4,53.03,-61 dBm,1
6159,4,53.03,-56 dBm,1
6190,4,53.03,-54 dBm,1
6191,4,53.03,-64 dBm,1
6268,4,53.03,-63 dBm,1
6269,4,53.03,-61 dBm,1
6285,4,53.03,-62 dBm,1
6351,4,53.03,-62 dBm,1
