No.,Broadcasters,Sniffer_Distance,RSSI,Malformed Packet
3802,3,17.32,-59 dBm,1
3921,3,17.32,-60 dBm,1
3982,3,17.32,-76 dBm,1
4043,3,17.32,-81 dBm,1
4062,3,17.32,-62 dBm,1
4106,3,17.32,-74 dBm,1
4318,3,17.32,-74 dBm,1
4323,3,17.32,-73 dBm,1
4370,3,17.32,-72 dBm,1
4555,3,17.32,-62 dBm,1
4630,3,17.32,-62 dBm,1
4740,3,17.32,-58 dBm,1
4796,3,17.32,-70 dBm,1
5165,3,17.32,-64 dBm,1
5176,3,17.32,-65 dBm,1
5951,3,17.32,-61 dBm,1
5990,3,17.32,-59 dBm,1
6197,3,17.32,-59 dBm,1
6368,3,17.32,-59 dBm,1
7174,3,17.32,-59 dBm,1
7716,3,17.32,-63 dBm,1
8038,3,17.32,-59 dBm,1
8309,3,17.32,-56 dBm,1
8755,3,17.32,-58 dBm,1
8814,3,17.32,-62 dBm,1
9063,3,17.32,-62 dBm,1
9415,3,17.32,-60 dBm,1
9605,3,17.32,-56 dBm,1
9812,3,17.32,-60 dBm,1
9952,3,17.32,-58 dBm,1
9976,3,17.32,-60 dBm,1
10047,3,17.32,-61 dBm,1
10079,3,17.32,-62 dBm,1
10815,3,17.32,-60 dBm,1
11199,3,17.32,-61 dBm,1
11614,3,17.32,-59 dBm,1
11630,3,17.32,-60 dBm,1
11972,3,17.32,-60 dBm,1
12179,3,17.32,-60 dBm,1
12882,3,17.32,-62 dBm,1
13074,3,17.32,-60 dBm,1
13532,3,17.32,-60 dBm,1
13787,3,17.32,-62 dBm,1
13859,3,17.32,-61 dBm,1
14313,3,17.32,-57 dBm,1
14388,3,17.32,-57 dBm,1
14725,3,17.32,-57 dBm,1
15072,3,17.32,-61 dBm,1
15220,3,17.32,-62 dBm,1
15864,3,17.32,-60 dBm,1
15888,3,17.32,-62 dBm,1
16239,3,17.32,-58 dBm,1
16510,3,17.32,-57 dBm,1
16534,3,17.32,-59 dBm,1
16861,3,17.32,-61 dBm,1
17624,3,17.32,-60 dBm,1
17871,3,17.32,-60 dBm,1
17883,3,17.32,-58 dBm,1
18477,3,17.32,-54 dBm,1
18485,3,17.32,-59 dBm,1
18513,3,17.32,-55 dBm,1
18517,3,17.32,-60 dBm,1
18852,3,17.32,-59 dBm,1
19039,3,17.32,-51 dBm,1
19291,3,17.32,-60 dBm,1
19327,3,17.32,-59 dBm,1
19748,3,17.32,-58 dBm,1
19938,3,17.32,-61 dBm,1
20113,3,17.32,-60 dBm,1
20610,3,17.32,-61 dBm,1
20843,3,17.32,-87 dBm,1
20877,3,17.32,-59 dBm,1
21091,3,17.32,-60 dBm,1
21103,3,17.32,-59 dBm,1
21658,3,17.32,-86 dBm,1
21690,3,17.32,-86 dBm,1
22170,3,17.32,-58 dBm,1
22253,3,17.32,-58 dBm,1
22393,3,17.32,-58 dBm,1
22397,3,17.32,-59 dBm,1
23308,3,17.32,-59 dBm,1
23455,3,17.32,-58 dBm,1
23519,3,17.32,-58 dBm,1
23941,3,17.32,-60 dBm,1
23964,3,17.32,-60 dBm,1
24379,3,17.32,-59 dBm,1
24647,3,17.32,-60 dBm,1
24719,3,17.32,-59 dBm,1
25007,3,17.32,-60 dBm,1
25291,3,17.32,-53 dBm,1
25731,3,17.32,-59 dBm,1
26146,3,17.32,-60 dBm,1
26440,3,17.32,-88 dBm,1
27486,3,17.32,-60 dBm,1
27534,3,17.32,-60 dBm,1
27638,3,17.32,-60 dBm,1
27832,3,17.32,-59 dBm,1
27848,3,17.32,-59 dBm,1
27872,3,17.32,-60 dBm,1
28090,3,17.32,-60 dBm,1
28413,3,17.32,-59 dBm,1
28865,3,17.32,-60 dBm,1
29556,3,17.32,-60 dBm,1
29731,3,17.32,-58 dBm,1
29931,3,17.32,-63 dBm,1
30305,3,17.32,-58 dBm,1
30584,3,17.32,-60 dBm,1
30724,3,17.32,-60 dBm,1
31920,3,17.32,-60 dBm,1
33586,3,17.32,-55 dBm,1
34958,3,17.32,-60 dBm,1
38382,3,17.32,-53 dBm,1
38673,3,17.32,-58 dBm,1
39947,3,17.32,-59 dBm,1
41452,3,17.32,-54 dBm,1
42991,3,17.32,-55 dBm,1
45846,3,17.32,-56 dBm,1
46376,3,17.32,-55 dBm,1
47893,3,17.32,-53 dBm,1
49257,3,17.32,-88 dBm,1
49989,3,17.32,-50 dBm,1
50009,3,17.32,-53 dBm,1
50805,3,17.32,-52 dBm,1
51621,3,17.32,-54 dBm,1
51669,3,17.32,-59 dBm,1
51773,3,17.32,-53 dBm,1
53398,3,17.32,-60 dBm,1
53534,3,17.32,-61 dBm,1
53826,3,17.32,-60 dBm,1
54088,3,17.32,-56 dBm,1
55437,3,17.32,-55 dBm,1
55619,3,17.32,-57 dBm,1
56040,3,17.32,-91 dBm,1
57005,3,17.32,-59 dBm,1
57621,3,17.32,-56 dBm,1
59604,3,17.32,-59 dBm,1
59995,3,17.32,-60 dBm,1
60269,3,17.32,-54 dBm,1
60918,3,17.32,-53 dBm,1
60953,3,17.32,-51 dBm,1
62791,3,17.32,-59 dBm,1
63634,3,17.32,-86 dBm,1
65512,3,17.32,-54 dBm,1
66122,3,17.32,-54 dBm,1
66355,3,17.32,-55 dBm,1
70246,3,17.32,-54 dBm,1
70721,3,17.32,-55 dBm,1
72938,3,17.32,-89 dBm,1
73547,3,17.32,-61 dBm,1
74095,3,17.32,-54 dBm,1
76886,3,17.32,-54 dBm,1
76961,3,17.32,-61 dBm,1
77276,3,17.32,-61 dBm,1
77869,3,17.32,-59 dBm,1
77971,3,17.32,-64 dBm,1
78841,3,17.32,-61 dBm,1
79311,3,17.32,-60 dBm,1
80283,3,17.32,-57 dBm,1
81056,3,17.32,-60 dBm,1
83743,3,17.32,-58 dBm,1
85047,3,17.32,-61 dBm,1
85098,3,17.32,-55 dBm,1
86938,3,17.32,-55 dBm,1
90486,3,17.32,-62 dBm,1
91861,3,17.32,-62 dBm,1
92586,3,17.32,-56 dBm,1
92612,3,17.32,-56 dBm,1
94197,3,17.32,-61 dBm,1
94564,3,17.32,-59 dBm,1
95389,3,17.32,-63 dBm,1
95588,3,17.32,-63 dBm,1
97727,3,17.32,-55 dBm,1
100689,3,17.32,-59 dBm,1
101174,3,17.32,-55 dBm,1
102132,3,17.32,-61 dBm,1
102762,3,17.32,-59 dBm,1
103462,3,17.32,-57 dBm,1
105484,3,17.32,-55 dBm,1
106807,3,17.32,-60 dBm,1
108641,3,17.32,-56 dBm,1
110333,3,17.32,-53 dBm,1
116722,3,17.32,-54 dBm,1
117045,3,17.32,-62 dBm,1
118043,3,17.32,-54 dBm,1
118228,3,17.32,-55 dBm,1
124923,3,17.32,-64 dBm,1
126055,3,17.32,-58 dBm,1
129038,3,17.32,-58 dBm,1
131338,3,17.32,-61 dBm,1
137477,3,17.32,-61 dBm,1
137851,3,17.32,-59 dBm,1
138144,3,17.32,-55 dBm,1
138596,3,17.32,-61 dBm,1
142119,3,17.32,-60 dBm,1
144094,3,17.32,-53 dBm,1
147619,3,17.32,-61 dBm,1
147969,3,17.32,-49 dBm,1
148000,3,17.32,-59 dBm,1
148016,3,17.32,-58 dBm,1
148067,3,17.32,-58 dBm,1
149094,3,17.32,-51 dBm,1
149825,3,17.32,-56 dBm,1
150193,3,17.32,-60 dBm,1
150213,3,17.32,-61 dBm,1
151650,3,17.32,-54 dBm,1
152058,3,17.32,-56 dBm,1
152633,3,17.32,-58 dBm,1
152810,3,17.32,-75 dBm,1
152893,3,17.32,-73 dBm,1
153264,3,17.32,-80 dBm,1
153687,3,17.32,-81 dBm,1
155841,3,17.32,-70 dBm,1
156537,3,17.32,-82 dBm,1
156551,3,17.32,-58 dBm,1
156574,3,17.32,-81 dBm,1
156589,3,17.32,-73 dBm,1
156618,3,17.32,-72 dBm,1
156855,3,17.32,-79 dBm,1
156888,3,17.32,-57 dBm,1
156915,3,17.32,-58 dBm,1
157070,3,17.32,-77 dBm,1
157113,3,17.32,-73 dBm,1
157173,3,17.32,-71 dBm,1
157193,3,17.32,-71 dBm,1
157462,3,17.32,-72 dBm,1
157465,3,17.32,-72 dBm,1
157533,3,17.32,-81 dBm,1
157536,3,17.32,-80 dBm,1
157585,3,17.32,-79 dBm,1
157593,3,17.32,-79 dBm,1
157644,3,17.32,-71 dBm,1
158521,3,17.32,-63 dBm,1
158911,3,17.32,-60 dBm,1
159054,3,17.32,-72 dBm,1
159240,3,17.32,-62 dBm,1
159287,3,17.32,-62 dBm,1
160317,3,17.32,-65 dBm,1
162180,3,17.32,-50 dBm,1
162668,3,17.32,-48 dBm,1
162801,3,17.32,-63 dBm,1
162814,3,17.32,-49 dBm,1
162893,3,17.32,-55 dBm,1
163028,3,17.32,-62 dBm,1
163144,3,17.32,-61 dBm,1
163357,3,17.32,-61 dBm,1
163500,3,17.32,-48 dBm,1
164007,3,17.32,-62 dBm,1
164414,3,17.32,-54 dBm,1
164491,3,17.32,-62 dBm,1
165008,3,17.32,-62 dBm,1
165064,3,17.32,-62 dBm,1
165185,3,17.32,-61 dBm,1
165325,3,17.32,-57 dBm,1
165364,3,17.32,-62 dBm,1
165675,3,17.32,-57 dBm,1
165676,3,17.32,-58 dBm,1
165677,3,17.32,-62 dBm,1
165844,3,17.32,-57 dBm,1
165845,3,17.32,-58 dBm,1
165846,3,17.32,-62 dBm,1
166440,3,17.32,-58 dBm,1
166441,3,17.32,-58 dBm,1
166442,3,17.32,-62 dBm,1
166771,3,17.32,-60 dBm,1
166889,3,17.32,-57 dBm,1
166890,3,17.32,-58 dBm,1
166891,3,17.32,-62 dBm,1
166930,3,17.32,-63 dBm,1
