No.,Broadcasters,Sniffer_Distance,RSSI,Malformed Packet
36,6,75,-74 dBm,1
153,6,75,-74 dBm,1
164,6,75,-81 dBm,1
168,6,75,-74 dBm,1
177,6,75,-75 dBm,1
252,6,75,-74 dBm,1
306,6,75,-74 dBm,1
411,6,75,-76 dBm,1
428,6,75,-73 dBm,1
630,6,75,-79 dBm,1
714,6,75,-78 dBm,1
735,6,75,-79 dBm,1
831,6,75,-77 dBm,1
885,6,75,-77 dBm,1
891,6,75,-75 dBm,1
1176,6,75,-75 dBm,1
1215,6,75,-75 dBm,1
1287,6,75,-74 dBm,1
1332,6,75,-77 dBm,1
1566,6,75,-75 dBm,1
1668,6,75,-73 dBm,1
1674,6,75,-65 dBm,1
1689,6,75,-66 dBm,1
1728,6,75,-64 dBm,1
1752,6,75,-64 dBm,1
1884,6,75,-75 dBm,1
1902,6,75,-76 dBm,1
1986,6,75,-64 dBm,1
2058,6,75,-74 dBm,1
2213,6,75,-82 dBm,1
2327,6,75,-82 dBm,1
2705,6,75,-78 dBm,1
2793,6,75,-78 dBm,1
2832,6,75,-72 dBm,1
2952,6,75,-78 dBm,1
3027,6,75,-66 dBm,1
3054,6,75,-78 dBm,1
3069,6,75,-79 dBm,1
3102,6,75,-65 dBm,1
3141,6,75,-78 dBm,1
3168,6,75,-64 dBm,1
3228,6,75,-78 dBm,1
3231,6,75,-79 dBm,1
3348,6,75,-78 dBm,1
3399,6,75,-66 dBm,1
3585,6,75,-66 dBm,1
3621,6,75,-76 dBm,1
3648,6,75,-75 dBm,1
3708,6,75,-79 dBm,1
3921,6,75,-76 dBm,1
3930,6,75,-76 dBm,1
4038,6,75,-72 dBm,1
4272,6,75,-73 dBm,1
4274,6,75,-84 dBm,1
4320,6,75,-65 dBm,1
4356,6,75,-77 dBm,1
4490,6,75,-83 dBm,1
4503,6,75,-75 dBm,1
4650,6,75,-76 dBm,1
4773,6,75,-76 dBm,1
4797,6,75,-75 dBm,1
4962,6,75,-74 dBm,1
5031,6,75,-74 dBm,1
5034,6,75,-76 dBm,1
5169,6,75,-81 dBm,1
5262,6,75,-67 dBm,1
5343,6,75,-69 dBm,1
5526,6,75,-76 dBm,1
5613,6,75,-72 dBm,1
