No.,Broadcasters,Sniffer_Distance,RSSI,Malformed Packet
3851,3,8.66,-65 dBm,1
4353,3,8.66,-53 dBm,1
4966,3,8.66,-54 dBm,1
5631,3,8.66,-51 dBm,1
5799,3,8.66,-51 dBm,1
5834,3,8.66,-53 dBm,1
5841,3,8.66,-74 dBm,1
6415,3,8.66,-53 dBm,1
7024,3,8.66,-52 dBm,1
7100,3,8.66,-48 dBm,1
7589,3,8.66,-57 dBm,1
8401,3,8.66,-51 dBm,1
8449,3,8.66,-54 dBm,1
9030,3,8.66,-54 dBm,1
9549,3,8.66,-53 dBm,1
10468,3,8.66,-76 dBm,1
10472,3,8.66,-50 dBm,1
10488,3,8.66,-70 dBm,1
10552,3,8.66,-83 dBm,1
10743,3,8.66,-78 dBm,1
10960,3,8.66,-79 dBm,1
11081,3,8.66,-54 dBm,1
11152,3,8.66,-77 dBm,1
11186,3,8.66,-77 dBm,1
11268,3,8.66,-78 dBm,1
11365,3,8.66,-77 dBm,1
11530,3,8.66,-75 dBm,1
12439,3,8.66,-72 dBm,1
13212,3,8.66,-55 dBm,1
13251,3,8.66,-79 dBm,1
13387,3,8.66,-77 dBm,1
13867,3,8.66,-76 dBm,1
13977,3,8.66,-51 dBm,1
14393,3,8.66,-54 dBm,1
15544,3,8.66,-72 dBm,1
16500,3,8.66,-47 dBm,1
16583,3,8.66,-77 dBm,1
16634,3,8.66,-51 dBm,1
17040,3,8.66,-53 dBm,1
17064,3,8.66,-52 dBm,1
17210,3,8.66,-51 dBm,1
17301,3,8.66,-53 dBm,1
17477,3,8.66,-51 dBm,1
17551,3,8.66,-53 dBm,1
17627,3,8.66,-51 dBm,1
17709,3,8.66,-51 dBm,1
17729,3,8.66,-62 dBm,1
17829,3,8.66,-51 dBm,1
18245,3,8.66,-51 dBm,1
18622,3,8.66,-54 dBm,1
19029,3,8.66,-54 dBm,1
19368,3,8.66,-51 dBm,1
19959,3,8.66,-70 dBm,1
20438,3,8.66,-52 dBm,1
20706,3,8.66,-61 dBm,1
21043,3,8.66,-67 dBm,1
21121,3,8.66,-51 dBm,1
21986,3,8.66,-52 dBm,1
22274,3,8.66,-61 dBm,1
22658,3,8.66,-61 dBm,1
22922,3,8.66,-52 dBm,1
23247,3,8.66,-69 dBm,1
23752,3,8.66,-69 dBm,1
24264,3,8.66,-52 dBm,1
24844,3,8.66,-51 dBm,1
24868,3,8.66,-52 dBm,1
24883,3,8.66,-51 dBm,1
25257,3,8.66,-52 dBm,1
25418,3,8.66,-61 dBm,1
25630,3,8.66,-51 dBm,1
25646,3,8.66,-51 dBm,1
26111,3,8.66,-51 dBm,1
26720,3,8.66,-51 dBm,1
27378,3,8.66,-50 dBm,1
27781,3,8.66,-51 dBm,1
28039,3,8.66,-63 dBm,1
28298,3,8.66,-51 dBm,1
29318,3,8.66,-51 dBm,1
29425,3,8.66,-51 dBm,1
29789,3,8.66,-62 dBm,1
29928,3,8.66,-63 dBm,1
29972,3,8.66,-51 dBm,1
30103,3,8.66,-52 dBm,1
30372,3,8.66,-67 dBm,1
30404,3,8.66,-51 dBm,1
31214,3,8.66,-67 dBm,1
31479,3,8.66,-51 dBm,1
31714,3,8.66,-66 dBm,1
32035,3,8.66,-51 dBm,1
32094,3,8.66,-52 dBm,1
32318,3,8.66,-51 dBm,1
32436,3,8.66,-52 dBm,1
32623,3,8.66,-52 dBm,1
33082,3,8.66,-62 dBm,1
