No.,Broadcasters,Sniffer_Distance,RSSI,Malformed Packet
71,4,63.64,-84 dBm,1
110,4,63.64,-82 dBm,1
1627,4,63.64,-61 dBm,1
2270,4,63.64,-77 dBm,1
2271,4,63.64,-73 dBm,1
2272,4,63.64,-71 dBm,1
2753,4,63.64,-78 dBm,1
3044,4,63.64,-77 dBm,1
4289,4,63.64,-79 dBm,1
4325,4,63.64,-76 dBm,1
4616,4,63.64,-77 dBm,1
5225,4,63.64,-77 dBm,1
5237,4,63.64,-77 dBm,1
5767,4,63.64,-70 dBm,1
5789,4,63.64,-72 dBm,1
5798,4,63.64,-71 dBm,1
5805,4,63.64,-66 dBm,1
5867,4,63.64,-70 dBm,1
5912,4,63.64,-63 dBm,1
5993,4,63.64,-65 dBm,1
6120,4,63.64,-73 dBm,1
6167,4,63.64,-65 dBm,1
6211,4,63.64,-74 dBm,1
6223,4,63.64,-69 dBm,1
6274,4,63.64,-65 dBm,1
6356,4,63.64,-64 dBm,1
6362,4,63.64,-64 dBm,1
6473,4,63.64,-75 dBm,1
6493,4,63.64,-63 dBm,1
6513,4,63.64,-69 dBm,1
6557,4,63.64,-74 dBm,1
6569,4,63.64,-67 dBm,1
6615,4,63.64,-65 dBm,1
6705,4,63.64,-77 dBm,1
6845,4,63.64,-75 dBm,1
6864,4,63.64,-72 dBm,1
6908,4,63.64,-72 dBm,1
6940,4,63.64,-66 dBm,1
6966,4,63.64,-66 dBm,1
7001,4,63.64,-67 dBm,1
7010,4,63.64,-63 dBm,1
7027,4,63.64,-72 dBm,1
7029,4,63.64,-74 dBm,1
7034,4,63.64,-74 dBm,1
7045,4,63.64,-67 dBm,1
7057,4,63.64,-75 dBm,1
7108,4,63.64,-68 dBm,1
7166,4,63.64,-70 dBm,1
7283,4,63.64,-63 dBm,1
7334,4,63.64,-65 dBm,1
7353,4,63.64,-72 dBm,1
7509,4,63.64,-68 dBm,1
7543,4,63.64,-73 dBm,1
7582,4,63.64,-66 dBm,1
7594,4,63.64,-65 dBm,1
7701,4,63.64,-73 dBm,1
7714,4,63.64,-72 dBm,1
7717,4,63.64,-74 dBm,1
7827,4,63.64,-72 dBm,1
8087,4,63.64,-71 dBm,1
8100,4,63.64,-80 dBm,1
8104,4,63.64,-64 dBm,1
8173,4,63.64,-75 dBm,1
8251,4,63.64,-77 dBm,1
8279,4,63.64,-63 dBm,1
8323,4,63.64,-72 dBm,1
8399,4,63.64,-76 dBm,1
8461,4,63.64,-62 dBm,1
8512,4,63.64,-75 dBm,1
8644,4,63.64,-74 dBm,1
8654,4,63.64,-74 dBm,1
8675,4,63.64,-79 dBm,1
8687,4,63.64,-75 dBm,1
8714,4,63.64,-63 dBm,1
8724,4,63.64,-76 dBm,1
8735,4,63.64,-79 dBm,1
8736,4,63.64,-85 dBm,1
8739,4,63.64,-66 dBm,1
8752,4,63.64,-79 dBm,1
8760,4,63.64,-72 dBm,1
8786,4,63.64,-76 dBm,1
8799,4,63.64,-74 dBm,1
8821,4,63.64,-76 dBm,1
8851,4,63.64,-72 dBm,1
8853,4,63.64,-77 dBm,1
8886,4,63.64,-74 dBm,1
8917,4,63.64,-74 dBm,1
8922,4,63.64,-74 dBm,1
8944,4,63.64,-73 dBm,1
9015,4,63.64,-73 dBm,1
9017,4,63.64,-77 dBm,1
9038,4,63.64,-75 dBm,1
9050,4,63.64,-79 dBm,1
9054,4,63.64,-79 dBm,1
9078,4,63.64,-79 dBm,1
9152,4,63.64,-73 dBm,1
9226,4,63.64,-76 dBm,1
9228,4,63.64,-76 dBm,1
9299,4,63.64,-77 dBm,1
9305,4,63.64,-75 dBm,1
9327,4,63.64,-73 dBm,1
9359,4,63.64,-72 dBm,1
9367,4,63.64,-61 dBm,1
9471,4,63.64,-73 dBm,1
