No.,Broadcasters,Sniffer_Distance,RSSI,Malformed Packet
115,2,15,-62 dBm,1
202,2,15,-58 dBm,1
813,2,15,-61 dBm,1
1044,2,15,-84 dBm,1
1191,2,15,-78 dBm,1
2320,2,15,-65 dBm,1
2758,2,15,-65 dBm,1
3177,2,15,-84 dBm,1
3300,2,15,-75 dBm,1
3410,2,15,-78 dBm,1
3507,2,15,-79 dBm,1
3784,2,15,-58 dBm,1
7259,2,15,-67 dBm,1
14859,2,15,-49 dBm,1
15055,2,15,-56 dBm,1
15507,2,15,-54 dBm,1
15875,2,15,-51 dBm,1
15947,2,15,-52 dBm,1
16487,2,15,-57 dBm,1
17291,2,15,-63 dBm,1
17292,2,15,-59 dBm,1
17987,2,15,-47 dBm,1
18155,2,15,-47 dBm,1
18271,2,15,-59 dBm,1
18272,2,15,-61 dBm,1
18273,2,15,-63 dBm,1
18458,2,15,-51 dBm,1
18642,2,15,-59 dBm,1
19134,2,15,-60 dBm,1
19558,2,15,-60 dBm,1
19974,2,15,-60 dBm,1
20286,2,15,-59 dBm,1
20494,2,15,-60 dBm,1
20750,2,15,-60 dBm,1
20751,2,15,-61 dBm,1
20752,2,15,-64 dBm,1
20845,2,15,-60 dBm,1
20957,2,15,-59 dBm,1
21109,2,15,-60 dBm,1
21110,2,15,-61 dBm,1
21111,2,15,-64 dBm,1
21156,2,15,-60 dBm,1
21157,2,15,-60 dBm,1
21158,2,15,-64 dBm,1
21335,2,15,-60 dBm,1
21337,2,15,-65 dBm,1
21526,2,15,-59 dBm,1
21782,2,15,-60 dBm,1
22226,2,15,-60 dBm,1
22227,2,15,-61 dBm,1
22228,2,15,-64 dBm,1
22381,2,15,-60 dBm,1
22397,2,15,-60 dBm,1
22399,2,15,-64 dBm,1
22828,2,15,-59 dBm,1
22829,2,15,-60 dBm,1
22859,2,15,-62 dBm,1
22860,2,15,-63 dBm,1
22861,2,15,-63 dBm,1
22866,2,15,-60 dBm,1
22867,2,15,-61 dBm,1
22868,2,15,-64 dBm,1
23433,2,15,-60 dBm,1
23434,2,15,-61 dBm,1
23544,2,15,-60 dBm,1
23546,2,15,-64 dBm,1
23555,2,15,-60 dBm,1
23556,2,15,-60 dBm,1
23557,2,15,-64 dBm,1
23762,2,15,-59 dBm,1
23763,2,15,-61 dBm,1
23764,2,15,-64 dBm,1
23917,2,15,-60 dBm,1
23918,2,15,-61 dBm,1
23919,2,15,-64 dBm,1
24640,2,15,-60 dBm,1
24641,2,15,-61 dBm,1
24642,2,15,-64 dBm,1
24723,2,15,-60 dBm,1
24724,2,15,-61 dBm,1
24725,2,15,-64 dBm,1
25450,2,15,-60 dBm,1
25451,2,15,-60 dBm,1
25677,2,15,-60 dBm,1
25678,2,15,-60 dBm,1
25828,2,15,-60 dBm,1
25829,2,15,-61 dBm,1
25830,2,15,-64 dBm,1
25970,2,15,-59 dBm,1
25971,2,15,-60 dBm,1
26049,2,15,-59 dBm,1
26050,2,15,-60 dBm,1
26051,2,15,-64 dBm,1
47932,2,15,-92 dBm,1
65788,2,15,-68 dBm,1
66051,2,15,-73 dBm,1
70821,2,15,-75 dBm,1
70840,2,15,-75 dBm,1
70852,2,15,-80 dBm,1
70885,2,15,-81 dBm,1
70951,2,15,-85 dBm,1
70980,2,15,-75 dBm,1
70985,2,15,-77 dBm,1
71001,2,15,-81 dBm,1
71019,2,15,-76 dBm,1
71056,2,15,-74 dBm,1
71058,2,15,-75 dBm,1
71245,2,15,-79 dBm,1
71253,2,15,-80 dBm,1
71286,2,15,-80 dBm,1
71299,2,15,-78 dBm,1
71302,2,15,-79 dBm,1
71309,2,15,-79 dBm,1
71317,2,15,-79 dBm,1
71326,2,15,-78 dBm,1
71562,2,15,-71 dBm,1
76060,2,15,-69 dBm,1
76801,2,15,-75 dBm,1
76832,2,15,-73 dBm,1
77042,2,15,-72 dBm,1
77062,2,15,-71 dBm,1
77177,2,15,-73 dBm,1
77412,2,15,-76 dBm,1
77476,2,15,-74 dBm,1
77484,2,15,-75 dBm,1
77511,2,15,-75 dBm,1
77556,2,15,-80 dBm,1
77564,2,15,-81 dBm,1
77587,2,15,-75 dBm,1
77603,2,15,-77 dBm,1
77636,2,15,-83 dBm,1
77646,2,15,-82 dBm,1
77652,2,15,-82 dBm,1
77654,2,15,-81 dBm,1
77656,2,15,-79 dBm,1
77687,2,15,-78 dBm,1
77701,2,15,-81 dBm,1
77746,2,15,-77 dBm,1
77766,2,15,-77 dBm,1
77804,2,15,-76 dBm,1
77829,2,15,-81 dBm,1
77832,2,15,-82 dBm,1
77833,2,15,-81 dBm,1
77887,2,15,-77 dBm,1
77897,2,15,-76 dBm,1
77920,2,15,-75 dBm,1
78001,2,15,-77 dBm,1
78007,2,15,-77 dBm,1
78794,2,15,-71 dBm,1
78866,2,15,-72 dBm,1
78991,2,15,-77 dBm,1
79205,2,15,-78 dBm,1
79221,2,15,-77 dBm,1
79322,2,15,-76 dBm,1
79330,2,15,-76 dBm,1
79373,2,15,-74 dBm,1
79419,2,15,-74 dBm,1
79442,2,15,-74 dBm,1
79454,2,15,-73 dBm,1
79458,2,15,-76 dBm,1
79506,2,15,-82 dBm,1
79526,2,15,-77 dBm,1
79565,2,15,-73 dBm,1
80033,2,15,-74 dBm,1
80036,2,15,-73 dBm,1
80039,2,15,-82 dBm,1
80053,2,15,-78 dBm,1
80592,2,15,-75 dBm,1
80880,2,15,-74 dBm,1
80954,2,15,-87 dBm,1
80961,2,15,-71 dBm,1
81088,2,15,-78 dBm,1
81099,2,15,-73 dBm,1
81180,2,15,-79 dBm,1
81252,2,15,-79 dBm,1
81312,2,15,-76 dBm,1
81323,2,15,-78 dBm,1
81351,2,15,-79 dBm,1
81534,2,15,-79 dBm,1
81564,2,15,-78 dBm,1
81656,2,15,-90 dBm,1
81664,2,15,-80 dBm,1
81679,2,15,-73 dBm,1
81751,2,15,-82 dBm,1
81818,2,15,-75 dBm,1
81826,2,15,-78 dBm,1
81845,2,15,-77 dBm,1
81874,2,15,-81 dBm,1
81884,2,15,-77 dBm,1
81915,2,15,-72 dBm,1
81919,2,15,-76 dBm,1
81928,2,15,-85 dBm,1
81946,2,15,-78 dBm,1
81954,2,15,-78 dBm,1
81958,2,15,-78 dBm,1
81993,2,15,-76 dBm,1
82001,2,15,-78 dBm,1
82016,2,15,-79 dBm,1
82064,2,15,-84 dBm,1
82072,2,15,-82 dBm,1
82098,2,15,-79 dBm,1
82109,2,15,-79 dBm,1
82171,2,15,-86 dBm,1
82297,2,15,-83 dBm,1
82386,2,15,-81 dBm,1
82416,2,15,-74 dBm,1
82557,2,15,-75 dBm,1
82581,2,15,-74 dBm,1
82589,2,15,-74 dBm,1
82668,2,15,-76 dBm,1
82780,2,15,-77 dBm,1
82794,2,15,-75 dBm,1
82844,2,15,-80 dBm,1
82970,2,15,-79 dBm,1
83574,2,15,-81 dBm,1
83582,2,15,-83 dBm,1
83584,2,15,-79 dBm,1
83592,2,15,-76 dBm,1
84136,2,15,-77 dBm,1
