No.,Broadcaster,Sniffer_Distance,RSSI,Malformed Packet
71062,6,75,-77 dBm,1
71243,6,75,-73 dBm,1
71248,6,75,-79 dBm,1
71285,6,75,-78 dBm,1
71296,6,75,-78 dBm,1
71304,6,75,-77 dBm,1
71356,6,75,-81 dBm,1
71372,6,75,-75 dBm,1
71376,6,75,-79 dBm,1
71401,6,75,-76 dBm,1
71572,6,75,-76 dBm,1
71597,6,75,-76 dBm,1
71618,6,75,-77 dBm,1
71622,6,75,-77 dBm,1
71648,6,75,-74 dBm,1
71649,6,75,-77 dBm,1
71672,6,75,-76 dBm,1
71716,6,75,-75 dBm,1
71730,6,75,-78 dBm,1
71796,6,75,-79 dBm,1
71810,6,75,-75 dBm,1
71823,6,75,-77 dBm,1
71835,6,75,-76 dBm,1
71864,6,75,-75 dBm,1
71883,6,75,-74 dBm,1
71904,6,75,-78 dBm,1
71941,6,75,-76 dBm,1
71963,6,75,-79 dBm,1
72007,6,75,-79 dBm,1
72038,6,75,-76 dBm,1
72053,6,75,-71 dBm,1
72111,6,75,-72 dBm,1
72114,6,75,-76 dBm,1
72142,6,75,-77 dBm,1
72189,6,75,-78 dBm,1
72191,6,75,-75 dBm,1
72192,6,75,-78 dBm,1
72212,6,75,-75 dBm,1
72216,6,75,-76 dBm,1
72219,6,75,-78 dBm,1
72231,6,75,-74 dBm,1
72284,6,75,-78 dBm,1
72310,6,75,-70 dBm,1
72326,6,75,-77 dBm,1
72356,6,75,-79 dBm,1
72376,6,75,-75 dBm,1
72383,6,75,-75 dBm,1
72418,6,75,-74 dBm,1
72481,6,75,-75 dBm,1
72484,6,75,-78 dBm,1
72502,6,75,-78 dBm,1
72525,6,75,-77 dBm,1
72536,6,75,-75 dBm,1
72558,6,75,-74 dBm,1
72563,6,75,-74 dBm,1
72622,6,75,-76 dBm,1
72641,6,75,-69 dBm,1
72676,6,75,-79 dBm,1
72680,6,75,-78 dBm,1
72714,6,75,-77 dBm,1
72725,6,75,-76 dBm,1
72745,6,75,-77 dBm,1
72770,6,75,-75 dBm,1
72790,6,75,-78 dBm,1
72798,6,75,-76 dBm,1
72811,6,75,-74 dBm,1
72840,6,75,-74 dBm,1
72862,6,75,-79 dBm,1
72877,6,75,-79 dBm,1
72924,6,75,-74 dBm,1
72971,6,75,-77 dBm,1
73085,6,75,-78 dBm,1
73103,6,75,-77 dBm,1
73121,6,75,-76 dBm,1
73155,6,75,-76 dBm,1
73162,6,75,-74 dBm,1
73174,6,75,-74 dBm,1
73268,6,75,-79 dBm,1
73322,6,75,-78 dBm,1
73407,6,75,-75 dBm,1
73414,6,75,-79 dBm,1
73430,6,75,-79 dBm,1
73452,6,75,-79 dBm,1
73474,6,75,-73 dBm,1
73480,6,75,-78 dBm,1
73509,6,75,-78 dBm,1
73526,6,75,-79 dBm,1
73539,6,75,-77 dBm,1
73551,6,75,-72 dBm,1
73554,6,75,-77 dBm,1
73556,6,75,-73 dBm,1
73594,6,75,-76 dBm,1
73619,6,75,-80 dBm,1
73640,6,75,-76 dBm,1
73660,6,75,-80 dBm,1
73687,6,75,-74 dBm,1
73753,6,75,-76 dBm,1
73758,6,75,-73 dBm,1
73768,6,75,-76 dBm,1
73822,6,75,-75 dBm,1
73848,6,75,-78 dBm,1
73852,6,75,-77 dBm,1
73883,6,75,-76 dBm,1
73963,6,75,-78 dBm,1
73983,6,75,-79 dBm,1
74033,6,75,-76 dBm,1
74062,6,75,-77 dBm,1
74155,6,75,-78 dBm,1
74182,6,75,-78 dBm,1
74198,6,75,-76 dBm,1
74216,6,75,-75 dBm,1
74313,6,75,-80 dBm,1
74409,6,75,-76 dBm,1
74415,6,75,-75 dBm,1
74445,6,75,-79 dBm,1
74449,6,75,-76 dBm,1
74464,6,75,-73 dBm,1
74505,6,75,-79 dBm,1
74519,6,75,-74 dBm,1
74526,6,75,-77 dBm,1
74582,6,75,-75 dBm,1
74628,6,75,-75 dBm,1
74633,6,75,-75 dBm,1
74635,6,75,-78 dBm,1
74649,6,75,-74 dBm,1
74669,6,75,-75 dBm,1
74687,6,75,-75 dBm,1
74706,6,75,-74 dBm,1
74767,6,75,-77 dBm,1
74798,6,75,-73 dBm,1
74800,6,75,-75 dBm,1
74817,6,75,-78 dBm,1
74855,6,75,-76 dBm,1
74915,6,75,-74 dBm,1
74926,6,75,-77 dBm,1
74959,6,75,-76 dBm,1
75023,6,75,-76 dBm,1
75031,6,75,-78 dBm,1
75040,6,75,-72 dBm,1
75055,6,75,-72 dBm,1
75057,6,75,-74 dBm,1
75127,6,75,-75 dBm,1
75143,6,75,-78 dBm,1
75206,6,75,-78 dBm,1
75228,6,75,-77 dBm,1
75232,6,75,-75 dBm,1
75236,6,75,-76 dBm,1
75295,6,75,-77 dBm,1
75368,6,75,-76 dBm,1
75456,6,75,-73 dBm,1
75464,6,75,-75 dBm,1
75480,6,75,-76 dBm,1
75536,6,75,-76 dBm,1
75569,6,75,-74 dBm,1
75579,6,75,-76 dBm,1
75686,6,75,-77 dBm,1
75700,6,75,-75 dBm,1
75756,6,75,-75 dBm,1
75768,6,75,-76 dBm,1
75820,6,75,-77 dBm,1
75888,6,75,-79 dBm,1
75928,6,75,-76 dBm,1
75951,6,75,-80 dBm,1
75970,6,75,-75 dBm,1
76050,6,75,-75 dBm,1
76074,6,75,-74 dBm,1
76104,6,75,-79 dBm,1
76118,6,75,-74 dBm,1
76127,6,75,-74 dBm,1
76181,6,75,-78 dBm,1
76201,6,75,-74 dBm,1
76205,6,75,-75 dBm,1
76229,6,75,-75 dBm,1
76248,6,75,-76 dBm,1
76302,6,75,-74 dBm,1
76343,6,75,-76 dBm,1
76366,6,75,-72 dBm,1
76386,6,75,-77 dBm,1
76403,6,75,-73 dBm,1
76411,6,75,-75 dBm,1
76454,6,75,-74 dBm,1
76469,6,75,-75 dBm,1
76480,6,75,-73 dBm,1
76505,6,75,-77 dBm,1
76511,6,75,-78 dBm,1
76526,6,75,-74 dBm,1
76535,6,75,-78 dBm,1
76557,6,75,-77 dBm,1
76570,6,75,-74 dBm,1
76571,6,75,-79 dBm,1
76575,6,75,-73 dBm,1
76595,6,75,-79 dBm,1
76598,6,75,-75 dBm,1
76621,6,75,-77 dBm,1
76629,6,75,-74 dBm,1
76633,6,75,-74 dBm,1
76692,6,75,-72 dBm,1
76772,6,75,-77 dBm,1
76787,6,75,-75 dBm,1
76823,6,75,-78 dBm,1
76827,6,75,-75 dBm,1
76831,6,75,-77 dBm,1
76896,6,75,-75 dBm,1
77021,6,75,-74 dBm,1
77025,6,75,-74 dBm,1
77057,6,75,-74 dBm,1
77075,6,75,-75 dBm,1
77179,6,75,-74 dBm,1
77196,6,75,-75 dBm,1
77206,6,75,-77 dBm,1
77254,6,75,-75 dBm,1
77289,6,75,-75 dBm,1
77335,6,75,-72 dBm,1
77391,6,75,-78 dBm,1
77416,6,75,-75 dBm,1
77441,6,75,-76 dBm,1
77449,6,75,-75 dBm,1
77471,6,75,-74 dBm,1
77501,6,75,-74 dBm,1
77514,6,75,-71 dBm,1
77542,6,75,-74 dBm,1
77550,6,75,-75 dBm,1
77579,6,75,-75 dBm,1
77605,6,75,-79 dBm,1
77636,6,75,-75 dBm,1
77666,6,75,-76 dBm,1
77680,6,75,-74 dBm,1
77681,6,75,-75 dBm,1
77684,6,75,-76 dBm,1
77695,6,75,-73 dBm,1
77775,6,75,-73 dBm,1
77794,6,75,-77 dBm,1
77802,6,75,-75 dBm,1
77811,6,75,-75 dBm,1
77819,6,75,-76 dBm,1
77830,6,75,-75 dBm,1
77839,6,75,-79 dBm,1
77906,6,75,-77 dBm,1
77919,6,75,-77 dBm,1
77950,6,75,-76 dBm,1
77954,6,75,-76 dBm,1
78025,6,75,-74 dBm,1
78036,6,75,-74 dBm,1
78040,6,75,-75 dBm,1
78086,6,75,-76 dBm,1
78123,6,75,-74 dBm,1
78155,6,75,-73 dBm,1
78170,6,75,-75 dBm,1
78198,6,75,-75 dBm,1
78230,6,75,-75 dBm,1
78238,6,75,-76 dBm,1
78241,6,75,-78 dBm,1
78300,6,75,-76 dBm,1
78310,6,75,-76 dBm,1
78345,6,75,-75 dBm,1
78349,6,75,-74 dBm,1
78351,6,75,-74 dBm,1
78352,6,75,-78 dBm,1
78387,6,75,-73 dBm,1
78561,6,75,-76 dBm,1
78602,6,75,-77 dBm,1
78638,6,75,-76 dBm,1
78664,6,75,-73 dBm,1
78685,6,75,-78 dBm,1
78727,6,75,-72 dBm,1
78832,6,75,-74 dBm,1
78842,6,75,-75 dBm,1
79004,6,75,-74 dBm,1
79067,6,75,-75 dBm,1
79146,6,75,-78 dBm,1
79167,6,75,-74 dBm,1
79168,6,75,-75 dBm,1
79170,6,75,-77 dBm,1
79246,6,75,-74 dBm,1
79322,6,75,-74 dBm,1
79405,6,75,-75 dBm,1
79508,6,75,-76 dBm,1
79514,6,75,-77 dBm,1
79603,6,75,-77 dBm,1
79613,6,75,-73 dBm,1
79617,6,75,-76 dBm,1
79636,6,75,-79 dBm,1
79638,6,75,-73 dBm,1
79652,6,75,-74 dBm,1
79687,6,75,-80 dBm,1
79737,6,75,-75 dBm,1
79754,6,75,-79 dBm,1
79760,6,75,-77 dBm,1
79761,6,75,-78 dBm,1
79782,6,75,-77 dBm,1
79806,6,75,-73 dBm,1
79812,6,75,-79 dBm,1
79833,6,75,-79 dBm,1
79926,6,75,-74 dBm,1
79968,6,75,-77 dBm,1
80003,6,75,-70 dBm,1
80007,6,75,-79 dBm,1
80050,6,75,-82 dBm,1
80087,6,75,-83 dBm,1
80091,6,75,-75 dBm,1
80101,6,75,-79 dBm,1
80129,6,75,-77 dBm,1
80152,6,75,-73 dBm,1
80160,6,75,-79 dBm,1
80190,6,75,-80 dBm,1
80217,6,75,-78 dBm,1
80234,6,75,-80 dBm,1
80247,6,75,-70 dBm,1
80258,6,75,-77 dBm,1
80316,6,75,-78 dBm,1
80324,6,75,-75 dBm,1
80326,6,75,-78 dBm,1
80365,6,75,-77 dBm,1
80395,6,75,-76 dBm,1
80408,6,75,-80 dBm,1
80428,6,75,-78 dBm,1
80468,6,75,-80 dBm,1
80505,6,75,-74 dBm,1
80506,6,75,-80 dBm,1
80507,6,75,-82 dBm,1
80509,6,75,-76 dBm,1
80523,6,75,-78 dBm,1
80581,6,75,-75 dBm,1
80582,6,75,-80 dBm,1
80660,6,75,-78 dBm,1
80670,6,75,-78 dBm,1
80707,6,75,-77 dBm,1
80755,6,75,-74 dBm,1
80777,6,75,-74 dBm,1
80788,6,75,-78 dBm,1
80827,6,75,-78 dBm,1
80885,6,75,-74 dBm,1
80886,6,75,-75 dBm,1
80898,6,75,-74 dBm,1
80942,6,75,-79 dBm,1
80946,6,75,-77 dBm,1
80987,6,75,-78 dBm,1
81010,6,75,-78 dBm,1
81011,6,75,-73 dBm,1
81036,6,75,-74 dBm,1
81058,6,75,-77 dBm,1
81065,6,75,-74 dBm,1
81069,6,75,-76 dBm,1
81097,6,75,-74 dBm,1
81108,6,75,-78 dBm,1
81114,6,75,-78 dBm,1
81129,6,75,-78 dBm,1
81135,6,75,-74 dBm,1
81148,6,75,-74 dBm,1
81229,6,75,-74 dBm,1
81269,6,75,-78 dBm,1
81278,6,75,-76 dBm,1
81286,6,75,-76 dBm,1
81345,6,75,-70 dBm,1
81349,6,75,-78 dBm,1
81375,6,75,-79 dBm,1
81409,6,75,-75 dBm,1
81434,6,75,-75 dBm,1
81460,6,75,-70 dBm,1
81466,6,75,-78 dBm,1
81491,6,75,-76 dBm,1
81529,6,75,-76 dBm,1
81599,6,75,-76 dBm,1
81601,6,75,-79 dBm,1
81618,6,75,-77 dBm,1
81628,6,75,-74 dBm,1
81630,6,75,-77 dBm,1
81646,6,75,-75 dBm,1
81657,6,75,-76 dBm,1
81676,6,75,-74 dBm,1
81720,6,75,-77 dBm,1
81742,6,75,-73 dBm,1
81747,6,75,-77 dBm,1
81749,6,75,-78 dBm,1
81775,6,75,-78 dBm,1
81782,6,75,-75 dBm,1
81868,6,75,-81 dBm,1
81897,6,75,-78 dBm,1
81931,6,75,-74 dBm,1
81950,6,75,-80 dBm,1
81979,6,75,-80 dBm,1
82010,6,75,-78 dBm,1
82105,6,75,-74 dBm,1
82140,6,75,-75 dBm,1
82148,6,75,-74 dBm,1
82161,6,75,-75 dBm,1
82163,6,75,-83 dBm,1
82202,6,75,-82 dBm,1
82224,6,75,-83 dBm,1
82238,6,75,-80 dBm,1
82294,6,75,-74 dBm,1
82343,6,75,-84 dBm,1
82351,6,75,-85 dBm,1
82367,6,75,-75 dBm,1
82369,6,75,-75 dBm,1
82373,6,75,-78 dBm,1
82422,6,75,-79 dBm,1
82426,6,75,-78 dBm,1
82427,6,75,-84 dBm,1
82437,6,75,-75 dBm,1
82471,6,75,-73 dBm,1
82480,6,75,-74 dBm,1
82510,6,75,-78 dBm,1
82514,6,75,-78 dBm,1
82539,6,75,-79 dBm,1
82542,6,75,-78 dBm,1
82546,6,75,-76 dBm,1
82553,6,75,-74 dBm,1
82653,6,75,-75 dBm,1
82691,6,75,-78 dBm,1
82718,6,75,-75 dBm,1
82748,6,75,-78 dBm,1
82760,6,75,-72 dBm,1
82773,6,75,-76 dBm,1
82826,6,75,-79 dBm,1
82855,6,75,-75 dBm,1
82872,6,75,-78 dBm,1
82910,6,75,-78 dBm,1
82921,6,75,-77 dBm,1
82962,6,75,-76 dBm,1
83111,6,75,-80 dBm,1
83116,6,75,-78 dBm,1
83141,6,75,-80 dBm,1
83164,6,75,-73 dBm,1
83175,6,75,-73 dBm,1
83189,6,75,-76 dBm,1
83196,6,75,-78 dBm,1
83200,6,75,-78 dBm,1
83202,6,75,-81 dBm,1
83216,6,75,-73 dBm,1
83229,6,75,-78 dBm,1
83290,6,75,-78 dBm,1
83345,6,75,-70 dBm,1
83365,6,75,-75 dBm,1
83387,6,75,-77 dBm,1
83394,6,75,-76 dBm,1
83421,6,75,-75 dBm,1
83425,6,75,-75 dBm,1
83436,6,75,-77 dBm,1
83509,6,75,-78 dBm,1
83538,6,75,-74 dBm,1
83579,6,75,-74 dBm,1
83613,6,75,-76 dBm,1
83625,6,75,-76 dBm,1
83639,6,75,-78 dBm,1
83651,6,75,-80 dBm,1
83659,6,75,-76 dBm,1
83666,6,75,-80 dBm,1
83685,6,75,-78 dBm,1
83718,6,75,-78 dBm,1
83893,6,75,-75 dBm,1
83926,6,75,-73 dBm,1
83948,6,75,-77 dBm,1
83985,6,75,-77 dBm,1
83996,6,75,-78 dBm,1
84001,6,75,-74 dBm,1
84009,6,75,-79 dBm,1
84031,6,75,-74 dBm,1
84038,6,75,-79 dBm,1
84058,6,75,-79 dBm,1
84065,6,75,-78 dBm,1
84079,6,75,-74 dBm,1
84153,6,75,-76 dBm,1
84288,6,75,-80 dBm,1
84338,6,75,-77 dBm,1
84359,6,75,-77 dBm,1
84382,6,75,-72 dBm,1
84389,6,75,-76 dBm,1
84408,6,75,-77 dBm,1
84458,6,75,-78 dBm,1
84467,6,75,-74 dBm,1
84472,6,75,-77 dBm,1
84483,6,75,-75 dBm,1
84485,6,75,-73 dBm,1
84497,6,75,-74 dBm,1
84582,6,75,-74 dBm,1
84588,6,75,-77 dBm,1
84598,6,75,-77 dBm,1
84612,6,75,-77 dBm,1
84616,6,75,-78 dBm,1
84631,6,75,-80 dBm,1
84647,6,75,-74 dBm,1
84650,6,75,-78 dBm,1
84657,6,75,-78 dBm,1
84711,6,75,-76 dBm,1
84714,6,75,-77 dBm,1
84752,6,75,-78 dBm,1
84766,6,75,-78 dBm,1
84770,6,75,-79 dBm,1
84841,6,75,-78 dBm,1
84861,6,75,-72 dBm,1
84906,6,75,-78 dBm,1
84912,6,75,-76 dBm,1
84942,6,75,-74 dBm,1
84992,6,75,-76 dBm,1
85000,6,75,-77 dBm,1
85109,6,75,-74 dBm,1
85144,6,75,-74 dBm,1
85175,6,75,-77 dBm,1
85178,6,75,-75 dBm,1
85206,6,75,-76 dBm,1
85210,6,75,-77 dBm,1
85239,6,75,-78 dBm,1
85288,6,75,-74 dBm,1
85347,6,75,-78 dBm,1
85356,6,75,-74 dBm,1
85381,6,75,-77 dBm,1
85397,6,75,-76 dBm,1
85399,6,75,-74 dBm,1
85480,6,75,-78 dBm,1
85503,6,75,-72 dBm,1
85597,6,75,-75 dBm,1
85625,6,75,-74 dBm,1
85629,6,75,-77 dBm,1
85656,6,75,-77 dBm,1
85686,6,75,-76 dBm,1
85713,6,75,-73 dBm,1
85733,6,75,-70 dBm,1
85805,6,75,-74 dBm,1
85815,6,75,-78 dBm,1
85825,6,75,-77 dBm,1
85849,6,75,-77 dBm,1
85860,6,75,-80 dBm,1
85884,6,75,-80 dBm,1
85913,6,75,-76 dBm,1
85921,6,75,-80 dBm,1
85952,6,75,-76 dBm,1
85962,6,75,-77 dBm,1
85972,6,75,-75 dBm,1
85979,6,75,-77 dBm,1
86026,6,75,-78 dBm,1
86066,6,75,-79 dBm,1
86084,6,75,-74 dBm,1
86144,6,75,-80 dBm,1
86185,6,75,-79 dBm,1
86207,6,75,-79 dBm,1
86242,6,75,-80 dBm,1
86254,6,75,-74 dBm,1
86316,6,75,-74 dBm,1
86359,6,75,-76 dBm,1
86385,6,75,-77 dBm,1
86409,6,75,-73 dBm,1
86432,6,75,-77 dBm,1
86487,6,75,-74 dBm,1
86493,6,75,-77 dBm,1
86540,6,75,-78 dBm,1
86561,6,75,-76 dBm,1
86578,6,75,-74 dBm,1
86587,6,75,-78 dBm,1
86613,6,75,-76 dBm,1
86630,6,75,-78 dBm,1
86677,6,75,-77 dBm,1
86704,6,75,-74 dBm,1
86711,6,75,-78 dBm,1
86730,6,75,-77 dBm,1
86791,6,75,-77 dBm,1
86798,6,75,-77 dBm,1
86830,6,75,-74 dBm,1
86839,6,75,-74 dBm,1
86855,6,75,-77 dBm,1
86896,6,75,-75 dBm,1
86904,6,75,-75 dBm,1
87007,6,75,-79 dBm,1
87037,6,75,-75 dBm,1
87055,6,75,-75 dBm,1
87178,6,75,-75 dBm,1
87189,6,75,-75 dBm,1
87201,6,75,-79 dBm,1
87222,6,75,-76 dBm,1
87236,6,75,-74 dBm,1
87257,6,75,-80 dBm,1
87266,6,75,-74 dBm,1
87295,6,75,-74 dBm,1
87335,6,75,-73 dBm,1
87347,6,75,-78 dBm,1
87399,6,75,-75 dBm,1
87407,6,75,-77 dBm,1
87468,6,75,-73 dBm,1
87470,6,75,-78 dBm,1
87498,6,75,-78 dBm,1
87554,6,75,-78 dBm,1
87671,6,75,-74 dBm,1
87678,6,75,-78 dBm,1
87720,6,75,-75 dBm,1
87730,6,75,-75 dBm,1
87749,6,75,-74 dBm,1
87798,6,75,-77 dBm,1
87864,6,75,-77 dBm,1
87921,6,75,-72 dBm,1
87927,6,75,-73 dBm,1
87934,6,75,-79 dBm,1
87942,6,75,-78 dBm,1
87980,6,75,-76 dBm,1
87994,6,75,-73 dBm,1
88005,6,75,-74 dBm,1
88037,6,75,-77 dBm,1
88056,6,75,-75 dBm,1
88104,6,75,-74 dBm,1
88108,6,75,-76 dBm,1
88121,6,75,-79 dBm,1
88137,6,75,-75 dBm,1
88141,6,75,-73 dBm,1
88153,6,75,-74 dBm,1
88168,6,75,-77 dBm,1
88172,6,75,-76 dBm,1
88188,6,75,-76 dBm,1
88215,6,75,-77 dBm,1
88223,6,75,-75 dBm,1
88238,6,75,-75 dBm,1
88239,6,75,-74 dBm,1
88251,6,75,-75 dBm,1
88333,6,75,-71 dBm,1
88448,6,75,-73 dBm,1
88510,6,75,-74 dBm,1
88518,6,75,-79 dBm,1
88521,6,75,-78 dBm,1
88603,6,75,-78 dBm,1
88673,6,75,-77 dBm,1
88706,6,75,-78 dBm,1
88717,6,75,-79 dBm,1
88757,6,75,-78 dBm,1
88783,6,75,-74 dBm,1
88824,6,75,-76 dBm,1
88852,6,75,-76 dBm,1
88888,6,75,-75 dBm,1
88895,6,75,-81 dBm,1
88899,6,75,-75 dBm,1
88978,6,75,-78 dBm,1
88982,6,75,-76 dBm,1
89004,6,75,-80 dBm,1
89008,6,75,-78 dBm,1
89042,6,75,-74 dBm,1
89059,6,75,-71 dBm,1
89139,6,75,-77 dBm,1
89146,6,75,-79 dBm,1
89178,6,75,-73 dBm,1
89205,6,75,-75 dBm,1
89209,6,75,-76 dBm,1
89235,6,75,-76 dBm,1
89263,6,75,-75 dBm,1
89264,6,75,-77 dBm,1
89275,6,75,-76 dBm,1
89293,6,75,-77 dBm,1
89297,6,75,-70 dBm,1
89328,6,75,-79 dBm,1
89439,6,75,-75 dBm,1
89451,6,75,-77 dBm,1
89487,6,75,-74 dBm,1
89541,6,75,-74 dBm,1
89552,6,75,-75 dBm,1
89577,6,75,-79 dBm,1
89605,6,75,-77 dBm,1
89645,6,75,-78 dBm,1
89652,6,75,-77 dBm,1
89707,6,75,-77 dBm,1
89729,6,75,-79 dBm,1
89737,6,75,-77 dBm,1
89750,6,75,-76 dBm,1
89760,6,75,-78 dBm,1
89763,6,75,-76 dBm,1
89805,6,75,-78 dBm,1
89843,6,75,-74 dBm,1
89893,6,75,-77 dBm,1
89911,6,75,-76 dBm,1
89915,6,75,-75 dBm,1
89939,6,75,-75 dBm,1
89994,6,75,-78 dBm,1
90017,6,75,-77 dBm,1
90093,6,75,-73 dBm,1
90100,6,75,-70 dBm,1
90111,6,75,-77 dBm,1
90115,6,75,-74 dBm,1
90261,6,75,-74 dBm,1
90265,6,75,-77 dBm,1
90297,6,75,-74 dBm,1
90365,6,75,-78 dBm,1
90387,6,75,-76 dBm,1
90419,6,75,-77 dBm,1
90434,6,75,-75 dBm,1
90448,6,75,-76 dBm,1
90463,6,75,-76 dBm,1
90470,6,75,-78 dBm,1
90483,6,75,-72 dBm,1
90486,6,75,-74 dBm,1
90493,6,75,-70 dBm,1
90519,6,75,-76 dBm,1
90544,6,75,-75 dBm,1
90546,6,75,-78 dBm,1
90591,6,75,-76 dBm,1
90717,6,75,-78 dBm,1
90725,6,75,-75 dBm,1
90729,6,75,-75 dBm,1
90828,6,75,-80 dBm,1
90850,6,75,-78 dBm,1
90857,6,75,-75 dBm,1
90865,6,75,-70 dBm,1
90906,6,75,-75 dBm,1
90966,6,75,-77 dBm,1
90992,6,75,-80 dBm,1
91002,6,75,-74 dBm,1
91058,6,75,-75 dBm,1
91070,6,75,-75 dBm,1
91150,6,75,-74 dBm,1
91162,6,75,-75 dBm,1
91192,6,75,-79 dBm,1
91210,6,75,-78 dBm,1
91218,6,75,-79 dBm,1
91354,6,75,-77 dBm,1
91412,6,75,-77 dBm,1
91501,6,75,-77 dBm,1
91578,6,75,-75 dBm,1
91593,6,75,-81 dBm,1
91595,6,75,-74 dBm,1
91616,6,75,-79 dBm,1
91637,6,75,-76 dBm,1
91655,6,75,-81 dBm,1
91661,6,75,-74 dBm,1
91733,6,75,-79 dBm,1
91761,6,75,-77 dBm,1
91814,6,75,-70 dBm,1
91824,6,75,-75 dBm,1
91827,6,75,-80 dBm,1
91864,6,75,-78 dBm,1
91868,6,75,-77 dBm,1
92003,6,75,-77 dBm,1
92035,6,75,-73 dBm,1
92124,6,75,-75 dBm,1
92149,6,75,-74 dBm,1
92175,6,75,-79 dBm,1
92209,6,75,-75 dBm,1
92221,6,75,-77 dBm,1
92223,6,75,-76 dBm,1
92264,6,75,-73 dBm,1
92274,6,75,-76 dBm,1
92296,6,75,-81 dBm,1
92317,6,75,-76 dBm,1
92325,6,75,-75 dBm,1
92329,6,75,-75 dBm,1
92348,6,75,-74 dBm,1
92362,6,75,-75 dBm,1
92370,6,75,-76 dBm,1
92382,6,75,-74 dBm,1
92401,6,75,-77 dBm,1
92412,6,75,-75 dBm,1
92416,6,75,-78 dBm,1
92426,6,75,-78 dBm,1
92453,6,75,-74 dBm,1
92461,6,75,-73 dBm,1
92464,6,75,-77 dBm,1
92483,6,75,-76 dBm,1
92493,6,75,-76 dBm,1
92556,6,75,-76 dBm,1
92560,6,75,-73 dBm,1
92587,6,75,-72 dBm,1
92596,6,75,-74 dBm,1
92602,6,75,-75 dBm,1
92655,6,75,-78 dBm,1
92659,6,75,-76 dBm,1
92680,6,75,-74 dBm,1
92764,6,75,-77 dBm,1
92779,6,75,-76 dBm,1
92789,6,75,-74 dBm,1
92859,6,75,-78 dBm,1
92874,6,75,-76 dBm,1
92878,6,75,-76 dBm,1
92915,6,75,-79 dBm,1
92922,6,75,-78 dBm,1
92972,6,75,-76 dBm,1
92989,6,75,-75 dBm,1
92995,6,75,-74 dBm,1
93058,6,75,-75 dBm,1
93088,6,75,-79 dBm,1
93150,6,75,-76 dBm,1
93221,6,75,-76 dBm,1
93342,6,75,-76 dBm,1
93350,6,75,-74 dBm,1
93364,6,75,-79 dBm,1
93381,6,75,-77 dBm,1
93407,6,75,-76 dBm,1
93449,6,75,-74 dBm,1
93468,6,75,-78 dBm,1
93484,6,75,-74 dBm,1
93502,6,75,-79 dBm,1
93525,6,75,-75 dBm,1
93539,6,75,-74 dBm,1
93632,6,75,-76 dBm,1
93639,6,75,-79 dBm,1
93642,6,75,-74 dBm,1
93654,6,75,-75 dBm,1
93667,6,75,-74 dBm,1
93687,6,75,-77 dBm,1
93690,6,75,-78 dBm,1
93719,6,75,-79 dBm,1
93753,6,75,-78 dBm,1
93756,6,75,-79 dBm,1
93770,6,75,-77 dBm,1
93806,6,75,-73 dBm,1
93856,6,75,-79 dBm,1
93859,6,75,-78 dBm,1
93943,6,75,-79 dBm,1
93951,6,75,-78 dBm,1
94021,6,75,-79 dBm,1
94022,6,75,-81 dBm,1
94037,6,75,-70 dBm,1
94047,6,75,-78 dBm,1
94081,6,75,-79 dBm,1
94151,6,75,-78 dBm,1
94224,6,75,-79 dBm,1
94237,6,75,-78 dBm,1
94268,6,75,-80 dBm,1
94356,6,75,-80 dBm,1
94363,6,75,-79 dBm,1
94397,6,75,-80 dBm,1
94456,6,75,-72 dBm,1
94519,6,75,-73 dBm,1
94524,6,75,-81 dBm,1
94597,6,75,-76 dBm,1
94612,6,75,-75 dBm,1
94615,6,75,-77 dBm,1
94616,6,75,-80 dBm,1
94640,6,75,-70 dBm,1
94657,6,75,-78 dBm,1
94680,6,75,-70 dBm,1
94691,6,75,-81 dBm,1
94714,6,75,-82 dBm,1
94726,6,75,-76 dBm,1
94755,6,75,-81 dBm,1
94793,6,75,-77 dBm,1
94816,6,75,-80 dBm,1
94887,6,75,-78 dBm,1
94895,6,75,-75 dBm,1
94909,6,75,-80 dBm,1
94919,6,75,-80 dBm,1
94952,6,75,-70 dBm,1
94971,6,75,-73 dBm,1
94980,6,75,-83 dBm,1
94990,6,75,-77 dBm,1
95000,6,75,-76 dBm,1
95018,6,75,-81 dBm,1
95045,6,75,-79 dBm,1
95073,6,75,-78 dBm,1
95095,6,75,-81 dBm,1
95096,6,75,-78 dBm,1
95104,6,75,-77 dBm,1
95112,6,75,-78 dBm,1
95122,6,75,-82 dBm,1
95151,6,75,-82 dBm,1
95161,6,75,-70 dBm,1
95209,6,75,-75 dBm,1
95215,6,75,-78 dBm,1
95280,6,75,-81 dBm,1
95323,6,75,-76 dBm,1
95343,6,75,-80 dBm,1
95354,6,75,-70 dBm,1
95362,6,75,-76 dBm,1
95380,6,75,-78 dBm,1
95425,6,75,-76 dBm,1
95472,6,75,-79 dBm,1
95494,6,75,-80 dBm,1
95521,6,75,-78 dBm,1
95528,6,75,-75 dBm,1
95544,6,75,-77 dBm,1
95546,6,75,-80 dBm,1
95558,6,75,-78 dBm,1
95592,6,75,-80 dBm,1
95604,6,75,-75 dBm,1
95626,6,75,-70 dBm,1
95681,6,75,-78 dBm,1
95692,6,75,-77 dBm,1
95700,6,75,-80 dBm,1
95722,6,75,-82 dBm,1
95723,6,75,-83 dBm,1
