No.,Broadcasters,Sniffer_Distance,RSSI,Malformed Packet
1070,4,10.61,-58 dBm,1
1263,4,10.61,-52 dBm,1
1265,4,10.61,-59 dBm,1
1666,4,10.61,-54 dBm,1
1863,4,10.61,-51 dBm,1
1865,4,10.61,-60 dBm,1
1907,4,10.61,-60 dBm,1
2012,4,10.61,-60 dBm,1
3886,4,10.61,-53 dBm,1
3887,4,10.61,-59 dBm,1
4314,4,10.61,-53 dBm,1
4315,4,10.61,-55 dBm,1
4316,4,10.61,-59 dBm,1
4371,4,10.61,-53 dBm,1
4372,4,10.61,-54 dBm,1
4373,4,10.61,-59 dBm,1
4417,4,10.61,-54 dBm,1
4418,4,10.61,-59 dBm,1
4746,4,10.61,-52 dBm,1
4748,4,10.61,-59 dBm,1
5045,4,10.61,-59 dBm,1
5584,4,10.61,-66 dBm,1
5639,4,10.61,-61 dBm,1
5774,4,10.61,-70 dBm,1
5786,4,10.61,-77 dBm,1
5818,4,10.61,-72 dBm,1
5853,4,10.61,-64 dBm,1
5857,4,10.61,-64 dBm,1
5873,4,10.61,-74 dBm,1
5885,4,10.61,-74 dBm,1
5916,4,10.61,-76 dBm,1
5984,4,10.61,-72 dBm,1
5995,4,10.61,-78 dBm,1
6032,4,10.61,-76 dBm,1
6049,4,10.61,-73 dBm,1
6107,4,10.61,-84 dBm,1
6236,4,10.61,-74 dBm,1
6238,4,10.61,-74 dBm,1
6397,4,10.61,-77 dBm,1
6441,4,10.61,-78 dBm,1
6551,4,10.61,-64 dBm,1
6687,4,10.61,-55 dBm,1
6882,4,10.61,-69 dBm,1
6898,4,10.61,-75 dBm,1
7212,4,10.61,-64 dBm,1
7354,4,10.61,-66 dBm,1
7398,4,10.61,-72 dBm,1
7441,4,10.61,-83 dBm,1
7479,4,10.61,-74 dBm,1
7585,4,10.61,-69 dBm,1
7601,4,10.61,-65 dBm,1
7713,4,10.61,-82 dBm,1
7881,4,10.61,-59 dBm,1
7887,4,10.61,-73 dBm,1
7908,4,10.61,-66 dBm,1
7972,4,10.61,-74 dBm,1
8202,4,10.61,-68 dBm,1
8228,4,10.61,-76 dBm,1
8390,4,10.61,-60 dBm,1
8485,4,10.61,-65 dBm,1
9221,4,10.61,-67 dBm,1
9386,4,10.61,-65 dBm,1
9626,4,10.61,-61 dBm,1
9680,4,10.61,-60 dBm,1
9736,4,10.61,-68 dBm,1
10605,4,10.61,-61 dBm,1
11159,4,10.61,-67 dBm,1
11453,4,10.61,-68 dBm,1
11576,4,10.61,-69 dBm,1
11700,4,10.61,-59 dBm,1
11711,4,10.61,-68 dBm,1
12059,4,10.61,-68 dBm,1
12159,4,10.61,-68 dBm,1
12402,4,10.61,-70 dBm,1
12529,4,10.61,-57 dBm,1
13029,4,10.61,-47 dBm,1
13389,4,10.61,-68 dBm,1
13425,4,10.61,-67 dBm,1
13577,4,10.61,-68 dBm,1
13844,4,10.61,-61 dBm,1
14305,4,10.61,-60 dBm,1
14309,4,10.61,-71 dBm,1
14356,4,10.61,-70 dBm,1
14399,4,10.61,-67 dBm,1
14689,4,10.61,-71 dBm,1
14707,4,10.61,-48 dBm,1
14793,4,10.61,-69 dBm,1
15047,4,10.61,-69 dBm,1
15070,4,10.61,-70 dBm,1
15316,4,10.61,-52 dBm,1
15428,4,10.61,-69 dBm,1
15526,4,10.61,-69 dBm,1
15583,4,10.61,-70 dBm,1
16060,4,10.61,-68 dBm,1
17332,4,10.61,-68 dBm,1
17387,4,10.61,-70 dBm,1
17767,4,10.61,-57 dBm,1
17815,4,10.61,-70 dBm,1
17932,4,10.61,-68 dBm,1
18094,4,10.61,-56 dBm,1
18207,4,10.61,-68 dBm,1
18434,4,10.61,-56 dBm,1
18556,4,10.61,-67 dBm,1
18871,4,10.61,-60 dBm,1
19392,4,10.61,-69 dBm,1
19600,4,10.61,-70 dBm,1
20045,4,10.61,-67 dBm,1
20101,4,10.61,-69 dBm,1
20291,4,10.61,-68 dBm,1
21114,4,10.61,-68 dBm,1
21425,4,10.61,-64 dBm,1
21835,4,10.61,-69 dBm,1
22343,4,10.61,-67 dBm,1
23004,4,10.61,-68 dBm,1
23109,4,10.61,-62 dBm,1
23245,4,10.61,-59 dBm,1
23316,4,10.61,-68 dBm,1
23889,4,10.61,-53 dBm,1
24286,4,10.61,-68 dBm,1
24473,4,10.61,-68 dBm,1
24924,4,10.61,-60 dBm,1
24932,4,10.61,-69 dBm,1
25034,4,10.61,-68 dBm,1
25291,4,10.61,-69 dBm,1
25319,4,10.61,-69 dBm,1
25347,4,10.61,-56 dBm,1
26066,4,10.61,-68 dBm,1
26138,4,10.61,-60 dBm,1
26182,4,10.61,-52 dBm,1
26238,4,10.61,-69 dBm,1
26246,4,10.61,-56 dBm,1
26309,4,10.61,-69 dBm,1
26700,4,10.61,-62 dBm,1
27061,4,10.61,-69 dBm,1
27280,4,10.61,-60 dBm,1
27787,4,10.61,-71 dBm,1
28224,4,10.61,-59 dBm,1
28316,4,10.61,-60 dBm,1
28563,4,10.61,-69 dBm,1
28642,4,10.61,-60 dBm,1
29000,4,10.61,-69 dBm,1
29452,4,10.61,-63 dBm,1
29480,4,10.61,-69 dBm,1
29620,4,10.61,-62 dBm,1
29670,4,10.61,-67 dBm,1
29710,4,10.61,-60 dBm,1
30460,4,10.61,-69 dBm,1
30750,4,10.61,-60 dBm,1
31034,4,10.61,-69 dBm,1
31098,4,10.61,-60 dBm,1
31177,4,10.61,-69 dBm,1
31201,4,10.61,-68 dBm,1
31237,4,10.61,-61 dBm,1
31277,4,10.61,-69 dBm,1
31696,4,10.61,-60 dBm,1
31704,4,10.61,-61 dBm,1
32727,4,10.61,-68 dBm,1
32996,4,10.61,-61 dBm,1
33345,4,10.61,-68 dBm,1
33742,4,10.61,-61 dBm,1
34121,4,10.61,-69 dBm,1
34439,4,10.61,-70 dBm,1
34510,4,10.61,-71 dBm,1
35443,4,10.61,-69 dBm,1
35871,4,10.61,-60 dBm,1
35930,4,10.61,-69 dBm,1
35954,4,10.61,-68 dBm,1
36192,4,10.61,-68 dBm,1
36291,4,10.61,-68 dBm,1
37255,4,10.61,-68 dBm,1
37604,4,10.61,-69 dBm,1
37850,4,10.61,-68 dBm,1
37926,4,10.61,-69 dBm,1
38128,4,10.61,-60 dBm,1
38229,4,10.61,-68 dBm,1
38583,4,10.61,-70 dBm,1
39265,4,10.61,-69 dBm,1
39289,4,10.61,-60 dBm,1
39321,4,10.61,-69 dBm,1
39658,4,10.61,-69 dBm,1
39685,4,10.61,-70 dBm,1
39998,4,10.61,-70 dBm,1
40108,4,10.61,-69 dBm,1
40324,4,10.61,-70 dBm,1
40619,4,10.61,-69 dBm,1
40623,4,10.61,-62 dBm,1
40956,4,10.61,-69 dBm,1
41004,4,10.61,-66 dBm,1
41005,4,10.61,-66 dBm,1
41006,4,10.61,-67 dBm,1
41208,4,10.61,-70 dBm,1
41232,4,10.61,-69 dBm,1
41336,4,10.61,-68 dBm,1
41465,4,10.61,-59 dBm,1
41573,4,10.61,-59 dBm,1
42081,4,10.61,-69 dBm,1
42184,4,10.61,-70 dBm,1
42314,4,10.61,-52 dBm,1
42570,4,10.61,-67 dBm,1
42871,4,10.61,-59 dBm,1
42875,4,10.61,-62 dBm,1
42983,4,10.61,-70 dBm,1
43058,4,10.61,-59 dBm,1
43217,4,10.61,-61 dBm,1
43281,4,10.61,-70 dBm,1
43345,4,10.61,-69 dBm,1
43393,4,10.61,-70 dBm,1
43532,4,10.61,-70 dBm,1
43635,4,10.61,-71 dBm,1
43678,4,10.61,-70 dBm,1
43915,4,10.61,-67 dBm,1
43916,4,10.61,-67 dBm,1
43917,4,10.61,-64 dBm,1
44299,4,10.61,-67 dBm,1
44315,4,10.61,-57 dBm,1
44386,4,10.61,-68 dBm,1
44570,4,10.61,-69 dBm,1
44786,4,10.61,-68 dBm,1
