No.,Broadcasters,Sniffer_Distance,RSSI,Malformed Packet
211,4,21.21,-74 dBm,1
547,4,21.21,-73 dBm,1
685,4,21.21,-73 dBm,1
1204,4,21.21,-75 dBm,1
1478,4,21.21,-70 dBm,1
2056,4,21.21,-76 dBm,1
2410,4,21.21,-78 dBm,1
2729,4,21.21,-81 dBm,1
3179,4,21.21,-68 dBm,1
3964,4,21.21,-73 dBm,1
4284,4,21.21,-87 dBm,1
4317,4,21.21,-70 dBm,1
4409,4,21.21,-75 dBm,1
4479,4,21.21,-83 dBm,1
4725,4,21.21,-75 dBm,1
4987,4,21.21,-71 dBm,1
5576,4,21.21,-71 dBm,1
5758,4,21.21,-74 dBm,1
5832,4,21.21,-77 dBm,1
5891,4,21.21,-75 dBm,1
6034,4,21.21,-61 dBm,1
6151,4,21.21,-61 dBm,1
6342,4,21.21,-72 dBm,1
6737,4,21.21,-61 dBm,1
6880,4,21.21,-74 dBm,1
6892,4,21.21,-74 dBm,1
7020,4,21.21,-74 dBm,1
7095,4,21.21,-73 dBm,1
7114,4,21.21,-74 dBm,1
7189,4,21.21,-74 dBm,1
7628,4,21.21,-72 dBm,1
7768,4,21.21,-69 dBm,1
8089,4,21.21,-73 dBm,1
8374,4,21.21,-73 dBm,1
8425,4,21.21,-73 dBm,1
8469,4,21.21,-75 dBm,1
8691,4,21.21,-80 dBm,1
8729,4,21.21,-75 dBm,1
8750,4,21.21,-76 dBm,1
8762,4,21.21,-77 dBm,1
8945,4,21.21,-71 dBm,1
9408,4,21.21,-64 dBm,1
9431,4,21.21,-64 dBm,1
9459,4,21.21,-65 dBm,1
9667,4,21.21,-78 dBm,1
9796,4,21.21,-67 dBm,1
9992,4,21.21,-73 dBm,1
10031,4,21.21,-63 dBm,1
10466,4,21.21,-68 dBm,1
10829,4,21.21,-70 dBm,1
10904,4,21.21,-69 dBm,1
11110,4,21.21,-69 dBm,1
11612,4,21.21,-67 dBm,1
12105,4,21.21,-68 dBm,1
12199,4,21.21,-62 dBm,1
12356,4,21.21,-66 dBm,1
12404,4,21.21,-71 dBm,1
12664,4,21.21,-65 dBm,1
13085,4,21.21,-75 dBm,1
14087,4,21.21,-69 dBm,1
14944,4,21.21,-62 dBm,1
15220,4,21.21,-65 dBm,1
16946,4,21.21,-70 dBm,1
19003,4,21.21,-67 dBm,1
19054,4,21.21,-67 dBm,1
19077,4,21.21,-73 dBm,1
19099,4,21.21,-77 dBm,1
19107,4,21.21,-79 dBm,1
19173,4,21.21,-67 dBm,1
19550,4,21.21,-69 dBm,1
19973,4,21.21,-65 dBm,1
19997,4,21.21,-61 dBm,1
20317,4,21.21,-68 dBm,1
20523,4,21.21,-66 dBm,1
20948,4,21.21,-68 dBm,1
21231,4,21.21,-66 dBm,1
21391,4,21.21,-61 dBm,1
21877,4,21.21,-63 dBm,1
22067,4,21.21,-63 dBm,1
22699,4,21.21,-65 dBm,1
23879,4,21.21,-66 dBm,1
24127,4,21.21,-63 dBm,1
24295,4,21.21,-69 dBm,1
25011,4,21.21,-65 dBm,1
25392,4,21.21,-70 dBm,1
25608,4,21.21,-71 dBm,1
25636,4,21.21,-64 dBm,1
25801,4,21.21,-65 dBm,1
26006,4,21.21,-65 dBm,1
26101,4,21.21,-65 dBm,1
26359,4,21.21,-65 dBm,1
26509,4,21.21,-61 dBm,1
26632,4,21.21,-65 dBm,1
27058,4,21.21,-64 dBm,1
27105,4,21.21,-64 dBm,1
27129,4,21.21,-63 dBm,1
27366,4,21.21,-64 dBm,1
27550,4,21.21,-64 dBm,1
