No.,Broadcasters,Sniffer_Distance,RSSI,Malformed Packet
150,4,42.43,-85 dBm,1
172,4,42.43,-82 dBm,1
306,4,42.43,-82 dBm,1
367,4,42.43,-82 dBm,1
423,4,42.43,-86 dBm,1
573,4,42.43,-85 dBm,1
722,4,42.43,-79 dBm,1
742,4,42.43,-77 dBm,1
757,4,42.43,-81 dBm,1
798,4,42.43,-85 dBm,1
838,4,42.43,-82 dBm,1
987,4,42.43,-84 dBm,1
996,4,42.43,-82 dBm,1
997,4,42.43,-81 dBm,1
1004,4,42.43,-71 dBm,1
1050,4,42.43,-86 dBm,1
1141,4,42.43,-83 dBm,1
1158,4,42.43,-85 dBm,1
1263,4,42.43,-85 dBm,1
1351,4,42.43,-69 dBm,1
1352,4,42.43,-73 dBm,1
1599,4,42.43,-85 dBm,1
1600,4,42.43,-80 dBm,1
1686,4,42.43,-85 dBm,1
1758,4,42.43,-86 dBm,1
1786,4,42.43,-81 dBm,1
1894,4,42.43,-80 dBm,1
1908,4,42.43,-74 dBm,1
1934,4,42.43,-76 dBm,1
1936,4,42.43,-78 dBm,1
1957,4,42.43,-78 dBm,1
1992,4,42.43,-85 dBm,1
2002,4,42.43,-80 dBm,1
2043,4,42.43,-86 dBm,1
2050,4,42.43,-80 dBm,1
2052,4,42.43,-86 dBm,1
2080,4,42.43,-80 dBm,1
2100,4,42.43,-86 dBm,1
2226,4,42.43,-86 dBm,1
2292,4,42.43,-84 dBm,1
2324,4,42.43,-73 dBm,1
2386,4,42.43,-81 dBm,1
2400,4,42.43,-88 dBm,1
2494,4,42.43,-81 dBm,1
2512,4,42.43,-81 dBm,1
2513,4,42.43,-83 dBm,1
2545,4,42.43,-82 dBm,1
2666,4,42.43,-73 dBm,1
2671,4,42.43,-76 dBm,1
2684,4,42.43,-69 dBm,1
2703,4,42.43,-83 dBm,1
2728,4,42.43,-76 dBm,1
2883,4,42.43,-86 dBm,1
2905,4,42.43,-77 dBm,1
3006,4,42.43,-84 dBm,1
3054,4,42.43,-87 dBm,1
3096,4,42.43,-87 dBm,1
3108,4,42.43,-75 dBm,1
3111,4,42.43,-86 dBm,1
3126,4,42.43,-86 dBm,1
3144,4,42.43,-87 dBm,1
3239,4,42.43,-80 dBm,1
3267,4,42.43,-87 dBm,1
3276,4,42.43,-85 dBm,1
3311,4,42.43,-80 dBm,1
3324,4,42.43,-84 dBm,1
3379,4,42.43,-80 dBm,1
3404,4,42.43,-68 dBm,1
3408,4,42.43,-83 dBm,1
3420,4,42.43,-81 dBm,1
3421,4,42.43,-77 dBm,1
3429,4,42.43,-68 dBm,1
3430,4,42.43,-79 dBm,1
3431,4,42.43,-79 dBm,1
3432,4,42.43,-80 dBm,1
3467,4,42.43,-72 dBm,1
3491,4,42.43,-78 dBm,1
3495,4,42.43,-73 dBm,1
3502,4,42.43,-68 dBm,1
3514,4,42.43,-76 dBm,1
3515,4,42.43,-74 dBm,1
3537,4,42.43,-84 dBm,1
3547,4,42.43,-75 dBm,1
3577,4,42.43,-75 dBm,1
3612,4,42.43,-75 dBm,1
3667,4,42.43,-80 dBm,1
3693,4,42.43,-75 dBm,1
3704,4,42.43,-83 dBm,1
3717,4,42.43,-82 dBm,1
3738,4,42.43,-81 dBm,1
3749,4,42.43,-82 dBm,1
