No.,Broadcasters,Sniffer_Distance,RSSI,Malformed Packet
100,3,34.64,-71 dBm,1
218,3,34.64,-87 dBm,1
330,3,34.64,-70 dBm,1
536,3,34.64,-80 dBm,1
954,3,34.64,-72 dBm,1
983,3,34.64,-80 dBm,1
1190,3,34.64,-87 dBm,1
1304,3,34.64,-85 dBm,1
1307,3,34.64,-84 dBm,1
1347,3,34.64,-71 dBm,1
1415,3,34.64,-81 dBm,1
1738,3,34.64,-70 dBm,1
1748,3,34.64,-73 dBm,1
1814,3,34.64,-86 dBm,1
1829,3,34.64,-86 dBm,1
1991,3,34.64,-78 dBm,1
2264,3,34.64,-84 dBm,1
2318,3,34.64,-85 dBm,1
2366,3,34.64,-88 dBm,1
2412,3,34.64,-75 dBm,1
2600,3,34.64,-86 dBm,1
2618,3,34.64,-83 dBm,1
2918,3,34.64,-85 dBm,1
3059,3,34.64,-83 dBm,1
3592,3,34.64,-69 dBm,1
3766,3,34.64,-73 dBm,1
3774,3,34.64,-70 dBm,1
3796,3,34.64,-72 dBm,1
3804,3,34.64,-71 dBm,1
3827,3,34.64,-72 dBm,1
3879,3,34.64,-68 dBm,1
3880,3,34.64,-71 dBm,1
3917,3,34.64,-78 dBm,1
3924,3,34.64,-66 dBm,1
3942,3,34.64,-72 dBm,1
4010,3,34.64,-72 dBm,1
4045,3,34.64,-74 dBm,1
4058,3,34.64,-73 dBm,1
4068,3,34.64,-75 dBm,1
4087,3,34.64,-78 dBm,1
4096,3,34.64,-78 dBm,1
4103,3,34.64,-77 dBm,1
4136,3,34.64,-79 dBm,1
4167,3,34.64,-76 dBm,1
4205,3,34.64,-80 dBm,1
4226,3,34.64,-72 dBm,1
4237,3,34.64,-73 dBm,1
4268,3,34.64,-72 dBm,1
4292,3,34.64,-70 dBm,1
4312,3,34.64,-80 dBm,1
4352,3,34.64,-73 dBm,1
4380,3,34.64,-72 dBm,1
4381,3,34.64,-81 dBm,1
4415,3,34.64,-81 dBm,1
4484,3,34.64,-72 dBm,1
4507,3,34.64,-72 dBm,1
4543,3,34.64,-73 dBm,1
4547,3,34.64,-71 dBm,1
4548,3,34.64,-72 dBm,1
4554,3,34.64,-69 dBm,1
4589,3,34.64,-74 dBm,1
4626,3,34.64,-73 dBm,1
4676,3,34.64,-65 dBm,1
4684,3,34.64,-76 dBm,1
4821,3,34.64,-75 dBm,1
4833,3,34.64,-73 dBm,1
