No.,Broadcasters,Sniffer_Distance,RSSI,Malformed Packet
171,6,45,-70 dBm,1
183,6,45,-74 dBm,1
1770,6,45,-76 dBm,1
1777,6,45,-75 dBm,1
2007,6,45,-71 dBm,1
2382,6,45,-79 dBm,1
2454,6,45,-80 dBm,1
2465,6,45,-78 dBm,1
2562,6,45,-82 dBm,1
2700,6,45,-84 dBm,1
2718,6,45,-85 dBm,1
2775,6,45,-84 dBm,1
2919,6,45,-82 dBm,1
2991,6,45,-82 dBm,1
3027,6,45,-81 dBm,1
3028,6,45,-79 dBm,1
3072,6,45,-82 dBm,1
3586,6,45,-74 dBm,1
4016,6,45,-83 dBm,1
4268,6,45,-82 dBm,1
5114,6,45,-81 dBm,1
5595,6,45,-74 dBm,1
5606,6,45,-83 dBm,1
5633,6,45,-74 dBm,1
5665,6,45,-81 dBm,1
5696,6,45,-81 dBm,1
5787,6,45,-78 dBm,1
5794,6,45,-75 dBm,1
5819,6,45,-77 dBm,1
5844,6,45,-82 dBm,1
5856,6,45,-78 dBm,1
5864,6,45,-73 dBm,1
5888,6,45,-73 dBm,1
5894,6,45,-73 dBm,1
5920,6,45,-73 dBm,1
5972,6,45,-76 dBm,1
6008,6,45,-70 dBm,1
6014,6,45,-77 dBm,1
6053,6,45,-77 dBm,1
6061,6,45,-74 dBm,1
6078,6,45,-76 dBm,1
6105,6,45,-77 dBm,1
6156,6,45,-74 dBm,1
6179,6,45,-78 dBm,1
6188,6,45,-79 dBm,1
6197,6,45,-74 dBm,1
6258,6,45,-77 dBm,1
6288,6,45,-78 dBm,1
6318,6,45,-77 dBm,1
6322,6,45,-73 dBm,1
6323,6,45,-76 dBm,1
6333,6,45,-75 dBm,1
6397,6,45,-75 dBm,1
6416,6,45,-74 dBm,1
6481,6,45,-72 dBm,1
6534,6,45,-78 dBm,1
6548,6,45,-75 dBm,1
6596,6,45,-74 dBm,1
6670,6,45,-74 dBm,1
6692,6,45,-74 dBm,1
6728,6,45,-73 dBm,1
6737,6,45,-75 dBm,1
6749,6,45,-79 dBm,1
6763,6,45,-79 dBm,1
6796,6,45,-76 dBm,1
6797,6,45,-76 dBm,1
6822,6,45,-81 dBm,1
6832,6,45,-77 dBm,1
6836,6,45,-82 dBm,1
6842,6,45,-78 dBm,1
6860,6,45,-81 dBm,1
6871,6,45,-73 dBm,1
6927,6,45,-76 dBm,1
6986,6,45,-74 dBm,1
6993,6,45,-79 dBm,1
7094,6,45,-73 dBm,1
7184,6,45,-72 dBm,1
7328,6,45,-71 dBm,1
7395,6,45,-81 dBm,1
7439,6,45,-78 dBm,1
7461,6,45,-74 dBm,1
7465,6,45,-70 dBm,1
7499,6,45,-79 dBm,1
7507,6,45,-71 dBm,1
7531,6,45,-73 dBm,1
7533,6,45,-77 dBm,1
7543,6,45,-84 dBm,1
7545,6,45,-78 dBm,1
7549,6,45,-70 dBm,1
7579,6,45,-73 dBm,1
7649,6,45,-71 dBm,1
7723,6,45,-73 dBm,1
7773,6,45,-73 dBm,1
8002,6,45,-72 dBm,1
8039,6,45,-63 dBm,1
8122,6,45,-76 dBm,1
8126,6,45,-71 dBm,1
8195,6,45,-74 dBm,1
8233,6,45,-76 dBm,1
8376,6,45,-73 dBm,1
8427,6,45,-64 dBm,1
8455,6,45,-75 dBm,1
8459,6,45,-84 dBm,1
8535,6,45,-73 dBm,1
8582,6,45,-66 dBm,1
8590,6,45,-72 dBm,1
8617,6,45,-72 dBm,1
8649,6,45,-76 dBm,1
8650,6,45,-83 dBm,1
8697,6,45,-74 dBm,1
8747,6,45,-74 dBm,1
8754,6,45,-80 dBm,1
8755,6,45,-65 dBm,1
8888,6,45,-75 dBm,1
8889,6,45,-82 dBm,1
9005,6,45,-74 dBm,1
9097,6,45,-83 dBm,1
9145,6,45,-83 dBm,1
9155,6,45,-82 dBm,1
9304,6,45,-74 dBm,1
9565,6,45,-72 dBm,1
9616,6,45,-62 dBm,1
9629,6,45,-72 dBm,1
9679,6,45,-73 dBm,1
9698,6,45,-73 dBm,1
9716,6,45,-76 dBm,1
9719,6,45,-77 dBm,1
9727,6,45,-63 dBm,1
9745,6,45,-76 dBm,1
9826,6,45,-73 dBm,1
9894,6,45,-73 dBm,1
9916,6,45,-73 dBm,1
9951,6,45,-73 dBm,1
9998,6,45,-72 dBm,1
